,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0999390089213933,0,0,0.219621415367464,0,0,0.163327976959092,0.263099787239034,0.323620046762199,0,0.0670520447424059,0,0,0,0,0,0,0.0310798071908522
ETH,0,0,0.0709621533035066,0.215374998308802,0,0.0865572066579807,0.106246737904768,0,0.000544145157034627,0,0,0.176251311554307,0,0,0,0,0,0,0,0
XRP,0,0,0,0.141451427763756,0.175810949714024,-3.46944695195361e-18,-1.73472347597681e-18,0.210563171038615,0.0760332758204552,0.0658792724240423,0,0,0,0,0.0914846056365378,0,0,0,0,0.0505511703101163
BCH,0.081090725771159,0.578226000091513,0.141028540873733,0,0,0,-0.114629718917093,0.0443140849600244,1.73472347597681e-18,0,0.332513466838114,0,0.107614122270546,0.103467463493944,-0.0545665816532255,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.173987407344615,0,0,0.243634429588205,0,0,0.138365159831643,0,0,0,0,0
NEO,0,0.56994355129141,0,0,0,0,0.0512207223320461,0.0226275931867453,0.0799196136300427,0,0,0.235206053319205,0,0,0.107355075223737,0,0,0,0,0
ADA,0.130930495110165,0,0,0,0.210538228207416,0,0,0.234905024659282,0.0888603628359468,0,0,0,0,0,0.0314300086578739,0,0,0,0,0
XLM,0,0,0.31851687826273,0.37052860508356,-0.118843139310432,0.0813456516737599,0,0,0.344595863611516,0,0,0,0.252215325765096,-0.443086121144479,0,0,0,0,0,-0.0981090529088022
XMR,0.394180524026369,0,0,0,0.0653076144255652,0,0,0.460313429945915,0,0,0,0.304448195143406,-0.634559814714918,0.341926416281418,-0.123739757633264,0,0,0,0,0.269989596747188
EOS,0.356918071301339,0,0,0.177069130074158,0,0.0245261302458362,0.0653155830649213,0,3.46944695195361e-18,0,0,0.112944879113247,0.0683406296318874,0,0.100505125910073,0,0,0,0,0
DASH,0.129609153383749,0,0,0.572931285277976,0,0,0.0716169766104422,0.0843043499083026,0,0,0,0,0.0620971272390071,0,0,0,0.178870442192584,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0.622368748958755,0,0,-0.259688284571081,0.411236870583634,0.126434714959973,-0.125267268661364,0,0,0,-0.141951564231032
XEM,0,0,-0.258894055517283,-3.46944695195361e-18,0,-0.0720020769386374,0,0.209287694268801,-0.554793377463153,0.164375611285816,0.40987085033961,0,0,0.623671374353782,0,0,0,0,0,-0.0344259442251827
TRX,0,0,0,0.486740186150248,0,0,0,-0.412528779909486,0.268756435296657,0,0,0.391837477694834,0.256609991381509,0,0,0,0,0,0,0.173986980501776
ETC,0,0,0.423400894821506,0,6.93889390390723e-18,0,-0.0242337971580871,0,0,0.45505576080781,0,0,0.289868055759522,0,0,0,0,0,0,-0.157923852690407
BV010082.Index,0,0,0,0,-0.0438265232475756,0,0,0,0,0,0,-0.0138506419608116,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.013774202097749,0,0,0,-0.00643462736633687,0,0,-0.00764739059045242,0,0,0,0,0,0.0109417239553282,0,0,0,0,0,0.0204105085394629
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0786274211226245
VIX.Index,0,0,0,0,-0.158402988930003,0,-0.171886966478093,-0.522582526926314,0.588681250997143,0,0,-0.284421203837106,0.257534855327756,0.192580429503198,-0.0280526503032813,0,0,0,-2.35386370034256,0
