,BTC,XRP,ETH,BCH,ADA,TRX,XEM,LTC,XLM,MIOTA,DASH,EOS,NEO,XMR,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0781609660694872,0.0552724126761763,0,0.608703581974387,0.0240977504164036,-0.188968606282928,0,0.125230032052331,0,0.0709340935612954,0,0,0,0,0,0
XRP,0,0,0,-0.260488658978675,0,0,0.25219045785171,0,0,0,0,0.0921462610442334,0,0.225163623065469,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0477608734338236,0.16344283352312,0.194809411639227,0.0146594498118525,0.0547752715662949,0,0.0198317303173931,0.021092114654818,0,0.0635158588970569,0,0,0,0,0
BCH,0,0,0,0,0,-0.201573741121083,0.1567679535342,0.467919890459787,0,-0.300807130924209,0.544107353162045,0,-0.305275538302433,0,0.845028439378709,0,0,0,0,0
ADA,0,0,0,-0.151398495193538,0,0.136167889386644,0,0,0.567184853888511,0,0,0.251558665612811,0,0,0,0,0,0,0,0
TRX,0,-0.700866713965931,0,-0.733149136649644,0.346168211306076,0,0.260003900098753,1.03404214166849,0,0,1.16920551317873,0.118392893286053,-0.268539762341109,0,0,0,0,0,0,-0.459286324302628
XEM,-0.0123438293747568,0,0,0.225052861419761,-0.0336909068582795,0,0,0.266668302362191,0.493545466992704,0.265387873394732,0,0,-0.218896463798766,3.46944695195361e-18,0,0,0,0,0,-0.617683468634292
LTC,0.420769981644366,0,0,0,-0.0269288426437381,0.0109051204727896,0,0,0,0.185109455329262,0,0,0.127538329216452,0,0,0,0,0,0,0
XLM,0,0.428802542590253,0,0,0.276045746798723,-0.03571513951804,0.370199672958832,0,0,0,-0.0171183529048351,-0.167208777442683,0.287214033648666,0,0,0,0,0,0,0
MIOTA,-0.319488338916169,0.00516614873084317,0,-0.374861035071912,-0.0981979967159806,0,0.0158111031901279,0.677939737845353,0.268328849370992,0,0,0.320727991668634,0,-0.519204902489539,1.08988343203842,0,0,0,0,0
DASH,0,0,0,0.212407374976212,0,0.125288094516333,0,0,0,0,0,0,0.309739642189913,0,0,0,0,0,0,0
EOS,0,0,0,0.0808672134544658,0.0357670684728847,0.103051731403862,0.279659291944809,0,-0.118191448429445,0.401623488609035,0,0,0,0,0,0,0,0,0,0
NEO,-0.223653805976863,0,0.856127582332454,0,0.0600483947361714,-0.091796382282276,0,0,0.171776803012603,0,0.234837822351723,0.00771833348627352,0,0,0,0,0,0,0,0
XMR,0.136415755697198,0,0,0.0873390932000689,-0.0266002127425673,0.0176863958108138,0,0,0.111533166167443,-0.278914767793608,0,0,0.253405709413225,0,0.71208139429438,0,0,0,0,0
BTG,0,0,0,0.364269897299228,-0.0623136361843622,0.0593338317491601,0,0,0,0,0,0.101918964284017,0,0.114419137843794,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0203785507580065,0.0107931837206434,0.00497655069000568,0.028290735603347,0,0,-0.0420752544741844,-0.0570550901454468,-0.0128370908819142,-0.032410747362047,0.0238638508692028,0.0458932916420135,0,0,0,0,-0.0444010575720192
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,-0.00403053816587725,0,-0.00594397242406598,0,0.00436637693315223,0,0.00488530028089992,0,-0.00113424623989358,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.00813471890624477,0.00223565444848757,0.000488754220764642,0,-0.00184324470398048,0,-0.00324460611820971,0,-0.00534504705386511,-0.0034654975709072,0,0,0,0,0,-0.0245273981558678
VIX.Index,0,-0.0160733827447369,0,0.082631201512669,-0.11857283952991,-0.0355110200192323,-0.0948685027302626,0,0.00583813775620863,0.0350780976045354,0,0,0.0735839048995336,0,0.0289407569756364,0,0,0,0,0
