,BTC,ETH,BCH,XRP,LTC,MIOTA,DASH,XMR,XEM,BTG,EOS,ADA,ETC,NEO,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.214168485115398,0.223084931471282,0,0,0,-0.131112175340972,0,-0.0594356168686869,0,0,0.136815763147269,0.149799810851919,0,0,0,0,0
ETH,0,0,0,0.210672212475949,0.257836950735518,-0.0383426177931744,0.0677730043421281,0,-0.0545050976491721,0.4063140847812,0.0769636488726225,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.0372248954726332,0.103033516750361,0,0,0,0.0438434826114021,0.610212421147146,-3.46944695195361e-18,-0.0141940018589601,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0911235173553413,0,0,0,0.0991711645404351,0,0,0.122680062915719,0,0,0,0,0,0,0,0
LTC,0,0.297449691610152,0,0,0,0,0,0,0.211483528439832,0,0,0,0,0.00529370185688565,0.0658382119412564,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.169379693168469,0,0,0.267240606970423,0,0,0.305680747645223,0,0,0,0,0
DASH,0,0,0,0,0.231008722721903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.142067839074969,0,0.0953924740842568,0,0,0,0,0,0.0337202320320615,0,0,0.277737836397683,0,0,0,0,0
XEM,0,0,0,0,0.138946450492391,0.113728742984658,0,0,0,0,0,0,0.144632483721982,0,0,0,0,0,0,0
BTG,0,0,0.772366794464942,0,0,0,0,0,0,0,0,0,0,0.0435959978328373,-0.0639624804913444,0,0,0,0,0
EOS,-0.335422895742035,1.04571516644869,-0.33361542085732,0.401465870709854,-0.680415806043578,-0.253642588595636,0.176524681023873,-0.423041410442328,0.171464802814448,0.0175906493442707,0,0,-0.946758782968205,0.70195270681772,1.12569940383561,0,0,0,0,-0.135462759425542
ADA,0,0,0,0,0,0,0,0,-0.0400681637838125,-0.226251776343469,0,0,0.990019864970673,0,0.216509708114971,0,0,0,0,0
ETC,0,0.224276228761873,0,0,0.00549683012550696,0,0,0.158277228352294,0.0870936452563573,0.11200568279535,-0.0749382293590038,0.305307911541755,0,0,0,0,0,0,0,0
NEO,0.182940274379331,0,0.0637244164555646,0,0.307756505771843,0.326055246022438,0.21899903846151,0,-0.0900861599745815,0,0.511627727651311,0,0.247472730073022,0,-0.638838576890053,0,0,0,0,0.230769370045487
XLM,0,0,0,-0.347468230781138,0.194036985633834,0.0906022677990466,0,0.76154060530434,0,0,0.2557635471889,0.270308357597946,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0403141331887834,0.00494810276204186,0,0,0,-0.00381581329052976,0,0,-0.0211630600130792,0,0,0.0224363700667822,0,0,0,0,0
CVIX.Index,0.0465730484688523,0,0,-0.0154449273827983,-0.0222270908829882,-0.00295256987971016,0,0.0237485024387583,0.0204058730698784,-0.0106817582738774,0,-0.0065519844183224,0,0,1.0842021724855e-19,0,0,0,0,0
DXY.Curncy,0,0.0173273570999491,-0.0116362199113253,0,-1.0842021724855e-19,0.0038150902488853,-0.0067520374792961,0,0.00289547648621675,-0.00791877936113971,0,0,-0.00578848709229719,-0.010827596071505,-0.00229840901818424,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,-0.143430413377363,0,0.0168291492335462,0.0759105645840755,-0.298248669387159,-0.0252969473457178,0.16356799756466,0.122634400016443,-0.0486820245753696,0.0452696674444781,0.0539783108737165,0.0225321354758908,0,0,0,0,0,0,0,0
