,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.00783380234618376,-0.092291005931759,0.127931387046211,0,0.00895426284046077,-0.00646829393730506,0.0890738650875418,0,-0.00150222149200726,0.10371952449432,0,0,0,0,0
ETH,0,0,-0.149356480496778,0,0.0505238097815201,0,0.0246948583366426,0,0,0.131763977320648,0.0982464174493641,0.0117345210836177,0,0,0,0,0,0
XRP,0,-0.379541330695982,0,0,-0.412917518227851,-0.0250634090579786,0,0,0.301632150727104,0,0,0.118004531991111,0.139256256428741,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0.193022719889596,0,0,0,0,0,0,0
ETC,0,0.401168101306077,-0.108201301110178,0,0,0,0,0,0.0225341077469815,0,0,0.0121186479309415,0.320105574702241,0,0,0,0,0.215538670013592
LTC,0.551486375644391,-0.36630114729057,-0.212555800197688,0.0631894434362881,0,0,0,0.478407660994131,0,-0.184964512675579,0.127958269275738,0,0.194223784238005,0,0,0,0,0
DASH,0,0.1189675734924,0,0.083355317201476,0.0970119339163123,0,0,0.133556626633464,0.0823307185162088,0.306160738631526,-0.135019887075097,-0.0427161803465864,0.0501692973402814,0,0,0,0,0
XMR,0,0,0,0.177767323086297,0,0,0.278224145224902,0,0.0752991222703585,0,0,-0.0222978069250729,0,0,0,0,0,0
XLM,0,0,0.561130085352182,0,0,0,0,0.15844296522416,0,0,0.121967170894535,0,0,0,0,0,0,0
ZEC,0,0.158844451043375,0,0.0049964706481743,0,0,0,0,-0.00678759023805216,0,0.169444539572189,0,0,0,0,0,0,0
DOGE,0.48438611302502,0,0,0.39997492498334,0,0,0,-0.191130313488972,0.146971999866591,0.323824138086323,0,0.315218858401707,0.0785688589680977,0,0,0,0,0
DGB,0,0,0,-0.483433268724271,0,0,0,0,0,0,0.730969708785012,0,0,0,0,0,0,-0.0455434519304331
NEO,0,0,0,0,0.75490617234901,0,0,0,0.0651135412813834,0.102364748539351,0,0,0,0,0,0,0,-0.209779376303821
BV010082.Index,0,0,0,-0.0181381760769151,0,0,0,0,0.0102469512528865,0,-0.00417838615393735,0.0023739720438485,0.0287509147023041,0,0,0,0,-0.0235783562439819
CVIX.Index,0,0,0,0.0783349624701135,-4.33680868994202e-19,0,0,0,-0.0154885800240955,0.00337566017857387,0,0.0285638438697256,0.0283521707672161,0,0,0,0,0.107559567181624
DXY.Curncy,0,0,0,0,0.0024947439804973,0,0,-0.00353638407825391,0,0,0,-0.00292058939431269,0,0,0,0,0,0
SPX.Index,0,0,0.00287334308553995,-0.0133772672606313,0,0,0,0,0.00458021124226235,0.00299873383784838,2.71050543121376e-20,0.00178090283158535,0.00236617485656091,0,0,0,0,-0.0268046257754479
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
