,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,ETC,TRX,DASH,MIOTA,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0765325895268711,0,0,-0.0944786662253319,6.93889390390723e-18,0.29853863375919,-0.0755962783462075,0.399293124530034,-0.100585557017712,0,0,-0.0846838793377645,0,0.283438463630893,0,0.131341982520443,0,0,0
ETH,0,0,0,0,0,-0.252787228034538,0.267207637671342,0.171816300327111,0,0.122846687651874,-1.38777878078145e-17,0.0824553406051146,0,0.2933065036153,0,0,0,0,0,0
XRP,0,0,0,0,0.249282480111412,0,0,0,1.73472347597681e-18,0.0528585762763215,0,0.159539662280359,0.147136154500388,0,0.295830195658883,0,0,0,0,-0.0332546397353049
BCH,0,0,0,0,0,0,0.17157000397317,0.201754503408099,0.252916256583609,0,0.0987138521383672,0,0.0294084367422375,0,0.049771949456126,0,0,0,0,0.0579969616040714
EOS,0,0.330968846409028,0.184825095355227,0,0,0,0.180950195062031,0,0,0.0567100002960137,0,0,-0.0363228460816908,0.152783187552347,0.220299824431173,0,0,0,0,0
XLM,0,-0.351789006457048,0,0,0,0,0,0.28079204783312,0.230804546951886,0,0,0,0.0377041487339142,-0.114116096890263,0.764738208773448,0,0.141711541008892,0,0,0
LTC,0.377961962728346,0,0,0.0871672903723789,0,0,0,0,0,0.0438742014459208,0,0,0.223103967722009,0,0,0,0,0,0,0
ADA,0,0.137388426268132,0,0,0,0.208541779077097,0,0,0.0385447929624759,0,0.217373476827851,0.236278879061226,0,0,0,0,0,0,0,-0.0253089037136608
XMR,0.49591249611689,0,0,0.393801003752634,0,0.0790202362168023,0,0.0725207103094076,0,0,0,0.122337804405977,0,0,0.115042867730559,0,0,0,0,-0.026515268936423
ETC,0,0,0,0,0.984899456991729,-0.235323163148769,0,0,0,0,-0.25031321080639,0.182481445542033,0.194345083468446,0,0,0,0,0,0,-0.211155651275437
TRX,0,0,0,0,0,0,0,0.201163846874572,0,0.010972815523378,0,0.259246647273718,0.0111349771224224,0.600963063854546,0,0,0,0,0,0.0349393567629163
DASH,0,0.692108325282721,0,0,-0.207756424470839,0,0,0,0.460842215602521,0,0.168124936985573,0,0.0169816287842613,0,-0.0874425905151143,0,0,0,0,-0.0418320491521475
MIOTA,0,0,0.407332752620823,0,0,0.0402914528144792,0.538752080638761,0,-0.363805868314333,0.0767121228576014,0,0,0,0.782537429156732,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.089711801580242,0.0187199631574766,0.174858634493643,0,0.0735916284444019,0,0.681994195600613,0,0,0,0,0
XEM,0,0,0.051634857060196,0,0.131426815383099,0.0794189446146033,0,0,0,0,0.00183050594122639,0,0,0.523994233212407,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167535581533095
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0.0187874580118737,0,0.023359627232611,0.0367331609662625,0,-0.0239245603211657,0.0294047084098343,0,0,-0.0110946360448759,0,-0.000658815476679633,-0.0866362875108487,0,0.0655169102195575,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460777087147751
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
