,BTC,ETH,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.00193051170101401,-0.0614172258078078,0.995958814979298,-0.0159877081535819,0.00423594513104491,0,0.0271311979901826,0,0,0,-0.0517929000301098,0,0,-0.0292534843975346
ETH,0,0,-0.785358266684719,-2.82463785271295,-0.36898311905103,-0.557343338032257,-1.30393966264168,0.313287696620738,0.732764159632886,0,0,1.95041560857292,-6.47404192127423,0,0.521313342527128
XRP,0,0,0,0,0,0,0,0.0673723510096065,0,0,0,0,0,0,0
LTC,0.483553360407791,-0.00693807898753671,0,0,0.0199702095151109,0,0.00133731846121583,0,0,0.0044851669622662,0,0,0,0,0
DOGE,0,0,0,0,0,0,0,0,0,0.0612330652328192,0,0,0,0,0
DASH,2.77555756156289e-17,-0.201132028815975,0,0.597476079737262,0,0,-0.727356663201823,0.291608137505907,0.21634222804,0.267884342683662,-0.632772283319564,0,0,0,0.249720269255228
XLM,0,0,0,0,0,0,0,0.0918119484872779,0,0.303638566504914,0,0,0,0,0.0753937001717632
XMR,0,0.145645236865403,0,0,0.273390173630885,-0.0771184180899657,1.0586311227566,0,0,-0.0178660899398621,0,0,0,0,-0.591168446785228
XEM,0,0,0,0,0,0,0,0,0,0.21174930551806,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.00641957035082217,0,0,-0.0251387169631832,0,0,0,0,-0.0199131935054808,0,0,0,0,-0.19128492317721
CVIX.Index,0,0,0,0,0,0,0,0,0,0.0557271941405727,0,0,0,0,0
DXY.Curncy,0,-0.00752029056555192,0,0,0,0,-0.012164973992559,0,-0.00463749484755797,-1.0842021724855e-19,0,0,0,0,-0.00971265917647851
SPX.Index,0,-9.99894644171591e-05,0,0,0,0,0,0,0,-0.0047949295045255,0,0,0,0,-0.136646777454778
VIX.Index,-2.77555756156289e-17,0.0391769630449994,0.126434447764291,0,0.168790119919614,0.0448871326535738,0.156066194711864,-0.122966574219139,-0.104649195870552,0.0511930938404943,0,-0.0673275590562483,0,-2.68201794846263,0
