,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,XTZ,ETC,XMR,TRX,XLM,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0664552066357002,0.00837057999128816,0.00402739606999243,0.0565918318965347,0,0,-0.049395290989795,0,0,0.396211266662493,0,-0.0220919005658967,0,0,0,0,0
ETH,0,0,0.43584616735903,0.00889316477679776,0.0187987029365288,0.0364992383196055,0.275873838014808,0,0.00275849483958191,0,0,0.0901274469720417,0,0.0344264246107164,0.0072902119847209,0,0,0,0,0.015796098620368
XRP,0,0.327036931370385,0,0.113487438388898,0,0.0268126944494528,0,0.152891268999884,0,0,0,0,0.122884653616445,0.00427989894066118,-0.0395011151333688,0,0,0,0,0
BCH,0,0,0,0,0.171414798235471,0.308169646068256,0,0,0,-0.0301484801456063,0.311870972780714,0,0,0.465371427691902,-0.105293174888146,0,0,0,0,0.0524815375003384
BSV,0,0,0,1.43446456055819,0,0,0.801950224403683,0,0,0,-0.172536991648223,-1.38361287232313,0,-0.296951203235496,0.648452877501675,0,0,0,0,-1.38777878078145e-17
LTC,0,0,0,0.271813936477087,0,0,0.356771674655292,0,0,0,0.0141956888129613,0.02872340924253,0.0815144485213871,0,0,0,0,0,0,0.0173171236066778
EOS,0,0.118577041544045,0,0,0.0967935877089672,0.247042657776768,0,0,0,0.221891008852731,0.026085238551328,0,0.459241545840311,0,0,0,-0.160787394760298,0,0,-0.0668902531525611
BNB,0,0.196005552920928,0,0,0,0.0490093658528108,0,0,0,-0.0233116662329104,0,0.302496879892359,0.0873071823478112,0,0.0847555515491207,0,0,0,0,0
ADA,0,0,0,0,-0.0727065761297288,1.38777878078145e-17,0.37273484591336,0,0,-0.195875511871238,0.169990690134312,0,0.773198248887652,0.0540591801845986,-0.12350912903753,0,0.184186741596152,0,0,0
XTZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,-1.09869742489049,0,1.02790805919756,-0.101629270605213,0,0,0,0.704234937494824,0,0,0,0,0,0.325999257261948,0,0,0,0,-0.02552549160682
XMR,0,0,0,0,-0.0664183335909783,0.43455875890403,0,0.244884118398982,0.078901671657037,0,0.0260344742533467,0,0,0.0862181504375825,0.115141362473829,0,0,0,0,0.000432724363008469
TRX,0,0.495407612490275,0,0,0.00231453006550733,0,0.0638143392861911,0,0.191014523352682,0,0.0155199437602306,0,0,0,0.0652218392976022,0,0,0,0,0
XLM,0,0,0.605950004453288,0.0547282373032798,-0.0167881003821838,-0.260084217035323,0,0,0.235146922911047,0,0,0,0,0,0.0919890437860444,0,0,0,0,-0.161070770379532
DASH,0,0,0,0,0.27373711898513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0.144804929349591,0,0,0,0.0296523825225189,-0.1765782406871,-0.0129924573990177,0,0.0013756814402794,0,0,0.0951397403215496,0,0.004390459679976,-0.0147797491257667,0,-0.0593787530336494,0,0,-0.100989313798371
CVIX.Index,0,0,0,0,0.00601413545133542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148246958398826
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.00208552598252832,0,0,0,0,0,0.0161780663355526,0,0,0,-0.00873398573491145,0,0,0,0,-0.0788166272359389
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
