,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.254841771181225,-0.0296547370507812,-0.0493691072278364,-0.0259616509826,0,-0.0621002406151009,0,0,0.0670333293292897,0,0,0.0078307423574424,0,0,0,0,0
ETH,0,0,0,0.102330666927973,0.0213603600795521,0.247378210629922,0,0,0,0,0.00490556005829984,0,0.132154337531922,0,0,0,0,0
XRP,0,0.188386660640797,0,0,-0.234525800889019,0.844359827264414,0,0,0,0,1.68197872349181,0,-0.842223954002834,0,0,0,0,0
DASH,0,0,-0.0777929681112242,0,0,0,0,0,0.296219990465072,-0.112046270644382,-0.0729849478634753,0,0.0700818321592118,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.152971211832082,0,0,0,0,0,0,0,0
XMR,0,0,-8.67361737988404e-19,0.0716790857739767,0,0,0,0,0.105011067316328,-0.0787372681971479,0,0,0,0,0,0,0,0
ETC,0,0.342168485366716,0,0,0.336722818417978,0,0,0.0229668077202898,0.438392766714357,-0.239715815699712,0.0335539173584947,0,-0.162567426290774,0,0,0,0,-0.125860928817201
XEM,0,-0.181334094833933,0,0,0,0,0.0736468323357329,0,0,-0.215462585861724,0,0,0.460950796445162,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0.265052307856266,0,0.119763844776774,0,0,-0.0418664269619681,0,0,0.086551925996196,0,0.317315466139863,0,0,0,0,0
XLM,0,0,0.425882201290901,-0.0975435731874127,0.113928492428702,-0.402392343009212,0.230222381879284,-0.264933226297019,0,0,0,0,0.547219043532757,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,-0.322948850205805,0,0,0,0,0.463940594184251,0.431479958386877,0,0.437070843938356,0.0263727535915746,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.014171183074412,0,-0.0388627190167066,0,0,0,0,-0.00996585061107998,0.00773778260070113,0,0,0,0,-0.142025099807123
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0279162400577684,0.0142854968021389,0.00644771126172914,-0.00835911975980998,0.00362083691797255,0.0148930104847921,0.0138338256922042,0.00137579353672508,0,0,-0.0144704035137783,-0.0163142651297787,0,0.0411153235969413,0,0,0,-0.00743298942279478
SPX.Index,0,0,0.00362646842796048,0,0.00195491036799369,0.0116088853858747,0,0,0,-0.00229384576576261,-0.00483763026709872,-0.00297563673371244,0,0,0,0,0,-0.0307274169066165
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
