,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0775655938221519,0,0.03352176039489,0,0,6.93889390390723e-18,0.145438411398185,0.258099063645505,0,0,0,0,0,0,0,0,0,0
ETH,0.51646473893435,0,0.128735171888349,0,0,0.0395733722760503,0,0,0,0.080680808014689,0,0,0,0,0.207242668762254,0,0,0,0,0
XRP,0,0.445855982402633,0,0,0.00319549735296432,0.0805879949092187,0,0.270731538858541,0,0.0576297892314478,0,0,0.100558678182758,0,0,0,0,0,0,0
BCH,0,0,0.0472159864097321,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.878696568947209,0,0,0,0,0,0,0.150300312445871
EOS,0,0.775873145104067,0.400005699373456,-0.345744502894664,0,0,0,-0.0568154882485677,0,-1.33205893289409,0.540497628148613,0,0,0,0.788125566264329,0,0,0,0,0
ADA,0,0,0.245138346910025,0,0.0579211849424517,0,0,0.24371299760988,0,0.290798754723931,0,0,0,0,0,0,0,0,0,0
LTC,0,0.154953034101077,0.094950717212238,0.00908071939983154,0.0352514439538072,0.0709379870488832,0,0,0.149253557644061,0,0,0,0,0.0916287360379972,0.264664747884792,0,0,0,0,0.00946208361179495
XLM,0,0,0.0755688272081781,0,0,0.0341746575808485,0,0,0,0,0.264360644782886,0,0,0.586037778290177,0,0,0,0,0,-0.126527316633803
TRX,0.69082147496637,0,0,0.138422007188349,0,0,0,-3.46944695195361e-18,0,-0.61639502560704,0.314633048667215,0,0.0143027014825205,0.459549906775314,0.1256034555934,0,0,0,0,0
MIOTA,0,0.222161934507662,0.205196930902652,0.0880115502625215,-0.0374505556787416,0.0555097058228231,0,0,-0.131500737719835,0,0,0.10451412804023,0,0.436846629655868,0.308605770451979,0,0,0,0,0.232798902680131
NEO,0,0,0,0,0.130825123204818,0,0,0.220507539104956,0.143863335936071,0.304425399195473,0,0,0,0.182247398031425,0,0,0,0,0,0
DASH,0,0,0,0.164579509543392,0,0,0,0.00745764771503919,0.0199464373654655,0.100323604296383,0.0597353617490714,0,0.619034090472848,0,0.046093100713338,0,0,0,0,0
XMR,0,0,0.320093647218407,0.0469317644309284,0,0,0,-0.00551996625095806,0,0,0,0.562459310628778,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.0487772323153431,0.00441655682930409,0,0.188037087326153,0.233678627535096,0.325634746551931,0,0,0,0,0,0,0,0,0,-0.281999023272794
ETC,0,0,0.122284983002914,0,0,0,0,0,0.289375325040672,0.15555338283813,0,0.210963588299938,0,0,0,0,0,0,0,-0.0809258021793056
BV010082.Index,0,0,0,0,0.0219699288541523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0.0101113805754195,-0.00353500100841511,0,0.0148506665420619,0.00763851530852862,-0.00136847580011867,-0.0195786944179968,-0.0120058724454096,0,0,0.0154797657130431,0,0.072644704132272,0,0,0
SPX.Index,-0.0561262875232769,0,0,0,2.64697796016969e-23,-0.00221223724387702,0,0.0171509023838682,-0.00204089007265383,0,0,0,0,0,0.0168160695924422,0,0,0,0,-0.0993255289523713
VIX.Index,0,0,0.31697627502718,0.294163046470646,-0.0628684327445819,0,0,-0.354417310087655,0.172149638835434,0.0821039686267939,0.103440941951,0,0,0,-0.765177404141852,0,0.57304397911036,0,0,0
