,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.324719315788495,0,0,0.107405563910021,0.0165106446612655,0,0.0314298807716332,0,0.115810134626757,0,0,0,0,0
ETH,0,0,0,0,0,0,0.356173614489392,0.117282529153922,0,0.00690218756744744,0.0398558820607799,0.0640628590716035,0,0,0.245743846588991,0,0,0,0,0
BCH,0,0,0,0,0,0.372590762580275,0.290048002982002,0,0,0,0.123700257440088,0,0,0,0,0,0,0,0,0
XRP,0,0,0.0469322370230416,0,0.0268236761743137,0,0.0805237482076464,0.03306643102554,0.257050253852887,0,0,0.0777828217747807,0.0601563746378337,0,0.04114492449558,0,0,0,0,0.0863315465052017
DASH,0,0,0,0,0,0,0.30355957784062,0,0,-2.16840434497101e-19,0,0.139462802277305,0.353426055782337,0,0,0,0,0,0,0
LTC,0,0,0.0866006746562076,0,0,0,0,0.0632846477379455,0,0.637428300195266,0.0593933617348521,0,0.0671790926034329,0,0,0,0,0,0,0
XEM,0,0.165776839323276,0.0941153204432728,0,0,0,0,0.112861214710023,0.166656643993604,0,0,0,0.0239920206709058,-8.67361737988404e-19,0.144373058083334,0,0,0,0,0
MIOTA,0,0,0.0694465879366704,0,0,0,0,0,0,0,-0.433495868862278,0,0,0.623717218156582,0.729691000211541,0,0,0,0,0.236878288559545
XMR,0,0,0,0,0,0.106276549056845,0.54387490424698,0,0,0,0.043333962276869,0,0.00984924478427736,0.00726444870719485,0,0,0,0,0,0
ETC,0,0,0,0,0,1.1496291221653,0,0,0,0,-0.100514625304927,0,0,0,0,0,0,0,0,0
NEO,0,0.361755338225702,0.612859561636168,0,0,0,0,-0.33262360220819,0,-0.546616559282405,0,0,0.443671874083885,0,0.465562875188107,0,0,0,0,-0.470933756289665
ZEC,0,0,0.0861639191759118,0,0.20363746825154,0,0.174134524489857,0,0,0.0454273610014309,0,0,-6.93889390390723e-18,0.152255867176074,0.105638562817,0,0,0,0,0.117518211669495
BAT,0,0,-0.450485245591486,0,0.147887825081544,0.526069173511115,0,0.234927228061839,0,0,0.372603411359138,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.36514943707019,0,0,0.347091141716373,0,0.0477313205062886,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0.337337470104735,0.236165820730197,0.0669550591460618,0,0,0.0635569817441896,0.327932097714935,0,0,0,0,0,0,0,0.0672112393257131
BV010082.Index,0,0,0,0,0,-0.0155249691635735,0,8.67361737988404e-19,0,0,0.0100073758457939,0,0,0,0,0,0,0,0,-0.116681926304318
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,-0.0110368528230871,-0.00511604540614704,0,0,0,0,0,-0.00843902060539593,0.00923655515999204,0,0,0,0,0,-0.01200134732324
SPX.Index,0,0,0.00385128408335785,-0.00837586125234639,0,0,-0.00879930688363615,0,0,0.00670736163466681,0.00109899029624649,0.00174697129773117,0,0,0,0,0,0,0,-0.0462778738998311
VIX.Index,0,0,0,0,0,0,0,0.0369736472954982,0,0,-0.106275877671097,0.104971532055848,0,0,0,0,0,0,0,0
