,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XEM,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.145848472874888,0,0,0,0,0,0,0.00542493126117489,0,0,0.10383187609706,0.434842377308504,0.0559483930854159,0,0,0,0,0,-0.03242901238455
ETH,0,0,0,0,0.0607087867970782,0,0,0,0,0,0,0,0.273393270733951,0.159277513380196,0.0773618637836514,0,0,0,0,0.036689345126757
XRP,0,0,0,0.0762061795108367,0,0.44340042392002,0,0.170178915123171,0,0,0,0,0,0.0182900321677494,0.209310910982471,0,0,0,0,0
BCH,0,0,0,0,0.171452370385275,0,0,0,0,0.137673087261946,0.39103545615645,0,0,0,0.0876522110152346,0,0,0,0,-0.000863554436060342
LTC,0,0.0211984979595513,0,0.103203836852328,0,0.455575513611395,0,0,0,0.200025196214128,0,0,-1.0842021724855e-19,0.0070406887406739,-1.73472347597681e-18,0,0,0,0,0.0313255775108357
ADA,0,0,0.464590537769194,0,0.035078243557699,0,0,0,0,0,0,0.282649259453307,0,0.0131728408180008,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0.144062205661711,0.534195614699252,0,0.237989191912797,0,0,0,0,0.045091902307654
XLM,0,0,0.114233866747918,0,0,0.359459716069171,0,0,0,0,0,0.0851293741180933,0,0.162510609691641,0.0930683434454458,0,0,0,0,0
EOS,0,0,0.120860984035508,0.0222218585321691,0,0,0,0.322914955655301,0,0,0,0,0.250184690053233,0,0.268146030858703,0,0,0,0,0.0585272859167913
MIOTA,0,0,0,0,0.097577716661914,0.102818461272866,0,0,0,0,0,0,0.470475150847267,0.115794400623321,0.0820509731967329,0,0,0,0,0
DASH,0,0.167239866241466,0.00719699897734014,0.116836749239336,0.0354373788062893,0,0,0,0,0,0,0.0759305796791395,0.534536055092993,0,0.00971152349548915,0,0,0,0,0.00652847996097035
XEM,0.0461634656516254,0,0,0,0,0.227106297059557,0.264629379425521,0.117490999910236,0,0,0,0,0.0928115690347687,0.136485228668076,0,0,0,0,0,0.106039682703852
XMR,0.286634212568691,0,0,0,1.73472347597681e-18,0,0.0641151225067807,0,0.00421262636440896,0,0.683164269475687,0,0,0,0,0,0,0,0,0
TRX,0,0,0.33367589389849,0.137108950968498,0,0,0.245746648222443,0,0,0,0,0.248998903823448,0,0,0.0642353383069372,0,0,0,0,0
ETC,0,0.406325933795826,0,0.280938652023835,0,0,0,0,0.539399284733333,0,0,-0.0668336814145365,0,0,0,0,0,0,0,-3.46944695195361e-18
BV010082.Index,0,-0.00201015833336855,-0.0786388256020814,0.0683698715891055,0,0,-0.0512193045566343,0,0,0,0,0,0.0802424529565527,0,0,0,0,0,0,-0.0500728101391209
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369832094786668
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522853589940503
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544650951927059
VIX.Index,-0.318819305784438,0,0,0,0,6.93889390390723e-18,0.0389773602305123,0,0,0,0,0.704469216044619,-0.273270170703869,-3.3881317890172e-21,-0.0121315560990911,-1.77016830517967,0,0,-2.9710620621455,0
