,BTC,ETH,XRP,BCH,ADA,LTC,XLM,XEM,EOS,NEO,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.427173584901051,0.0925708431970447,0,-0.0636667780076991,0,0,0.0514894635793183,0,0,0,0.046829957140717,0.0588617610795237,0,0,0,0,-0.169929037989048
ETH,0.180170170647088,0,0,8.67361737988404e-19,0,0,-0.0267355740554546,0.0794563740956627,0.132859962351317,0.254288151611319,0.120532762529223,0,0,0.022267899510651,0.0550027490556362,0,0,0,0,0
XRP,0,0,0,0,-0.121306563590898,0.2311048149997,0.587764827115405,0,-0.0966449791788948,0,0,0.171780719803177,0,0.234727876242487,0.0445462686907678,0,0,0,0,0
BCH,0.867511388051383,0.0890289661726396,0,0,-0.111807031820647,0,0.0218095970838568,0,0,0.00678860043474608,0.388241249430481,0.246326183709524,0,-0.103902771558513,0,0,-0.207118326879024,0,0,0.114239670965677
ADA,0,0,0,0,0,0,0,0.620689644191483,0.129779139436083,0,0,0,0,0.11235370416867,-0.103699318024352,0,0,0,0,0
LTC,0.476119199684457,0,0.0906848722079043,0,-0.0427282889748363,0,0,0,0.0355292550994,0,0.097665741476387,0.0651396650464054,0,-0.0394619854403594,0.1664583902186,0,0,0,0,0
XLM,0,0,0.153705018187196,0,0.553366987409372,0,0,0.444399103472016,0,0,0,0,0,-0.159540917318331,-0.049891418547773,0,0,0,0,0
XEM,0.278714510966585,0.0288649045699435,0,0,0.234053980719337,0,0.540722380067464,0,-0.150557945814718,0,0,0,0,0,0.188964388882177,0,0,0,0,-0.333862320043607
EOS,0,0,0,0,0.61229881584591,0.179333013742791,0,-0.226154083937568,0,-0.117714343354722,0,0.324728016760765,0,0,0.348927111462383,0,0,0,0,-0.0709226005595413
NEO,0,0.386490437940698,0,0,0.217192352923677,0,0.162836443603221,0,0,0,0.00808584744867708,0,0.00560498434478366,-0.0457757498685505,0.23813469391992,0,0,0,0,0
MIOTA,0,0.277753884579903,0,0.402170769628304,0.0788297831379814,0,0,0,0,0,0,0.0165428497010969,0,0.009966765354036,0.0790778038028585,0,0,0,0,0
DASH,0,0.0249579217066739,0.191400168371768,-4.33680868994202e-19,0,0.324920303044076,0,0,0.0706944786725117,0,0,0,0.150745733881169,0.0637859386991224,0,0,0,0,0,0
XMR,0,0,0,0.0813448737873103,0.0232198887075312,0,0,0.160658800998764,0,0.175166511336863,1.73472347597681e-18,0.392525629631905,0,0,0.0702574000089603,0,0,0,0,0
TRX,0,0,0.766508194873873,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0.107704809993608,0,0.180354597669799,0,0.246090351449264,0,0,0,0,0,0,0.354599944119946,0.0731804936503736,0,0,0,0,0,0
BV010082.Index,0.00729844697036393,0.00256368799099417,0,0,0,0,0,0.0400046805440509,0,0,0,0,-0.0315569960734973,0.0021861929890033,0.017291047407598,0,0,0,0,0
CVIX.Index,0,0,0.0476257402075439,-0.113724082248929,8.67361737988404e-19,-0.0330288396857537,-0.0182587010636671,0,0.0764446742210391,0,0,0,0,-0.0580657458214225,0,0,0,0,0,0
DXY.Curncy,0,0,0,0.00732801236201055,0,0,-0.00779281136954798,0,0,0,0,0,0,1.57043843608015e-05,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.0140052307364061,0,0,0,0,0,0,0,0,0,0.00654459082651357,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
