,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0.2223397825842,0,0,0,0,0,0,0.02693490088134,0,0,0,0,0
ETH,0,0,0,0,0.510578958681325,0,0,0.0291592352772746,0,0,0,0,0,0.0877426155797528,0.00332399521668269,0,0,0,0,0
XRP,0,0,0,0,0.236040314615085,0,0.051682342692757,0,0,0.275199257907299,0,0,0,0,0,0,0,0,0,0.181556884665318
BCH,0,0,0,0,0,0,0,0.0986531341506435,0.0713625448794328,0,0.488210976566704,0,0.0255620535203378,0.0580378759536014,0,0,0,0,0,0
LTC,0.194964596125919,0,0.241362416875869,0,0,0.124164499588705,0,0.193651516062431,0,0.136865102805988,0.0763756798969081,-0.0529574220317905,4.33680868994202e-19,0,0,0,0,0,0,0
DASH,-0.50007490753748,0.257989010458435,0.0943154872705797,0,0.512829494981314,0,0.18698043537615,0.0561481149153639,-0.0232830361767187,0,-0.417616235793049,0.0841226127204822,0.0792731635904841,0,0.0487391116585291,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.271943083216117,0.106176827586032,0,0,0,0,0.0364919019577327,0,0,0,0,0,0
NEO,0,0,0,0.629369352741395,1.27638253345789,0,0,0,0,0,0,0.239779164012274,0.0910880798850988,0.119480083380039,-0.0345321115439558,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.299580915772612,0.0992004723308931,0,0.562842126123356,0,0,0,0,0.0973369325745379,0,0,0,0,0
XMR,0,0,0.0491317573971584,0,0.143069441748539,7.58799354356934e-06,0,0.0133061055402596,0.11798274183039,0,0.195921058713218,0,0.152722926015031,0.0329559369318021,0,0,0,0,0,0
ETC,0,0.300607275523332,0,0.143131323872587,0.289436682957099,-0.155034235273211,0,0,0.0423164309447608,0,0,-0.0670362985339028,0.0363872538709596,0.0356079538790727,0.0772190022426252,0,-0.251210802106031,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0.243799186041269,0,0,0,-0.0135147068335328,0,0,0.373924662714392,0,0,0,0,0
XLM,0,0.242576064267781,0,0,0,0,0.498108579627535,0.262994900098629,0,0.300432100980516,0,0,0.135869493612749,0,0,0,0,0,0,0
EOS,0,0,0.166523316753079,0,0.0809707953620457,0,0,0,0.0963925343712871,0,0.247668363595159,0,0.342073060097746,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0233682082751839,-0.0220685927178767,0,0,-0.0202692521077429,0,0,0,0,-0.00990495035057067,0,0.0166425974552647,0.0410540381481342,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.00590966572680422,0,-0.0138604863064903,0,0,0,-0.00110746670716914,0,-0.00892917851299661,0,0,-0.0203810805566229,0,0,0.0138519609755478,0,0,0,0,0
SPX.Index,0,0,-0.00818326998212359,0,0,0,-0.00596647172905191,0,0.00356833610456519,0,0,-0.0101866718790978,-0.0126278211800878,0.00828241788067941,0.0109195965192511,0,0,0,0,-0.03710174272328
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
