,BTC,ETH,XRP,BCH,MIOTA,XEM,LTC,NEO,DASH,ETC,XMR,EOS,ZEC,BAT,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0584049817929368,0.176239405268893,-0.124296421329127,0.417348961386836,0,0.096213908494821,0,0,0,-0.410109387733047,-0.0431212109901326,0.153338518480779,0,0,0,0,0.0807811001902488
ETH,0,0,0.668266781515473,0.0163746310175004,0,0,-1.0842021724855e-19,0.0299112638096768,0.0935951326626009,0,0,-0.143980399387525,0.277039828898536,0,0.290194122304195,0,0,0,0,0.0663255809140651
XRP,0,0.226877670448373,0,-0.0204110186164411,3.46944695195361e-18,0,0,0,0,0.125110185743152,0,0.128091926096908,0.19468197325311,0.0220672936025542,0,0,0,0,0,0
BCH,0,0,0,0,0,0.442445298515523,0,-0.262562275938327,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0.289637974366792,-0.455438886120057,0.333196844564085,-0.0304820587550114,0,-0.301404132447061,0,-0.0508981186994581,0.773861070602459,0,1.47149009544406,0,0,0,-0.87061071814241,0,0.976353736581345,0,0,0
XEM,-0.222733512192289,0,0,0.0829664304727985,0,0,0,0,0,0,0.0874626901816133,0,0,0.187793694249797,0,0,0,0,0,0
LTC,0.197445680625302,0.101636810679599,0.00885513139252259,-0.0292271039154518,0.0100008137993535,0,0,0,0,0,0,0,0.287963035681358,0,0.0807463152535128,0,0,0,0,-2.16840434497101e-19
NEO,1.3322093430963,0,0,4.33680868994202e-19,0.218781061214715,0.350384323257274,0,0,-1.90120965048908,0,0,0.497313477056789,-0.0859076813424981,1.26682724309871,0,0,0,0,0,-0.624344462466525
DASH,0,0,0,0.035765874457501,0.113085919145929,0,0.237300946985408,0,0,0,0,0.0583195174583152,0.0221085150728816,0.0763138619744883,0.0516651000354945,0,0,0,0,-0.0129842486135075
ETC,0,0.139018169196957,0,0,0,0.0584749056793058,0.129506839215608,-0.0228986694357098,0.129106595944467,0,0,0,0.103797476931258,0.0661782705440323,0.105605356288415,0,0,0,0,-0.0474951529012417
XMR,0,0.0937144964127694,0,0,0.322898618639718,0.246639792138125,0,-0.000987797983941219,0,-0.766138385402579,0,0,0.412177367380415,0.01039390926004,0.548926488459252,0,0,0,0,-1.73472347597681e-18
EOS,0.0047425477377512,-0.36169825267753,0.673666084526315,0.0292554062764808,0.13044638462975,0,0,0.0790086719777635,0,0,0,0,0,-0.0810214933346374,0.350647620393745,0,-0.149448854513947,0,0,0
ZEC,-0.132509272258615,0.488498080094369,0,0,0,0,0,-0.0595056853353106,0,0.032490129096512,0.250505943709949,0,0,0,0.101353985277537,0,-0.307859440226236,0,0,0
BAT,0,0.184079682232845,0,-0.050012223002088,0,0,0,0.377264802340838,0.964380150401124,0,0,-0.563262183902416,0,0,0,0,0,0,0,0.0710009975149879
DOGE,0,0.0442117159950539,0,-0.00827463559827727,0,0.0552759088975082,0.0703158052596294,0,0.122248798704937,0,0,0.249754309260994,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328377958412213,0.0188686800354623,0,0,0,0,-0.0171142087595423
CVIX.Index,-0.0498493931486994,0,0.170761641553006,0,0.0336864950869884,0.0208925735980679,0,-0.00258893362872142,0,0,0.02627931664057,0,-0.251124156554754,0.0702346958354831,0,-0.411765038520146,0,0,0,0.0327919955338618
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,-0.00654630036673609,0,0,0.00144139151076636,0,0,0,0,0,-0.00348715449954061,0,0,0,0,0,-0.0366813866678462
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
