,BTC,ETH,XRP,BCH,ADA,XLM,LTC,EOS,NEO,XEM,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0859853727486537,0.243707675274482,0.213055417080993,0,0,0,0.116955182671461,0,0,0,0,0.113125469704852,0.0693242955569346,0,0,0,0,-0.317295656112262
ETH,0,0,-0.0177153476324838,0,0,0,0,0,0.491346851493201,0.252396329240214,0,0,0,0,0.0398300856124617,0,0,0,0,0
XRP,-0.170461775929498,0,0,0,-0.175610722774683,0.525426370809616,0,0,-0.117171853255625,0.439103942149938,0,0,0,0.289418623498038,0.0958892754595872,0,0,0,0,0
BCH,0,0,8.67361737988404e-19,0,0,0,0,0.159118226745139,0.139856144897537,0.00831541749466795,0.309958513806671,0.283169246791005,0.124761134520831,0,0,0,0,0,0,0
ADA,0.391527559366552,0,0,0,0,0.44086626034888,0,0.00999771708498481,0,0.210312846852623,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.132702649908103,0,0.632764873358019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.280554674318674,0,0.0166317978978687,0,0,0.0353937814250189,0,0.0588855526442865,0,0,0.103197691196483,0.0845392646450798,0,0,0.182586738276118,0,0,0,0,0
EOS,0,0,0,0.957467735280429,0.376855529352543,0,0.252305132502033,0,-0.375263696931933,-0.0889403390453991,-0.621503892276677,0,0,0,0.436722935636283,0,0,0,0,-0.0805664955585383
NEO,0,1.05222158967395,-0.0305840595633506,0.0127884995965261,0.120188488096333,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0574661857381599,0,0,0,0,0
XEM,0,0.277782207287962,0.267364798276478,0,0.15058303202961,0,0,0,0,0,0.183073991232485,0,0.102345449683915,0,0.0651972687090158,0,0,0,0,-0.149288281960058
MIOTA,0,0.335448325181992,0,0.441087026325922,0.0172967188635899,0.146657035333276,0,0,0,0,0,0,0,0.0296073334027095,0.0156436187690958,0,0,0,0,0
DASH,0,0.0316106446222659,0.0945482037813757,-8.67361737988404e-19,0.0212731823060902,0,0.548490950255846,0,0.00143752784850285,0,0,0,0.119100459228368,0.116198570782292,0,0,0,0,0,0
XMR,0,0,0,0.0595989495806835,0.203913746227657,0,0,0,0.176518014422435,0.109676988720743,0.0645844980825921,0.293825208439811,0,2.16840434497101e-19,0.0773948995131269,0,0,0,0,0
TRX,0,0,0.579717435939417,0.225242707958226,0,0,0,0.122237168576257,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0.27295132525799,0,0,0,0,0.278238466823977,0,0,0,0,0.347610407029308,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.00940679985256219,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,-0.161979743267629,0.0291071435944555,-0.0113089517761756,-0.183692905224451,0.101303377134755,0,0,0,0,0,-0.03103745495289,0.105505174752763,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.00940084492387931,0,0,0.00311509516790631,0,0,0,0,0,-0.00759533600707064,0.00581562761851471,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
