,BTC,ETH,XRP,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.156567014234216,0.121521602870085,0,-0.0104597878784384,0,0,0,-0.0432325573721565,-0.0561001002929275,-0.0648518677693856,-0.0774708590369377,0.0945984734954891,0,0.0247280405629491,0,0,0
ETH,0,0,0,0,-0.063452876910676,0,0.0222604553346646,0,0.00290026744789496,0,0,0.444934864948051,0,0,-0.210019578122127,0,0,0
XRP,0,0,0,0,0,0,0,0,0.431350992984807,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,-0.469825072220718,0.568884392167169,0,0,-0.0401867651512499,0.620262524800601,0,0,-0.21440899714617,0,0.123211067294517,0.26496726809088,0,-0.916722103683021,0,0,-0.59748950179121
DASH,0,-0.158748007062117,0,0,4.33680868994202e-19,0,0.132935865749364,0.536958088464046,0.0123685527968696,0.0381589080105246,0.113718618156844,0.0536902851927784,0,0,0.0303210357810771,0,0,0
ETC,0,0,-0.115662598786331,-0.219413331441713,0,0,0,0,0,0,0,0.385129199497826,-0.195896457581496,0,0,0,0,0.309370037084244
XMR,-0.0074521127235999,0.274022333530832,0,-0.0644390304376414,0,0.265858779797656,-0.144206107567787,0,0.160128380355974,0,-0.21148152487002,0.145655878385164,-0.110257360665673,0,0,0,0,0
XLM,0,0,0.41874844847224,0,0.0568177988701677,0,0,0,0,0.532189753151781,0,0,0.376541933974082,0,0,0,0,0
DOGE,0,0,0.106952631254689,0,0,0,0,0,0.145839560979691,0,0,0,0.451370274948101,0,0,0,0,0
ZEC,0,0,0.134837537054388,-3.46944695195361e-18,0,0.521681842623007,0,0,0,0.0425210460663711,0,0.0950213188133275,0.0433178626459397,0,0,0,0,-0.0419202054892506
NEO,0,0.621652342492451,0,0.264384696168524,-0.116081071131298,0.295298350577449,0.0569452816799512,0,0,0,0.86003282269789,0,0,0,6.93889390390723e-18,0,0,0
DGB,0,0,0,0,0,0,0,0,0.525946618409237,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.00488466026858744,0,0,0,0.00844310116706822,0,0.0349097445665611,0.00821344305616163,0,0,-0.0712065586066352,0,0,-0.139575687899392
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0222828546739178,0.00166168041895275,0,-0.000754253986803507,0,-0.0178275307120511,-0.0129694710058602,0.000217122975092445,-0.00218320834728667,0,0,-0.00959381225947872,0,0.0105162627382497,0,0,0.0373521910351907
SPX.Index,0,0,-0.00214839164652996,0,0.00236780181882449,0,0,0,0,0.00216688956233345,0,-0.000387526526089108,0.000590464391785609,0,0,0,0,-0.0322227711083475
VIX.Index,0,-0.100933960292616,0.112147751015573,0,-0.0881888059114854,-1.73472347597681e-18,0.303203914670743,0,0,0.13044949189856,0,-0.03167317023471,0,0,0,0,0,0
