,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,XMR,TRX,XTZ,ETC,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0948179329564078,0.161523597873042,0.0976770780087949,0,0,0.060429604461413,3.46944695195361e-18,0,0,0,0.135907228407182,0,-0.0367617278761902,0.00790134654795399,0,0,0,0,0
ETH,0,0,0.0805363852317686,0.0793219989876267,0.0330574579362218,0,0.222382735652493,0,0.11126588332195,0.0377804633672154,0.131680586092664,0.0536070740862239,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0486568884602399,0.0245810480163775,0.107530381080558,0,0,0,0.263519015732136,1.38777878078145e-17,0.151886442109627,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.212377636478214,0.272784297576893,0,0,0.144358829385949,0,0.361756796298789,0,0,0,0,0,0,0,0,0
BSV,0,2.43972115947786,0,2.24905255673798,0,0,0.0954289349214127,0,-2.69990726429122,0,-1.41015554291552,0,0.207666396731561,-0.0256776235379327,0.271878839267427,4.02422772927682,0,0,0,1.04617972768427
LTC,0,0,0.00411106720639181,0.261449194836592,0,0,0.403509618768491,0.0685646768876395,0,0,0,0,0,0,0.00935876634551532,0,0,0,0,0.022079552042836
EOS,0,0.307161258300578,0,0,0.0838612290426775,0.44325871209058,0,0,0,0,0.0993907628599834,0.0924144720136241,0,0,0.010102626115057,0,0,0,0,0
BNB,0.106135210004056,0,0.0751688936188763,0.0988239273328226,-0.0508622700395356,0.182925148566521,0,0,0,0.299872970444973,0.000403792166618915,0.0253707299293893,-0.140944422724393,0,0.103998127874134,0,0,0,0,0
XLM,0.518758987158821,0.807088519563337,0.355317850851842,3.46944695195361e-18,-0.101575202470406,0,0,0,0,0.868387037311451,-0.349207151607946,-1.17697943905081,0,0.090852716286498,0.144181394585353,0,0.0206540410658096,0,0,0.0107770963622657
ADA,0,0,0,0.00701578758160003,0.0190290354514103,0,0,0,0.201631300974221,0,0.0856121497798665,0.643910821487128,0,0.0146130534132676,-0.0297075883135355,0,0,0,0,0
XMR,0,0,0,0.306725889509579,-0.0949333025302434,0,0.00313456304360105,0.235267890200183,0,0,0,0.239823260516512,0,0,0.117184295162144,0,0,0,0,-0.159437556352138
TRX,0,0.355439143670044,0.219629254839996,0,0.00483669662876861,0.0258425445429644,0.151513852867436,0,0,0.0812769580842985,0,0,0,0.00630066998597601,0.0272430925908233,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,-1.56883225106035,0,-0.668887987728104,0.801237406829235,-0.0611652043676648,1.53810472220034,-0.703109707002841,0,0,-6.93889390390723e-18,0.280090491370748,0.493677279790212,0,0,0.216278340067877,0,0,0,0,0.0387618559487855
DASH,0,0,0,0,0.215224500902067,0,0,0,0,0,0.54034155291473,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0125692222400434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,-1.35525271560688e-20,-0.000276977963071655,0,0,0,0,0,0,0,0,0,-0.000140014371023678,0,-0.0170787789521068,0,0,-0.00877460702585174
SPX.Index,0,0.0420273152878365,-0.0131405739589439,-2.16840434497101e-19,0,0,0,0,0,0,-0.0139347969378499,0,-0.00325501195915868,0.0158860280605355,-0.00908853646477906,0,0,0,0,-0.0728033077216826
VIX.Index,0,0,0,0,-0.0180658482020358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
