,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0415392117084946,0.117701073948981,0.0290857631499475,0.088013910244256,0.00643538116673995,0,0,0,0.0318619252789393,0,0.099083328481642,0,0.187746510603563,0,0,0,0,0
XRP,0,0,0,0.212005063683423,0.0340061326286164,0.0110424342985449,0,0.0245172213547282,0,0.107332652660237,0,0,0.0683327065593975,0,0.250268214746537,0,0,0,0,0.016395459824599
ETH,0,0,0,0.351514008854616,0.0442003604688153,0,0,0.152966569568816,0,0.107408657988965,0,0,0,0,0.427274270383053,0,0.133204897313546,0,0,-0.0590584529391795
BCH,0,0,0.0712721711631844,0,-1.73472347597681e-18,0.0847988945378936,0.14897733133013,0.01922688201902,0.342290464082959,0,0.0960184200755847,0.363134820462159,0,0,0,0,0,0,0,0
EOS,0,0,0.0269072831690742,0.128385199348621,0,0,0,0.0273145664880078,0,0.49321614800537,0.073081046144295,0.337757998756769,-2.16840434497101e-19,0,0,0,0,0,0,0.035481645882654
XLM,0,0,0,0.335075710436553,0,0,0.0508645231881394,0,0,0.159702518190583,0.102515290805366,0,0,0.0616646403517082,0,0,0,0,0,0.0857345205838603
LTC,0,0,0,0.349892928597498,0,0,0,0.0819161805542205,0,0.182122379730025,0,0,0.240847762182544,0,0,0,0,0,0,0
TRX,0,0,1.09464766608397,0,0,0,0,0,-0.596927744466204,0.872494647453395,2.77555756156289e-17,-0.335705290826467,-0.518874770608734,0,0,0,0,0,0,0
BSV,0,0,0,0.784266648210382,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0858420003388303
ADA,0,0,0,0,0.371124469915927,0,0.218909534781015,0.129316619826205,0,0,0,0,0,0.358257901088263,0,0,0,0,0,0
BNB,1.88025950309345,-1.20753322442826,-0.0280353772743359,0,0.275093367455229,-0.216574863510504,0,0.246583500465435,0.203969828998517,0,0,0,-0.308116912273558,-0.561915405922824,0.889928360013168,0.486403905169189,-0.108744556810122,0,0,0.256459886472815
MIOTA,0,0,0,0.21681698818502,0.237860536029696,0,-0.0765288143793589,0,0,0,0,0,0,0.246279251578797,0.315911029157544,0,0,0,0,0
XMR,0.575585963498618,0,0.0385993172342941,0.252573887888107,0,0,0.0669236881171669,0,0,0,0,0.220988567230005,0,0.00569519911620688,0,0,0,0,0,0.0917510932785418
DASH,0,0,0,0,0,0,0,-0.0599662527562972,0.0200423741266927,0.332722702084505,0,0.467941442586873,0,0,0,0,0,0,0,0
XEM,0,0,0.109172687497729,0.115362190203078,0,0,0,0,0,0,0.184775636341083,0,0.0399144972759043,0.235118434100243,0,0,0,0,0,0
BV010082.Index,0,0.22314173415527,0,0,0,-0.00682034343268881,0,0.0891080748529445,0,0,0,0,-0.0808890180472605,0,0,0,-0.03015475061503,0,1.7360474115489,-0.0205592236264574
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.0206325853521799,0,0,0,-0.0370472363301411,-0.0122336073374417,0.0210837421970434,0.0120689204894012,0,0,0,0.0109025646353967,0.0660371190769042,0.0565208811702253,0.0377675514336899,0,0,0.0124218561983807
SPX.Index,0,0,0,0,0,0,0,-0.00041750212964835,0,0,0,0,0,0,0,0.244286519225923,-0.0181421566304528,0,0,-0.0826212515260896
VIX.Index,0,0,0,0,0.576456568463066,0.709978392120889,-0.311766980454418,-0.239276270268129,-0.681090481286045,-0.108901919516032,0.628272086949726,0,8.67361737988404e-19,0,-0.650867027193481,-0.360122480549642,-0.321856365143951,0,-2.23630690143905,0
