,BTC,ETH,XRP,BCH,BSV,LTC,ADA,LINK,BNB,CRO,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.146769867674047,0,0.0244121235216866,0.00563783213661848,0,0,0,0,0,0.0995938820259231,0.0291762100947671,0,0,0,0,0,0,0,0
ETH,0,0,0.233735701181946,0,0,0.205962582745134,0.0175287773628297,0.13547762525066,0.0215195161716176,0,0,0.0512851449201911,0,0,0,0,0,0,0,0
XRP,0,0.207562334204628,0,0.233846329613035,0,0.0480468899019021,0.122865823095172,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.269164807296049,0.398253709539509,0,0.00553458335754951,0,0,0.0264748731874408,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.174086763790567,0,0.313039768417721,0.0136842690945905,0,0,0,0.111322796422719,0,0,0,0,0,0,0,0,0
LTC,0,0.0877153047230334,0,0.200142837283296,0.157787860390065,0,0.0144241266906437,0.0311161089459877,0,0,0.155488852495773,0.0730930006390768,0,0,0,0,0,0,0,0
ADA,0,0.29695639859958,0,0,0,0.0837911692265947,0,0.133546059296509,0,0,0.0356455488780248,0.0683978729725712,0.0790974954336491,0,0,0,0,0,0,0
LINK,0,0.290537193949726,0,0,0,0,0.188801730353991,0,0.115299390608948,0,0,0.356232005608989,0,0,0,0,0,0,0,0
BNB,0,0.246432606995537,0,0,0,0.152667742004915,0,0.0407923182852341,0,0,0,0.0765805256019348,0,0,0,0,0,0,0,0
CRO,0,0.0140836235913408,0,0,0,0.28482055907819,0,0,0.0580634707592221,0,0,0.0157151582190262,0,0,0,0,0,0,0,0
EOS,0,0,0,0.320136259312504,0,0.364756817735393,0.0361693145442993,0.0140656640057903,0,0,0,0.0737906386053434,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0.0188691387099873,0,0,0.325534943614565,0,0,0,0,0.387161135358624,0.157766220075977,0,0,0,0,0,0
XLM,0,0,0,0,0,-8.67361737988404e-19,0.251676654686984,0.0480090246497716,0.0627122876916174,0,0.0875323542392688,0.146566336621937,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0185186052352738,0.0138063460783074,0.239859393650112,0,8.67361737988404e-19,0.235147773259207,0,0,0.0772274756588878,0,0,0,0,0,0,0,0
TRX,0,0.177964208281465,0,0,0,0,0.154095988567921,0,0,0,0.236504588066642,0.179289638016098,0,0,0,0,0,0,0,0
BV010082.INDEX,0.0188324910693289,0,0,0,0,0,0.0224656365468439,0,0.00328522185878805,0,-0.0362786221029319,0,-0.0239207889617815,0,0,0,-0.0200906255227647,0,0,-0.00540971912076225
CVIX.INDEX,0,0,0,0,0,0,0,-0.0177238140251536,0,0,0.0731934890206502,0,0,0.0756979400581024,0,0,0,0,0,-0.0647124912950245
DXY.INDEX,0,0,0,-0.0198431719966448,0,0,-2.16840434497101e-19,-0.00957056254122599,0,0,0,0.0107807466092554,0,0,-2.16840434497101e-19,0,0.00706522836551211,0,0,0.00417246976330659
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.00271616485012534,0,0,0,0.00178619075301049,0,-0.0130576025094698,0,0,-0.0973282757978047
VIX.INDEX,0,0,8.67361737988404e-19,0,0,0,-0.214671682377913,0.0368610467291844,0.134824539529966,0,0,0,-0.248777601925559,0.0319777679207111,0.162977211630646,0,-0.038977281807531,0,-1.89322493714529,0
