,BTC,ETH,XRP,BCH,BSV,LTC,ADA,LINK,BNB,CRO,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.16643699981425,0,0.0547170430169625,0.0409418998396194,0,0,0,0,0,0.0709828719235901,0.0150159899064737,0,0,0,0,0,0,0,0
ETH,0,0,0.403671494884556,0,0.0283613726817926,0.0633730587491932,0.0550739399813076,0.152641807447251,0,0.0895506664829061,0,0.0174827741745846,0.0252436913514313,0,0.0330654840135852,0,0,0,0,0
XRP,0,0.268727791919979,0,0.213151560318683,0,0.0480756386765573,0.100062026573374,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.288352934198448,0.382263739776814,-1.73472347597681e-18,0,0,0,0.0329572057111756,0.00663522752140157,0,0,0,0,0,0,0,0
BSV,0,0,0,0.245165609167728,0,0.248621991092342,0,0,0,0,0.179395202967779,0,0,0.116464590863785,0,0,0,0,0,0
LTC,0,0.154888453980632,0,0.234515120026981,0.141173037318377,0,0.00321177862991415,0.0506277766067304,0,0,0.161273767524395,0.0217647317956449,0,0,0,0,0,0,0,0
ADA,0,0.253704644032612,0,0,0,0,0,0.154444126944287,0,0,0.050915545482532,0.0786334614580698,0,0,0,0,0,0,0,0
LINK,0,0.299572419722515,0,0,0,0,0.175140846111646,0,0.170919285592987,0,0,0.275619489065128,0.063820241186803,0,0,0,0,0,0,0
BNB,0,0.247722641108789,0,0,0,0.124360922106152,0,0.0541250528670056,0,0,0,0.0608079380214836,0,0,0,0,0,0,0,0
CRO,0,0.0328742275390033,0,0,0,0.272254701417842,0,0,0.0414822143231773,0,0.0114367559198256,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.297705266156451,0,0.340431209096898,0,0.00582133549699229,0,0,0,0.121871705637753,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0.0111777996593227,0.249160339649668,0,0,0,0,0.439761775111269,0.13405750691932,0,0,0,0,0,0
XLM,0,0.0429495258656379,0,0,0,0,0.227756409866694,0.0510417468213242,0,0,0.108219096358408,0.129225020390677,0,0,0,0,0,0,0,0
XMR,0,0.0293114924705951,0,0.284975301291783,0.0507758678851594,0,0.0082422122468965,0,0.233293864858733,0,0,0.0910817238776876,0,0,0,0,0,0,0,0
TRX,0,0.572392622468905,0,0,0,0,0.146404197965339,0.0816274322853995,0,0,0,0,0,0.178872838694263,0,0,-0.186398070856463,0,0,0
BV010082.INDEX,0.0191866361546462,0,0,0,0,0,0.0220653687220245,0,0,0,-0.0376787731318604,0,-0.0176375488476445,0,0,0,-0.0204754975842754,0,0,0
CVIX.INDEX,0,0,0,0,0,0.0681539631209949,0,0,0.0026578034932508,0,0.0345171231132705,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,-0.0285263124521083,0,0,0,-0.00511740425912913,0,0.0148718928221964,0,0.011371931809945,0.00133754410273702,0,0,0,0.00621109834135755,0,0,0.00354283832687019
SPX.INDEX,0,0,0,0,0,0,0,-0.00192723738226064,0,0,0,0,0,0,0,0,-0.0148802475873717,0,0,-0.0794062578061967
VIX.INDEX,0,0,0,-8.67361737988404e-19,0,0,-0.250285100168223,0.00333079073086421,0,0,0,0.0453490259201565,0,0,0.113000295350166,0,0.0151783231165813,0,-1.61775013189292,0
