date,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,XLM,LINK,ADA,XMR,LEO,TRX,HT,CRO,STO,DASH,ETC,MIN,HEDG,NEO,ATOM,MIOTA,HEX,ZEC,XEM,MKR,INO,ONT,OKB,DOGE,FTT,BAT,PAX,VET,ELAMA,PLF,DGB,BTG,MWC,CCXX,ZRX,HYN,INB,DCR,TNC,THETA,OMG,DNA,ICX,DOT,WBTC,DAI,YFI,LEND,CEL,SNX,AAVE,UNI,CETH,FIL,CDAI,CUSDC,SOL,ZIL,COMP,HBTC,KSM,WAVES,EGLD,AVAX,SUSHI,UMA,RENBTC,STX,LRC,NEAR,LUNA,NANO,ALINK,RSR,TUSD,GRT,ALGO,ESD,REN,BCHA,NEXO,QTUM,HUSD,RUNE,HBAR,NXM,CHSB,ZEN,AMPL,BTT,AETH,EWT,KNC,XVG,UST,QNT,SC,SNT,LSK,BAND,IOST,BAL,AMP,VGX,CAKE,CRV,RVN,MATIC,ENJ,X1INCH,FTM,FLOW,XSUSHI,MDX,ZKS,BNT,HOT,NPXS,XVS,BTMX,ICP,SHIB,KLAY,SAFEMOON,TEL,TFUEL,CHZ,HNT,STETH,MANA,ONE,FEI,AXS,XDC,KCS,TITAN,LUSD,OMI,CUSDT
2014-11-28,376.45,NA,NA,0.015165,NA,NA,3.6,NA,NA,NA,NA,0.002861,NA,NA,0.564761,NA,NA,NA,NA,NA,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000245,NA,NA,NA,NA,NA,NA,6.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-29,375.49,NA,NA,0.013982,NA,NA,3.59,NA,NA,NA,NA,0.002521,NA,NA,0.565711,NA,NA,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000243,NA,NA,NA,NA,NA,NA,6.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-30,378.05,NA,NA,0.011211,NA,NA,3.58,NA,NA,NA,NA,0.00221,NA,NA,0.567552,NA,NA,NA,NA,NA,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000242,NA,NA,NA,NA,NA,NA,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01,379.24,NA,NA,0.012559,NA,NA,3.58,NA,NA,NA,NA,0.002541,NA,NA,0.4745,NA,NA,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000242,NA,NA,NA,NA,NA,NA,7.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-02,381.32,NA,NA,0.013158,NA,NA,3.63,NA,NA,NA,NA,0.002409,NA,NA,0.527409,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00024,NA,NA,NA,NA,NA,NA,7.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-03,375.01,NA,NA,0.01313,NA,NA,3.61,NA,NA,NA,NA,0.002373,NA,NA,0.507566,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000237,NA,NA,NA,NA,NA,NA,6.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-04,369.6,NA,NA,0.013343,NA,NA,3.59,NA,NA,NA,NA,0.002375,NA,NA,0.456468,NA,NA,NA,NA,NA,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023,NA,NA,NA,NA,NA,NA,6.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-05,376.85,NA,NA,0.013785,NA,NA,3.62,NA,NA,NA,NA,0.002356,NA,NA,0.428893,NA,NA,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000233,NA,NA,NA,NA,NA,NA,6.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-06,374.79,NA,NA,0.014406,NA,NA,3.61,NA,NA,NA,NA,0.002407,NA,NA,0.443703,NA,NA,NA,NA,NA,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023,NA,NA,NA,NA,NA,NA,6.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-07,375.1,NA,NA,0.014794,NA,NA,3.71,NA,NA,NA,NA,0.002329,NA,NA,0.470556,NA,NA,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000229,NA,NA,NA,NA,NA,NA,6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
