,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LEO,INNBCL,XMR,XLM,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.197910537702912,0.00614486264344024,0,0.259101287477248,0.127952678512018,0.09428267335097,0,0,0.00183735539824604,0.0168225060816367,0,0,0,0,0,0,0
ETH,0,0,0,0.227538285495527,0.0929497966325731,0,0.0775604983393406,0,0.268441509043066,0,0,0.0052602654889865,0,0,0.282533609880474,0,0,0,0,0
XRP,0,0.162411853160351,0,0.0493566926776613,0,0.126343874010966,0.116308996968622,0,0.14397304797081,0.0256319293583833,0,-0.000628978878518211,0,0,0.102395003655323,0,0,0,0,0
BCH,0,0.252530207585496,0,0,0.207871253351391,0,0.171371469272034,0.0449599822996406,0,0,0,0,0.0896459232265093,0,0.208748275410195,0,0,0,0,0
BSV,0,0,0,0.463257895864519,0,0,0.398245509605907,0,0,0,0,0.00277447214392252,0.190659990108415,0,0,0.0362128268638888,0,0,0,0
LTC,0,0.288785481899371,0,0.0862383829669485,0,0,0.3121624226848,0,0.0478280100481374,0,0,0,0,0,0.0647253575066184,0,0.0224317766732225,0,0,0
EOS,0,0,0.0871420829672968,0.245072683364314,0.223921090178944,0.215375855570717,0,0.0788061055234043,0,0,0,0.00286330407036813,0,0,0.0811240079594928,0,0,0,0,0
BNB,0,0.160534714339739,0,0.321723154449614,0,0,0,0,0.138900657289819,0,0,0,0.227772341944781,0,0,0,0,0,0,0
XTZ,0,0.349511432935312,0,0,0.0466837759124835,0,0,0.540433825427835,0,0,0.179860632813725,-0.00496054025352039,0,0.142487387341451,0,0,0.000752368407051532,0,0,0.0127647298581898
TAGZ5,0,0,0,0,0,0,0,0,0.00936783849456924,0,0,-0.0055763441360342,0,0.287782044551934,0.508008549219378,0,0,0,0,0.0767433393970001
LEO,0,0,0,0,0.0940178712318353,-0.123793262945145,0,0,0.129476201159187,-0.0337514829167125,0,-0.00168999571655926,0,0,-0.0718105668306224,0,0,0,0,-0.0465105554008006
INNBCL,0,18.5845342917856,0,0,0,0,0,0,0,-1.7801890285345,0,0,-17.1835722329307,0,-4.85128513160579,0,-0.0939007728889602,0,3.23649875728121,-0.893228734593813
XMR,0,0.245311844152011,0,0,0,0,0.421196780970346,0,0.160166222906369,0,0,-0.00422289234413671,0,0,0.0562237897259838,0,-0.0188045136948162,0,0,0
XLM,0,0,0,0.282866182533258,-0.00000000000000000173472347597681,0,0,0.130196288115338,0.0489379894931391,0,0,0.00200678095999836,0.10756983960359,0,0.106495757980991,0,0,0,0,0
TRX,0,0.163910198389559,0,0.432414879587974,0.00607958274806348,0,0.21330170261016,0,0.0888960677843914,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.113836518362933,0,0,0,0,-0.452389020981784,-1.42575610116658,0,0.0544729062761957,0,-0.0145601491685076,0.401349677649829,0.907005863862473,0.51483750191103,0,-0.0238203505979854,0,0.274430092393738,-0.0185231547887646
CVIX.INDEX,0,0,-0.161300166457154,0,0,0.3353526965689,0,0,0.354793461012283,-0.425212033811928,0,-0.00232917963333851,-0.357693255545593,0,0,0.507213485119997,0,0,-0.470561235598676,0.330859877265173
DXY.INDEX,0,0,-0.0774297739938179,-0.00323222131357753,0,0,0,0,0.00956501796842119,0,0,0.0000563646636694293,0,0.000584456499569744,0.0513736297146206,0.0681921440309331,-0.0186393709058018,0,-0.0682105847278148,-0.0123197454489939
SPX.INDEX,0,0.0530057872741841,0,0,-0.144228270281413,0,0,0,0.0866451588856037,0,0,0,0,0,0,0.172481981144225,-0.0529526632790807,0,0,-0.220954585347936
VIX.INDEX,0,0,0,0,-0.277820072442333,0,0,0,0.219929278410848,0.379987019504437,0,0.00930918786525209,-0.388512073149105,0,0,0,0.101477026675816,0,-1.60224020035203,0
