,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,LEO,ATOM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0665930162932541,0.0552840996692336,0,0,0.145715945831768,0,0.0232803049916189,0,0.0464103620618138,0.0477789311417644,0,0.0318421559693037,0.181222803883145,0,0,0,0,0
ETH,0,0,0,0.0966522647340454,0.337229103869219,0.167475360145747,0.0959597326123706,0,0,0.0211801363501514,0.0874369351722878,0,0,0.0481053327930592,0,0,0,0,0,0
XRP,0,0,0,0.339242176109794,0,0,0,0.122595188820019,0,0.0454430361846722,0,0.299005281792922,0,0,0,0,0,0,0,0.0346154188741379
BCH,0,0,0.198712367023547,0,0,0,0.302130141049263,0.135566595696788,-0.015200028804186,0,0.243908691537996,0,0,0.077655100171633,0,0,0,0,0,0
LTC,0,0.127875153047626,0.0908714332079992,0,0,0.523502020320785,0,0,0,0,0.0272470860651139,0.053248096736513,0,0.0299704353221455,0,0,0,0,0,0
EOS,0,0.0888577174217244,0,0,0.746805967220337,0,0,0.067158475605977,0.0248593086404867,0.104287929104251,0,-0.000000000000000000867361737988404,0,0.0120554470278568,0,0,0,0,0,0
BNB,0,0.0319220343932407,0.10995483715359,0.301306994551424,-0.00000000000000000693889390390723,0.298020357679432,0,0,0,0,0.0283199289856054,0,0,0.0164070050397921,0,0,0,0,0,-0.0313485641028192
BSV,0,0,0,0.529844529333741,0,0.124355750231715,0,0,0.0533304773752588,0,0.146669054746056,0,-0.0405159770246244,0,0,0,0.249304835180022,0,0,-0.0852132283476425
XTZ,0,0,0.760923350356548,0,-0.207555111688661,0,0.308828694747237,0,0,0,-0.579075831349772,0.22638308579123,0.24000933909761,-0.0214390401614607,0,0.317234911320071,0,0,0,-0.0676485302980434
XLM,0,0,0.25446106557734,0,0,0,0,0.0587540772150735,-0.0186179307350603,0,0.193667483810961,0,0.0984503997131643,0.187562487293729,0,0,0.0862218437891533,0,0,0
TRX,0,0,0,0.105803458431822,0.00935429302887976,0,0,0.265789023459705,-0.111105217537361,0.14711502367169,0,0.0891565389209872,0,0.157403123882422,0.168103911874045,0,0,0,0,-0.0804211146229041
ADA,0,0.19924677103055,0.00355624576192083,0,0.0188488067785189,0.146616905433925,0,0.00000000000000000346944695195361,0,0.0885057023100394,0.127433755846483,0,0,0.138812687437978,0,0,0,0,0,0
LEO,0.417277884612164,0.0333496972180996,0,0,0,-0.284786863172265,0,-0.038526564508463,0.0637146835487711,0.0991682516770338,0.339129690702106,0.073398045076359,0,-0.0999480525058743,-0.297021376931028,0,0,0,0,0.0460560753726065
ATOM,0,0,0,0,0,0.631123714325636,0,0,0.190787607358765,0.244228651750432,0,0,0,0,0,-0.0896886088115868,0,0,0,0.0850611162376733
XMR,0,0.162572819705395,0,0.213872245484999,0.152364074836819,0,0.212289311734965,0,0.066851259556792,0,0,0,0,0,0,0,0,0,0,-0.0337402487082598
BV010082.INDEX,0,0,0.0910949735998302,0.285142544941758,0,0,-0.198521510626553,-0.161859274845206,0.121297876152913,0,0.268505428529234,0,-0.0137744136452195,-0.206508367120752,-0.118031966407267,0,0,0,0,-0.0712280501507176
CVIX.INDEX,0.359377340264452,0,-0.256676855680885,0,0.475185405115987,-0.423003819721665,0,0.208165542748685,0,0,-0.289725693232203,-0.198605765004655,0,0.0197385604472304,0.195597238149547,0,0,0,0,0.0717328885798365
DXY.INDEX,-0.0176030009704306,0,0.01398738101139,-0.0100129614172626,-0.0126583687095104,0,0,0.0017305576884728,-0.00261006832058627,0.0378618402065435,0,0,-0.0356408327355934,-0.0184126284456857,0,0.0293982680443323,0,0,0,-0.0113013897860503
SPX.INDEX,0,0,-0.0227060434451306,0,0,0.0421758989631492,0,-0.00235493892742523,0,0.0023678037308075,0,0,0,-0.0130247389289429,0,0.0717653074316797,0,0,0,-0.0427749943349932
VIX.INDEX,0,0,-0.520849516142701,0,0,0,0,0,0.0543054223515685,0.56015141168514,0,0.261110103162786,-0.502128707622517,-0.372359669800799,0,0,0.636986176329718,0,-4.13466018566088,0
