,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,XLM,NEO,DOGE,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.170483341471193,0,0,0.101756544452933,0,0.0885812574746007,0.021675683361297,0,-0.00184514478243072,0.00568295687044425,0.0530903535084502,0.057592395772168,0,0,0,0,0
ETH,0.0368298872564848,0,0,0,0.197295343742593,0,0.00626014710901355,0,0.0866089617898169,0,-0.0282316472487334,0,0.0766002814278958,0.00835832099660863,0.19647882520012,0,0,0,0,0.0248321746581847
XRP,0,-0.0355857046914898,0,0,-0.190644979375673,0,0.223813297853279,0,0.130464278452104,0.0754138150899233,0.322214328657012,0,0,-0.00950255577786605,0.0621712533418999,0,0,0,0,0
LTC,0.5662804441848,-0.100832983062689,-0.165445094925777,0,0.00000000000000000693889390390723,0.111297601509259,0,0,0.056796205318899,-0.0854505913493265,0,0.137584434897797,0.0764820187825079,0,0,0,0,0,0,0.0252656669828768
ETC,0,0.246083899739219,-0.0702567866615139,0.169721182919897,0,0,0.0790361296612067,0,0.13330486361874,0.0569644345849551,0.0189501623636012,0.0328218910646652,0,-0.0468196907220318,0,0,0,0,0,0
XEM,0.110006529736221,0,0.228741524640832,0.139211527721782,0,0,0,0,0,0,0,0.0505483295433496,0.184654197286799,-0.0500717208502423,0,0,0,0,0,0
DASH,0,0.0488755428901329,0.0451733505481807,0,0,0.0217487762685037,0,0,0.398515698814431,0,0.0631911635785406,0.0533836441571838,0.0257419431426564,0,0.0463517526324674,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,-0.127132609337198,0.152476031709936,-0.227840389614295,0.195744835603331,0.644302865879703,0,0,0,0.073500232520621,-0.144320247738635,0,0,0,0,0,0,0,0
ZEC,0,0.118060193981302,0,0,0,0,0.0848632813176596,0,0,0,-0.00905615241588903,0.0493531826085066,0.203965653934071,0.000461908783042988,0,0,0,0,0,0
XLM,-0.476631634301514,-0.00826242260314136,0.784128808168372,0,0.307179542835893,0,0,0,0.312987609711358,-0.115339534339137,0,0,0,0,0,0,0,0,0,0
NEO,0,0.0607598539505242,0,0.680392313245923,0.191975325489232,0,0.162827746832093,0,0,0.377737859221387,-0.00160162873150698,0,0,0.126906151258448,0,0,0,0,0,0
DOGE,0,0.0979718965691672,0,0.108044320001879,0.0874581631057608,0.28284254969465,0,0,0,0.316892865869713,0.181642129990641,0.0354952005008439,0,0.0454878064036253,0,0,0,0,0,0
DGB,0.265242167267757,-0.439999567026666,0.359761865529644,-0.128197692489275,0,-0.117717325081515,0,0,0.656513473792079,-0.292404999746181,-0.298583159086456,0.178658857057172,0.509342316751906,0,0.377931402422741,0,0,0,0,-0.173457634955399
BAT,-0.364983331404924,0.0532236722911604,0.148944694576809,-0.100092956448279,-0.0517950046711715,0.117740941672344,-0.0376126013074988,0.73884865730551,0,0,0,-0.00469417472672672,0.10455042830944,0.0392944953752184,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0383721872606145,0,0,0,0,0,0,0.0216751860641912,0.0169459032615002,0,0.00994824799682256,0.012377178928695,0,0,0,0,-0.0396027817948042
CVIX.INDEX,0,0,0.049733513503267,-0.0490869358669713,0,-0.300426928705456,0,0,0.0715759030809171,-0.00844857846076041,-0.0305783267044787,0.0530050436632818,0.139929773386318,0,0,0,0,0,0,0
DXY.INDEX,0,0.00382063790204263,0,-0.00579332167780527,0.0116292181667906,-0.0145639386647686,0,0,0,0.00440606948668126,0.00658446587857403,0,-0.00436845200092406,-0.0042171948875102,0,0,-0.00690407464796327,0,0,0.0136389148476054
SPX.INDEX,0,0,0,-0.00132878685327302,0.00328949474769542,-0.00164773630839984,0,0,0,0.00406798013530575,0.00317677890621837,-0.00131760942267173,0,0.000166241026820453,0.0017582123355667,0,0,0,0,-0.0419563546322644
VIX.INDEX,0,0,0.0256145992153388,0,0.0438190226011725,0,0,0,-0.130282527069571,0,0.088827692199396,0,0,0,0.0982917473156976,0,0,0,0,0
