,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,XLM,TRX,ADA,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0741071297235766,0.0902886952093724,0,0,0.22593299545017,0.0000000000000000000542101086242752,0.0917922251331414,0,0,0.0922520657540144,0.0169203856179845,0,0,0,0,0,0,0
ETH,0,0,0,0.079501412838259,0.271304958671558,0.0888451451841335,0.203847274509358,0,0.115353136639676,0.0775269778879698,0.070083740872177,0.00848740232056234,0,0,0.0130210084668557,0,0,0,0,0
XRP,0,0,0,0.354492574765956,0,0,0,0.0327571657177852,0,0.0973556666683893,0,0.255516520176261,0.0817969135678152,0,-0.0737318863081382,0,0.0996672431416802,0,0,0.151342237336122
BCH,0,0,0.184843916831599,0,0,0.0963750874541386,0.21627105858218,0.0356567767963897,0.0235731503303007,0.124397494560303,0.188157224168038,0,-0.021844599248464,0,0.103996733060207,0,0,0,0,0
LTC,0,0.164732939547577,0.0407753833698854,0,0,0.513391429770824,0,0,0,0.00746585402021999,0.0306590176154641,0.0664701860571586,0,0,0.0485855305650448,0,0,0,0,0
EOS,0,0.196207154813981,0,0,0.576519998330757,0,-0.000000000000000000433680868994202,0.123554454674711,0.0222369306228021,0.0423269851846294,0.0374198294973413,0.00795510603089139,0,0,0,0,0,0,0,0
BNB,0,0.030762449606266,0.0756281959747199,0.287613178023188,0,0.286685135087617,0,0,0,0,0.0429977108951669,0,0.0195575798084776,0,0.0323901249344054,0,0,0,0,-0.0143927094538355
BSV,0,0,0,0.466892979037378,0,0.0956481664186328,0.0603992322014955,0,0.00000000000000000346944695195361,0.296049833537855,0,0,0,0,0.0721887589108516,0,0.37167094388078,0,0,-0.111805693824823
XMR,0,0.186811272482076,0,0.141597958225538,0.265143531376999,0,0.245849281373073,0,0,-0.0283303496363861,0,-0.0432153057151799,0.0701873245237919,0,0,0,0,0,0,-0.031084300796564
XLM,0,0,0.255779281559097,0,0,0,0,0.0795936713512625,0,0,0.191077114055007,0,0,0,0.149758705153401,0,0,0,0,0
TRX,0,0,0.316167662887077,0.266418476052771,0,-0.00000000000000000346944695195361,0,0,0.0332024700761372,0.131449465682242,0,0.216307422348796,-0.0845091499759381,0.0938741578615014,0.128991400366538,0,-0.166051722263081,0,0,0
ADA,0,0.272900328200985,0.217658160172976,0,0.0430599767780323,0.00000000000000000693889390390723,0,0.0744777740314351,0,0.0136105387813487,0.161507363483691,0,0.0407270811226818,0,0.119515552969933,0,0,0,0,0
XTZ,0,0,0.703090605294507,0,0,0,0.940688177750515,0,-0.219524463444537,0,-0.684242689924255,0,0,0.132867446844197,0.077266636042779,0.24071367582757,0,0,0,-0.127624240792114
LEO,0.246346442185643,0,0,0,0,-0.22760350599074,0,0,-0.226770422349907,0.108107854983904,0.296332981126562,0.0949752635637471,0.078494245150587,0,-0.103404091380554,0,0,0,0,0.019175228003903
ATOM,0,0,-0.283614778776952,0,0.0964642474565874,0.748154575817646,0,0.13430398789397,0,0,0,0,0.390001008786689,-0.165543143580083,0,0,0,0,0,0.0307709846870016
BV010082.INDEX,0,0,0.00000000000000000693889390390723,0.0206835326969553,-0.284348718436954,0.195745574875311,-0.253722954712722,-0.0076014802205417,0,0.12588119460565,0.335640914341589,-0.0830873157384287,0.0576927502711624,0,-0.0441568970023717,0,0.0656122702309413,0,0,-0.0143242469009284
CVIX.INDEX,0,0,-0.0703091127392394,0,0,0,0.0667285374374371,0,0.342997411273812,0.0346449792085887,-0.11726134398345,-0.226788558187736,0.099142969939451,0,-0.120617176112848,0.552533781872284,0,0,0,-0.0314480726226088
DXY.INDEX,0,0,0,0,-0.0419693837136647,0,0,0.0250051653688702,0,0.0280374362704758,0,0,-0.00212259934633738,0,-0.00949383526315465,0.0257383010788161,-0.00102166955331207,0,0,-0.00702615211979033
SPX.INDEX,0,0,-0.0157965781435752,0,0,0.03397038131079,0,-0.00360131568735688,0,0.00813031026607184,0.00172423839995476,0,-0.00254557033106535,0,-0.0102674668028027,0.0817330018821969,0,0,0,-0.042220106882121
VIX.INDEX,0,0.159979861929675,-0.399626728552631,0,0,0.36581272226074,0,-0.305118575595384,0,0.487409115926713,0,0,-0.0221227726366544,-0.062634869615749,-0.381181098806732,0,0,0,-8.847612041813,0
