,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.177863458082677,-0.0528004220556045,0.0840047899641811,0,0.097118546481876,0.18372933243646,0.0269779222479658,0,0,0,0,0,0
XRP,0.689030498895355,0,-0.292485943449304,-0.100565463365341,0,0.933274825887609,0.487546420972599,-0.344830494777205,-0.0103783567804752,-0.141498614817057,0.0553151129946217,0.00000000000000000173472347597681,0,0,-0.13349537248772
LTC,0.301421744582433,0.165690956390663,0,0,0,0.189808375745086,0,0,0.0151860350839232,0.117323701583743,0,0,0,0,-0.0349490455799733
ETH,-0.888093752584748,-0.308188904311149,0,0,0,1.18694908171637,0,-0.141704428201579,-0.0194509964171278,-0.275588165579952,0,0.553181876462208,0,0,-0.340916702786551
DASH,0,0,0,0,0,0.407691037684657,-0.138775527448068,0,0.0332811114298752,0.108017786562102,0,0,0,0,-0.131196476198688
DOGE,0,0.133601094149295,0.473832310156969,-0.000000000000000000216840434497101,0.106355684610969,0,0,0,0,0.00719371466029423,0,-0.0474189432755123,0,0,0.0456429641931772
XLM,0.299492217051476,-0.188226433209303,0,0.141438087453382,-0.00667534009039997,0,0,0.146693300929149,-0.00874929330282045,0.108555045480897,0,0,0,0,-0.169373080373143
XMR,0.320524622205117,0.0271464751967066,0,0,0.328573984794762,0,0.419282810787733,0,0.100001909930428,0,0,-0.450934974252856,0,0,-0.0756434090751479
DGB,0,0,0,0.0364617932348018,0,0,0,0,0,0.475148007264809,0,0,0,0,-0.248285451419366
XEM,0,0.327776977827151,0,0.0496684043599682,0.450066353411859,0,1.10746025327381,-0.0890399692698899,0.139437357176605,0,0.442431439488299,0,0,0,0.210121266273744
BV010082.INDEX,0,0,0,0,0.113561949012067,0,0,0.00729288726240451,-0.0179644559915453,0.0693577910218528,0,0,0,0,-0.0621885188132857
CVIX.INDEX,0.315403570383787,0,0.0720596866468129,-0.0167541273323927,0,-0.460639734645016,-0.279627982320381,-0.0650784349151537,0.000426076654962332,0.0621807860258895,-0.0375859563739696,0,0,0.341051038815691,0.0814995362486924
DXY.INDEX,0.00725833325425927,-0.0205805243554246,0.0125811406818427,0.0105194870055812,0,-0.0141298627964942,-0.0298454484406612,0.0394026797218552,-0.00891031232518699,0.0170830931103022,0.0408817533082983,0,0,0,-0.0196075526381326
SPX.INDEX,0,0,0,-0.0104968624217461,0,0,0,0,0.000000000000000000216840434497101,-0.0110896686844273,0,0,0,0,-0.120077787280844
VIX.INDEX,0,-0.291611113768454,-0.00000000000000000010842021724855,0.0178320610788735,0,0.366195718292878,0,0,-0.0367796513353381,-0.114163114662937,0,0,0,-5.21400659087903,0
