,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,LEO,XLM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0101763681224721,0,0,0.0397060868693472,0,0.247766237003453,0.0757872614368025,0.131726517663957,0,0.0850683287019005,0,0,0.0207815811870373,0,0,0,0,0
INNBCL,0,0,23.6525918799035,0,0,1.45337394013676,15.1015054475609,0,-14.3479887442685,-2.13672962666319,2.4743007610431,-6.96899971210627,-16.51833271575,3.13915118385933,-23.2156741159354,-11.0773793695374,0.496913532856781,0,11.937076191152,-0.0000000000000000555111512312578
ETH,0,0.00202015287059178,0,0,0.181846745898179,0.0394611911466796,0,0.00450047609555679,0.223185965869576,0.280869970264975,0,0.00820349012339102,0,0,0.242683054870887,0,0,0,0,0
XRP,0,-0.000234636809135238,0.132336141071534,0,0.0279681094746913,0,0.165501789104987,0.121272774776977,0.0775898925518411,0.0564183626539876,0,0.0228145372602466,0,0.135376824869318,0.0225701617825839,0,0,0,0,0
BCH,0,-0.00391073379295896,0.309034707935611,0,0,0.186061632813852,0,0,0.179262177395607,0.0402262665651273,0.0135200525395585,0,0,0,0.124746509545888,0,0,0,0,0
BSV,0,-0.00145594396910973,0,0,0.282529029710509,0,0,0.366931088010231,0.363932381433129,0,-0.0252623889387778,0,0,0,0,0,0.0659994208192118,0,0,0
LTC,0,0,0.0138532426748815,0.236684172689265,0.0739214756621583,0.0982293636518105,0,0.0146451785090174,0.313887096685285,0.104910834836818,0,0,0,0,0.0445925433018272,0,0.0364915204907004,0,0,0
BNB,0,-0.00712912773932863,0.336587002967546,0,0.268599542350936,0.0952766687232097,0,0,0,0.0834694685470811,0,0.0416498152498828,0,0,0,0,0,0,0,0
EOS,0,0,0.208882628914002,0,0.501255863720945,0.134272027827167,0,0.018499803709439,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.161489761847958,0,0,0.224244446173576,0,0.105797784543651,0,0,0,0.48029545549617,0,0,0,0,0,0,0,0
TAGZ5,0,0.000000000000000000216840434497101,0,0,0.598358106552474,0,0,0,0,0.0750306750871647,0,0,0,0,0,0,0,0,0,0.0783262325678865
LINK,0,-0.00392994467635031,0,0,0.110069353833403,0.205262548192573,0,0,0,0.664554614310842,-0.00401368639607905,0,0,0,0,0,0,0,0,0
LEO,0,0.00493477639627036,0,0,-0.100704419440524,0,-0.0519451336194212,0,0,0.0895798390757073,-0.0209451281223124,0,0,0,0,-0.042209427801685,0,0,0,-0.0773450350542134
XLM,0,-0.00305781734141545,0,0,0.242260659186814,0,0,0,0.316142903602344,0.154245997011904,0,0,0,0,0,0,0,0,0,0
XMR,0.147693860689468,0,0.131737957681447,0.0420506840693842,0,0,0,0.0904104812230834,0.351256347971425,0.133636308301545,0,0.00759518473030835,0,0,0,0,-0.00067404556784836,0,0,0
BV010082.INDEX,0,-0.0184974907412273,0.428229680947252,0,0,0.475051194234331,0.46801169871148,-0.464321450298009,-1.24050767254114,-0.845866669889731,0.264204555487518,0.34476698669067,0,0.725735135739749,0,0,0,0,0.383340542314361,-0.0108678758648478
CVIX.INDEX,0,-0.0065452319990608,0,-0.270631774459885,0,0,0.407476447234673,0,0,0.247687185465353,-0.140518449471903,0.100917120687416,0,0,-0.709205031055539,0.249304036215462,0,0,-0.296061053925393,0.314600379634925
DXY.INDEX,0.0906442217208135,0.000116857133971008,0,-0.0784006825201408,0,0,0,0,0,0.00781816322996989,0,-0.016102187710445,0,0,0,0,-0.0166547742725955,0,-0.0211193023940453,-0.00958726632955183
SPX.INDEX,0,0.00605634503633373,0,0,0,-0.128538038232227,0,0,0,0,0,0.146539840683167,0,0,-0.0496404083219592,0.246250843192253,0,0,0,-0.243423456702694
VIX.INDEX,0,0.0315700521063867,0,0,0,-0.0762943438263734,0,-0.0268445996042125,0,0.410739556982409,0,-0.21000511350071,0,0.194788001195717,-0.461337754419787,0,-0.00814053067535951,0,-2.19834024928126,0
