,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.00910365758292811,0,0.115546804245632,0.0401483482665551,0.123776068934986,0.00398464827266223,0.214125283990898,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0596689548879033,0.18048591856811,0,0.154299814812988,0,0.193926753484773,0,0,0,0.00000000000000000693889390390723,0.137022420007382,0.0067624125939244,0,0,0,0,0
XRP,0,0,0,0.104119670680654,0.0740893862893794,0,0,0.0897008729326858,0,0.0991258848740517,0,0,0,0.124600839226953,0,0,0,0,0,0
BCH,-0.00000000000000000173472347597681,0,0,0,0.321468643180525,0,0.0914625145040559,-0.0344177306431863,0.317852841137727,-0.191163720493713,0,0,0.355955389880273,0,0,0,0,0,0,0
LTC,0,0.168496339817531,0.0440724885710461,0,0,0,0,0,0,0,0.729999997645139,0,0,0.00786171862543659,0,0,0,0,0,0.0216567510155049
DASH,0,0,0,0.0937035305730734,0,0,0.192713978739598,0.02095578995713,0.237086280164489,0.0300480826122017,0,0,0,0.12484021938577,0,0,0,0,0,0
XEM,0,0.68203475732029,-0.086315663693025,0.0213990541218032,0.0741230832602855,0.28298172441307,0,0.0708215321400125,0,-0.0953247639265421,0,0,0,0.0604929396457055,0.159781535370315,0,0,0,0,0.0659115823371623
NEO,0,0,0,0,0,0.017542468595369,0.180008595951377,0,0.239625124541082,0,-0.0000000000000000138777878078145,0,0,0.360208668093562,0.069197345667508,0,0,0,0,-0.329150080764163
MIOTA,0.0742583224367604,0.00671470100212228,0,-0.0973712585692327,0,0,0,0,0,0.0747338610680868,0.0159707994677364,0,0.356513215587066,0,0.34414556882269,0,0,0,0,0
XMR,0,0,0.32827690098407,0.07765346130752,0,0.0117185886490841,0.102151708751908,0.0475688416521491,0.0109998642926968,0,0.153139760935504,0,0.00605381256369322,0.1239643604486,0.00538659842584065,0,0,0,0,0
ETC,0,0,0,0,0.596585065118091,0.0140232443382806,0.0399804745377611,0.00000000000000000346944695195361,0.097262588840105,0.0615670089738686,0,0,0,0.114403742769044,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.123371838681173,0,0,0,0.104449249477777,0.0945224297086648,-0.0158379424203741,0.194961062846618,0,0,0,0,0.170693204224899,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.342363955006463,0.0396296127591862,0,0.199747114050551,0.14622542126795,0,0,0,0.0110329165343724,0,0,0,0,0
EOS,0,0.378139452521477,0,0,0.181711635590046,0,0,0.179042731301104,0.0283400323163804,0,0,0,0.236340148395799,0.139152500703689,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00617849517436496,-0.0180268833855117,0,-0.0407443852732346,0.0262792200488901,-0.0191579182782669,-0.0324176314320126,0,0,0,0.0164624790350928,0.00133677603192862,0.055555267310795,0,0,0,0,-0.0589292549646435
CVIX.INDEX,0.139294460197641,-0.408600963476399,0,-0.0182461926043636,0,0,0.199917235084526,0.0153396492227748,0.0431722891090462,0.0598238534151303,0,-0.0341601822426576,-0.0678667396412678,0.0174083090915611,0,-0.382240885256848,0,0,0,0.101718615149469
DXY.INDEX,0,0,0,0.000686687926108458,0,-0.0282485273709749,0,0.00662773081492732,0,0.00725395176775417,0,0,0.0121292019512768,0,0,0,0,0,0,-0.000525472143589382
SPX.INDEX,0.00726271013125652,0,0.00199938109926578,-0.0110567497308938,0,-0.00454017529314293,0,0.00017553666423298,0,-0.0066216244926286,0.000811700809977121,0,-0.00215841109248141,0.0084838217011651,0.00228075684772179,0,0,0,0,-0.0346391150460991
VIX.INDEX,0,0.256427925347209,-0.00263026619538463,0,0,-0.443814781906524,0.0956426698172964,0,0,0,-0.0740848780628812,0,0.371207712526243,0,-0.264039858188419,0,0.610292129996283,0,0,0
