,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,TAGZ5,LEO,XMR,XLM,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0882736121050038,0,0.0440532015915903,0.0243463716927753,0,0.169019632388263,0,0,0.0989023260695386,0,0,0,0,0.100305922625899,0,0,0,0,0
ETH,0,0,0,0.350647132559973,0.00819247573878173,0.213940739684213,0.041516620459132,0.0377290268269072,0.00200068512377468,0.175989674133004,0,0,0.0693327669234195,0,0.0834977532414029,0,0,0,0,0
XRP,0,0.19014707740915,0,0.113378990718758,0,0.0928350966047104,0.162392212763636,0,0,0.139031498408181,0,0,0,0,0,0,0,0,0,0
BCH,0,0.353823586462831,0,0,0.184874316703286,0,0.239250295467877,0,-0.000374971265299067,0.0162955267589833,0,0,0.118244740196226,0,0,0,0,0,0,0
BSV,0,0,0,0.655225026805418,0,0,0.25332185265844,0,-0.00142950133100175,0,0,0,-0.00000000000000000693889390390723,0,0.147384452501158,0,0,0,0,-0.0307782236643642
LTC,0,0.128544683418352,0,0.112069967393096,0.0890215905833908,0,0.391025219926346,0,0,0.034343304893814,0,0,0,0,0.0381860233775381,0,0.0203210654311091,0,0,0
EOS,0,0,0,0.25917580343035,0.262259323657682,0.268315027690683,0,0.0871525466005605,0.00197440744807835,0,0,0,0.0379305689810439,0,0,0,0,0,0,0
BNB,0,0.166831977733918,0,0.314299193855886,0.0125691666930817,0,0,0,0,0.105874518086808,0,0,0.236904738804345,0,0.019670690892343,0,0,0,0,0
INNBCL,0,21.6634178824529,0,0,-1.71058362406719,0,-0.783158378139846,0,0,0.377770177130005,-2.93799945799326,0,-23.0610477025528,0,0,0,-1.45921519204355,0,0,-1.92784045629208
XTZ,0,0.111738838503766,0,0.131567925159935,0.179160695708003,0,0,0.0760831556859689,-0.00143243482294401,0,0,0,0,0,0.464939795644732,0,0,0,0,0
TAGZ5,0,0.250393585032708,0,0.330744199296407,0,0,0.0712832571647415,0,-0.00265029878925901,0,0,0,0,0,0,0,0,0,0,0.067869984625426
LEO,0,0,-0.0549427354889651,0,0.111546278870608,-0.101079429360361,0,0,0,0.13530044296345,-0.0433033859925637,0,-0.0576103190560404,0,0,0,-0.0108833172954595,0,0,-0.0473801474139113
XMR,0.0698070050848359,0.0821081189365959,0,0,0,0,0.420996575813503,0,-0.00262556093447518,0.121510563728812,0,0,0,0.191081614484953,0.047564895939663,0,-0.0358338910583331,0,0,0.0108920800400984
XLM,0,0,0,0.276057075646268,0.0971156284241881,0,0,0.112871525535447,0.00121701166754562,0.0041706511209016,0,0,0.186251862898123,0,0,0,0,0,0,0
LINK,0.286862262281552,0.376477099220745,0,0.00000000000000000346944695195361,0.0494330909967463,0,0,0.0257236801565439,0.000826715929725845,0.317523360916444,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.561906009315193,0.341259201888424,0,0,0.2112574154263,0,-1.17433766721706,-0.0191290779820102,-0.101317788370275,0.212959667654321,0,0,0.0000000000000000277555756156289,0,0,0,0,0.707034573278745,0
CVIX.INDEX,0,0,0,0,0,0.315785388332215,0,0,0.00483860828761333,0.0925988417185588,-0.560729976594703,0,-0.30924985665178,0,0.418252355820197,0.298743091667071,0,0,-0.186005131954141,0.261824034897164
DXY.INDEX,0,0,0,0,0.00929614729595053,0,0,0,0.000543242523300123,0,-0.0113216497575019,0,0,0,0,0.0347536738195133,-0.0199203220736733,0,-0.0161770437306145,-0.00756898915627399
SPX.INDEX,0,0.0810329220403566,0,0,-0.1297050681661,0,0,0,-0.00225452024214439,0.0535384903745818,0,0,0,0,0,0.143014512187206,-0.0567654222997677,0,0,-0.207601939091796
VIX.INDEX,0,0,0,-0.363485914912475,-0.052644578717395,0,0,0,0.0086109602904714,0.534079049569047,0.314590655997168,0,-0.228864563982532,0,-0.252285628587463,0,0,0,-1.99807129809745,0
