,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.16398632564154,0,0,0.0443835613827566,0.303213742263914,0,0.100063332993173,0,0.0243868143968607,0.214907953569387,0,0,0,0,0,0,0,-0.0221289349858713
ETH,0,0,0,0.336607721459941,0.0315109681101427,0,0,0.154803236320071,0.0843546422854357,0.0109980934836471,0.0737900534928091,0,0,0.186392642041551,0.0909373078983927,0,0,0,0,0
XRP,0,0,0,0.22049603616468,0.0653527161955579,0.0523554982662003,0,0,0,0,0.223025992514458,0,0,0.195902048673946,0.0746944915131132,0,0,0,0,0
BCH,0,0.0256589860716391,0.00874391267768774,0,0.184277118494205,-0.0145276232280158,0.378863375690932,0.307258731923104,0,0,-0.000000000000000000216840434497101,0.0329793966205616,0,0,0,0,0,0,0,0
EOS,0,0,0.264037897025345,0.00000000000000000693889390390723,0,0.0229150442421493,0,0.150074981632763,0.127412396471988,0.10244933817301,0.103467827179177,0.270428180825621,0.0628221413055332,0,0,0,0,0,0,0
XLM,0,0,0,0.266620138775867,0,0,0,0.19364671635636,0.249473301917557,0,0.125372292415729,0,0,0,0,0,0,0,0,0
LTC,0.0558362236224792,0,0,0.337519169080944,0.09854339171547,0,0,0,0.0497345455093209,0.0221467587008014,0.15992827151407,0,0,0.0378949156759569,0,0,0,0,0,0
ADA,0,0,0,0.346889036281046,0,0.140518356811958,0,0,0.158639142583681,0.116425008735051,0.0583677339088316,0,0,0,0.106585284800542,0,0,0,0,0
XMR,0,0.0548222954986915,0,0,0.28571815072024,0.0353626783400108,0,0.0286301244453165,0,0.207312911520511,0.0399039062316919,0,0.0791531410152568,0.00000000000000000346944695195361,0,0,0,0,0,0
DASH,0,0.560291912445945,0,0,0,0,0,0.00000000000000000346944695195361,0,0,0.0344625919782989,0.32690530924018,0,0,0.0461430433354804,0,0,0,0,0
MIOTA,0,0,0.324107728948292,0,0,0.139219672661524,0,-0.0655985588368425,0,0.0598115838517786,0,0.382739211208379,0.24217619903431,0,0.0597148214887455,0,-0.0851918066242344,0,0,0
TRX,0,0,0,0.0429072410404909,0.238258395747252,0,0,0,0,0.00247213720836221,0.0161355124770117,0,0.480825801240741,0,0.0695216420596167,0,0,0,0,0.0275598700572888
NEO,0,0.331007248174469,0,0.191259952846047,0,0,0,0,0,0.0213525811793327,0.162087179522206,0.261543171321636,0,0,0.141688288974489,0,0,0,0,0
ETC,0,0.188513986161456,0,0,0.281183320300809,0.139383679295469,0,0,0,-0.103382754678236,0.187236392446312,0,0,0,0,0,0,0,0,0.00341716596870222
BNB,0,0,0,0,0.205160437757922,-0.126832899366132,0,0,0.0338253651572003,0.275310803212629,0.0560937500826185,0,0.237417011570785,0,0,0,0,0,0,0
BV010082.INDEX,0.0504293610767838,0,0.0176996570242562,0.0316994855778528,-0.0232682502686035,-0.0311767909065113,-0.201863794985442,0.0447796774564812,0.000000000000000000216840434497101,0,0,0.0581082724071714,0,0.0121916905440454,0.0747076811084037,0,0,0,0,-0.0758697059831487
CVIX.INDEX,-0.0772679190527403,-0.0558246296340611,0.19907121222353,0,-0.133798678376597,0,0,0.1930644544046,-0.0723670196754869,0,0,0,-0.109979537730742,0.101961594187174,0.0543013488289029,0,0,0,0,0.0520747397733377
DXY.INDEX,0,0,-0.0118002968375549,0.00815522880534832,0,0,0,0,0.00761958049161434,0,-0.0151583414257794,0,0.00910171597875153,0.0105480239838529,-0.00776780177077786,0,0.0969117171304246,0,0,-0.0103021822567406
SPX.INDEX,0,0,-0.0000530951236031242,-0.0175790724965917,0.0286879091099208,-0.00588635157719057,0,0.0120522877356143,0.00549997150367031,0,0,0,0,0,-0.0260358670319106,0,0,0,0,-0.0528909636596331
VIX.INDEX,0.72130340716235,0,-0.458669746439059,0.383231593345865,0,-0.124760230610919,0,0,-0.350151957409598,-0.34563806486333,0,0,-0.129547607304998,-0.0567484836408664,0.842194865757454,0,0,0,0,0
