,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XLM,TRX,XMR,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0931588256136277,0.00164035606722069,0.0614784098041971,0.127894042539681,0,0.0281095191074039,0.0391275820706288,0.0151147573191826,0,0.000000000000000000433680868994202,0.082521132134508,0,0,0,0,0,0
ETH,0,0,0.159397798823339,0,0.000000000000000000216840434497101,0,0.124672809153818,0,0,0,0.159932834536206,0,0.211735168092879,0.0655544385051373,0,0,0,0,0,-0.00285707531604406
XRP,0,0.0653256857645383,0,0.0739918347953095,0.0200773662636636,0.179736780227063,0,0,0.0524043835135345,0,0,0,0.240171023875504,0,0,0,0,0,0,-0.0290562864159445
BCH,0,0,0,0,0.272450953226686,0,0.0467149816529956,0.109934256506315,0,0,0,0,0.171299227996168,0.154744063612712,0,0,0,0,0,0
BSV,0.471343685740172,0.173694860183392,0.375913031491969,0.808601890445661,0,0,0.871978960235477,0,0,0.458712722486265,0,-1.51538982800758,0,-0.833013457481865,0.0369240761068065,0,-0.0000000000000000138777878078145,0,0,-0.042447913612317
LTC,0,0.162381533243009,0,0.138341948259854,0.0227136278334279,0,0.249921145294363,0,0,0,0.140580515084758,0,0.245510730584793,0,0,0,0,0,0,0
EOS,0,0,0,0.0976676173055246,0.135652158779336,-0.0000000000000000138777878078145,0,0.314603908705495,-0.036409628267692,0,0.0891720912739192,0,0.22268698069562,0.272906325009819,0,-0.0914471285161402,0,0,0,-0.00000000000000000173472347597681
BNB,0,0.162408961217853,0,0.164683924819984,0,0,0,0,0.0672551175903324,0.0592603030949757,0.0450084013448578,0,0.171340475099354,0.00926146659137717,0.0922992728705394,0,0,0,0,0
XTZ,0,0,0,0,0.00143453248034605,0,0,0,0,0.393742142273411,0,0,0.282632340010765,0,0.152351980887949,0,0,0,0,-0.0250135548002584
LINK,0,0,0,0,0.0216872284195376,0.304707637688909,0,0.0700795270338092,0.162683188459401,0,0,0,0.0710933203195498,0.120522915490598,0.125629082843567,0,0,0,0,-0.0446887640640587
ADA,0,0,0,0,0,0.128597749800065,0.216178317825933,0,0,0.0618607257113133,0,0.124948350387063,0.237107478788591,0.204355723654968,0,0,0,0,0,0
XLM,0,0.0457382295801119,0,0.124057680954453,0,0,0,0,0,0,0,0,0.300835869356022,0.039821675012485,0,0,0,0,0,-0.0136231625201119
TRX,0,0.124144828296285,0.282660043432646,0.065692405190477,0.00339442945725188,0.186750416825803,0.144908618499884,0,0.0423471703561837,-0.0393410407687207,0.216253103237714,0,0,0,0,0,0.0423782708241908,0,0,0.0240998767120856
XMR,0,0,0,0,0,0,0.0655256484219731,0,0,0.0185881501514785,0.323439703991502,0.0673345825730585,0.272658343944607,0,0.0254770411469588,0,0,0,0,0.0133952435935109
HT,0,0,0,0,-0.0030261636602837,0,-0.109260961073313,0.109283864728046,0.219646049390823,0.0671314094703379,0.0703698514429243,0.0771441665880952,0.11573736517189,0.210953577484062,0,0,0.00615134930040653,0,0,0
BV010082.INDEX,0,0.206966428524563,0,0,0.0250444879483166,0,0,-0.259133824581892,0,-0.0686518326082711,0,0.0227890388475763,0,0,0,0,-0.197268701490859,0,0,-0.123671284417682
CVIX.INDEX,0,0,0,0,0.0472570281544302,0,0,0,-0.162717289243195,-0.0601357896588854,0.215727634438554,-0.0103482898799623,-0.378114819015032,0.218889900515274,0,0.0842142082247613,0,0,0,0
DXY.INDEX,0,0,0,0.00482444555193049,0,0,0,0,-0.0081535401927402,-0.0161865515302782,0,0,0.0118552626207698,0,0,0.0130495795849081,-0.0362956111259931,0,0,-0.00379952113613042
SPX.INDEX,0,0,0,0,0,0.0288834609875562,0,0,0,0,0.00263795325063999,0,0,0,0,0.0770084584902156,0,0,0,-0.102090699494959
VIX.INDEX,0,0,0,-0.452090399754419,0.0644949662141079,0,0,0.152844021300899,0.0211411287429328,0.0746926049574653,0.377122710224371,-0.135504455928228,0,0,0,0.0123497840708898,0,0,-3.79331052974104,0
