,BTC,ETH,XRP,ETC,LTC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0100011754310776,-0.0860687287901853,-0.0296084928285145,0.521060820130487,0,0.0665191578314587,0.156313938775773,0.0754979603795791,-0.0200850199224356,0.0299836315019113,0,0,0,0,-0.00870535935542057
ETH,1.07365678332885,0,0,-0.195938922097236,0,0.790739132151512,-0.00814483171054992,-1.11492022663284,0,0,0.434050415137534,0,-0.0291582790854174,0,0,0.183912234006136
XRP,0,-0.0263059090494243,0,-0.0212061200783753,0.0752145024308047,0,0.0219829730417335,0.011564636504807,0,0.0479115026739799,-0.00000000000000000693889390390723,0,0.390224015852658,0,0,-0.122822307539141
ETC,0,-0.162103930705242,0,0,0,0,0,-0.258104945987336,0,0,0,0,0,0,0,0
LTC,0.900446093577399,-0.0657024499940951,0,0,0,0.228797406688445,-0.0850832030444995,0.0434930342085888,0,0.132234602080666,0,0,0,0,0,-0.0894732800064542
DASH,0,0.00351191150220858,0.228461404862099,0.0170390771048219,0.175437217101684,0,-0.0446604701081008,0,-0.0341886012797269,0.124675550823089,0.177375177832238,0,0.143020839432524,0,0,-0.021076829079176
XEM,1.17427169301333,0.0479778935618629,0.441036889006303,0.056482961780255,0,0.085614943626505,0,0,0,0.488042787885158,0.164460637078798,0.665085144423236,0.295233513129606,0,-3.15007699902461,0
XMR,0.81055987251027,-0.0992901996628897,0,-0.103686673078493,0,0.242948129536764,-0.0951271012696571,0,0.185550713647357,0.100067732358613,0,0,0,0,0,-0.0513376751744307
DOGE,0,0.0839808510637513,0,0,0.474733887732471,0,-0.0534245275731243,0.183106117993474,0,0,0,0,0,0,0,0
XLM,0.0865613286419973,0,0,-0.0542169134328864,0.26520943376538,0.146200728736602,0.187399274422563,0,0,0,-0.105599592122456,0.850810923564477,-0.433720085189657,0,0,0.277284105815529
DGB,-0.235311708975129,0.53343452898731,0,0.100645021366442,0,0.378528251825568,0.181473096494553,0,-0.00563294401727998,0,0,0,0.583377168968752,0,0,-0.189384823337778
BV010082.INDEX,-0.229544005803966,0.0192804975316084,-0.0625408755242794,0.032468776206876,0.0295562571844665,0,0.0220070348853276,0.00540277932566737,0,0.0464122959147352,0,0,0.123103859455035,0.663239061889593,1.71355698886025,-0.00606611952708133
CVIX.INDEX,0,-0.153957801653649,0,0.0111133364064505,0,0.414004633527641,-0.0387170623682484,0,0,0.0862514434485097,0,0,0,0,0,0.153535221690622
DXY.INDEX,0,0,0.00832157029126204,-0.00153640699587474,-0.00367542206844643,0.0325431600746283,0.00279517316039444,0,-0.0212954277828122,-0.0139943694573395,-0.0122497629917621,0.18006625642505,0.0665108408871534,0,0,0.00439404804090054
SPX.INDEX,0,0,0,0,0,0,-0.00796422773282929,0,0,0.0168485098299285,0,0.0166234643230913,0,0,0,-0.0818610692169704
VIX.INDEX,0.253302752609748,0.197352783115777,-0.732716146813904,0.111058378870168,0,0,-0.168424695878789,0,-0.845764033375879,0.569187091883374,-0.269841531055757,0,1.21254197639809,0,-0.889053938038207,0
