,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0482628409536389,0,0.222763753934781,0,0.0215952886498158,-0.0179158294921414,0,0,0,0.0000000000000000000135525271560688,0.00562316708359857,-0.041629855131614,0,0,0,0,0.0065273414601255
ETH,0.50895856448909,0,0.0306834879863692,0,0.0807154745953404,0.158167560496823,0.26627802652429,-0.0286802475991039,0,0.165191887164046,0.00430528401479941,0,-0.0368235112620177,0.909169459819796,-0.183001896698895,0,0,0.104811413175393
XRP,0.130485150698551,0,0,0,-0.028558728015935,0,0,0.106599082705873,0,0.40543594433922,-0.145670885999412,-0.0241386729141887,-0.215233534124632,0,0,0,0,0.163895334662393
LTC,0.535043903525868,0,0,0,-0.085574661374166,0,0,0.00516432424771784,0,0,0.0106885526512031,-0.0111686457119626,0,0,0,0,0,0
XMR,0,0.459731649584269,-0.0763553526493994,-1.46898041437103,0,0,0.0587288136203515,0,0,0,-0.159290852859738,-0.0838903516226223,-0.088478767446525,0,-0.247578153495035,0,0,0.0907322509437115
ETC,0,0,0.117770797262905,0,0,0,0,-0.018949034297502,0,0,-0.0481290656579289,0.0246175044065556,0,0,0,0,0,-0.087465005971728
DASH,0,0,0,0,0.118792559321616,0,0,0,0,0,-0.0583895899553021,-0.0651088118951378,0,0,0,0,0,0
XEM,0,0.158179609540032,0.245283356049234,0,0.227808273086709,0.180585426752381,-0.740253527757582,0,0,0,-0.0536514774324714,-0.0898286117948479,-0.118003518064426,0,-0.557363651424493,0,0,0
DOGE,0,0.0684882447477997,0.071284033129296,0,-0.136621265140476,0,0,0.00326719489444555,0,0,0.0301072922264841,-0.0155470346486695,-0.0143665111951657,-0.242893166660799,0,0,0,0.0100178543936978
XLM,0,0,0.578127340217747,0,0.0337262114555788,0.194569331640774,-0.114838278431366,-0.238934511968926,0,0,0.0319547578311781,-0.0453096330264731,0.135172207867627,0.110367153479073,0.318381426537128,0,0,0.0424310418978423
NEO,0,1.4882666272704,0,0,-0.800145085619021,0,0,-0.323661995433921,1.71088127788301,0,0,-0.0461879166305161,-0.291551588840789,0,0,0,0,0.297564225958352
ZEC,0,0,0,0,0.345722634216103,0,-6.63084307502268,0,0,0,-0.523497079901641,0,-0.693394496667538,0,0,0,0,-0.714348727496374
DGB,0,0,-0.0694456258713028,0,-0.212095585316416,-0.168110439237804,0.379060867910801,0.0496611280747892,0,0.238678782193877,-0.120566764822696,-0.0326476186484432,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.100093973235769,0,0,0,0.0347093764554238,0,-0.184548493271985,0.0958864295704391,0.0189618993343746,0,0,0,0,0,0,0
CVIX.INDEX,0,0,-0.147430487088285,0,0,-0.2669537587698,0.10947756382331,-0.129762230670113,0,0.135756890480177,-0.0389467052609454,-0.0188481113342363,0.0505557334306094,0,0,0,0,0.172945544092121
DXY.INDEX,0,-0.00967074324523276,0.00434500677926798,0.0400659179409533,0.0152277147070952,0.013502559871342,0.0149921997712011,0.00507443536668987,0,0.00590139820046079,0.00704783012558438,0.00301263462796424,0.0146024232063468,0.132741989126344,0,0,0,0
SPX.INDEX,0.0126369923949153,0,0.00838448020226205,0,0,0,-0.00823448917595383,0,0.0420880886036223,0,-0.00292479539484636,-0.0036700585345273,0,0,-0.00777739113634415,0,0,-0.0524082888590749
VIX.INDEX,0,0.189672256703757,0,0,-0.13166992244341,-0.433736772456282,0,0.307648488286849,0,-0.0975993003164689,-0.0207143623046537,0.0296785718277009,0.0634479285250515,-0.442952648101775,1.03107063717155,0,-4.72623106959381,0
