,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0730747340541402,0.160825991877436,0,0.0855670576497008,0.0317715919927611,0,0.0010290639363671,0.0221152574197412,0,-0.0256735860599479,0,0.125336409387949,0,0,0,0,0
ETH,0,0,0,0.0829888421351445,0,0.0550426040214775,0,0.0943470717917758,0.0801186769613752,0.150013100393976,0,0,0,0.0726011194280543,0.161602173786446,0,0,0,0,0
BCH,0,0,0,0.252052571430577,-0.447305565129995,0.87349419924469,0,-0.608475872441966,0.207966786329605,0.519055376301971,-0.0617696496904197,0.588148192739843,-1.17068241812134,0.44336735820592,0,0,0,0,0,-0.0886260545615916
XRP,0,0.263280479255471,0,0,0,0.129950022180561,0,-0.00000000000000000693889390390723,0.0756176905893415,0,0,0,0.0458847316157177,0.0467792742984576,0.0809413830910288,0,0,0,0,0
LTC,0,0,0,0.0875800494847301,0,0,0,0.0692968740374966,0,0.168709438072709,0.0244828024425819,0,0.0620835020405534,0.0588826280478379,0,0,0,0,0,0
XEM,0,0.169859623728136,0,0,0,0,0.262858597995452,0,-0.0925193806502999,0,0.052017753699643,0,0.186201740639582,0,0.04310474556137,0,0,0,0,0
DASH,0,0.00146572759617516,0,0,0,0.141854152748465,0,-0.00000000000000000173472347597681,0,0,0,0.249792383832263,0,0.198634674408858,0.0699966645472765,0,0,0,0,0
MIOTA,0.170045378405746,0.0521269887383165,-0.0791923066466169,0,0,0.13039624896241,0.347085274466696,0,0,0,0.130800867360641,0.216580152976745,0.12207665180372,0.0556692688335122,0,0,0,0,0,0
XMR,0,0,0.055348622503309,0.243026741151265,0,0,0.176863073261834,0.0500103854616898,0,0,0.0405276019106153,0.0810148392855881,0.130454505106823,0.0350897033571654,0,0,0,0,0,0
ETC,0,0.27018834412138,0.00213181638181919,0,0.220349972877142,0,0.0359625038522405,0,0.00296307477400901,0,0,0,0,0.111740887057849,0.0504296229936253,0,0,0,0,0
NEO,0,0,-0.0535160403884056,0,0.133672230409438,0.126578752397843,0,0.133078943018089,0,0,0,0,0,0.511430820493878,0,0,0,0,0,-0.289166867537946
ZEC,0,0.109939125778678,0,0,0,0,0.0544170637897648,0.195440808707228,0.0656069772160738,0,0,0,0.123097221443151,0.0265083103097611,0.0306826781963342,0,0,0,0,0
XLM,0,0.0401485670977675,0,0.0772488875642938,0,0.137997436662567,0,0.052903951021088,0.29530266459359,0,-0.0441895339821738,0,0,0.309458552042923,0.210220853144542,0,0,0,0,0
EOS,0,0.241430556540657,0,0,0,0,0,0.157241355810394,0.131312302028322,0.259739564702923,0.163995445837455,0.163059041602546,0.0234032771989345,0,0.0161880646754167,0,0,0,0,0.0757445188772841
BAT,0,0.0746336914932511,-0.000934342901035506,0,0,0.110176582024431,0,0.0286952854271357,0,0,0.164543117903827,0.236063345610925,0.301427659056487,0.0875157490999031,0,0,0,0,0,-0.154005154946751
BV010082.INDEX,0,0.00481822065666245,-0.0384472740655967,0,-0.016207972828468,0.0205606841420558,0,0.00570298386885509,0.0442051627297201,0.0369667871569913,-0.0474024509817513,0,-0.0963801913041435,0,0.0707495613259088,0,0,0,0,-0.104519877086952
CVIX.INDEX,0,0,0.000000000000000000867361737988404,0.00273656841061492,0.0392786149806585,0.0342286234944217,0,0.0432893382426837,0.0340978618144898,0.027415763727992,0,-0.0383218970835763,-0.0815907690240885,-0.0278917952119654,0,0,0,0,0,0.0579824720116226
DXY.INDEX,0,0,0,0.00550324519881713,0.00252934614996424,-0.00219155087408667,0,0.0064422271713895,0.00125455537776904,0,0.00453030423863255,-0.00709482385633291,-0.00464716962166857,0,0,0,-0.00511937751368672,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00906514280353215,0.00168852892292137,-0.00568822177687636,0,0,0,0,0,0.00266239978691079,0,0,0,0,-0.0500007348452217
VIX.INDEX,0,0.032288941784788,-0.0565203927847902,0,-0.288376635135144,0,-0.215361053005964,0.121263941482693,0,0.0489465929206203,-0.110409096390979,0,-0.0322803142113358,0,0.259348493845892,0,0.998446896067831,0,0,0
