,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.166838748109552,0.0542116278466012,0.0670923149038923,0.0861227431356391,0,0.0273584166751523,0.0888976028237894,0,0,0.0819438926466117,0,0,0,0,0,0
ETH,0,0,0,0.0563127816196691,0.256353711381846,0,0.00831449796930205,0.179134792221982,0.089571411411531,0.0139435674524859,0,0,0.00143871009409362,0.0575755461521873,0.030431187146064,0,0,0,0,0
XRP,0,0,0,0.0536446554566917,0.0457948242434407,0,0.0043323943061215,0.109277850601862,0,0,0,0,0,0,0.221817032806795,0,0,0,0,0
BCH,0,0,0.360563331808494,0,0,0,0.723529286835893,-0.0428097226023604,0,-0.124077783566273,0.469572863733011,0.596940881237351,0,0,-0.949278411739655,0,0,0,0,0
LTC,0,0,0.0669499522506622,0,0,0,0,0,0,0.0199496275742742,0.77150074915362,0,0,0,0,0,0,0,0,0
DASH,0.176165927809812,0,0,0.0514555475095241,0,0,0.0996588299301644,0.0202561368437094,0,0.000000000000000000216840434497101,0.0998682221571769,0,0,0.20311544106248,0.0823753964232516,0,0,0,0,0
XEM,0,0.189767909969247,0,0.0553171677626745,0.16405331045056,0.231365000669235,0,0,0,0.11179391829121,0,0,0,0,0.0756863503717543,0,0,0,0,0
MIOTA,0,0.0950579266508652,0,-0.0855150980825499,0,0,0,0,0.0555846862459633,0,0,0.383539383075319,0.32511456742342,0,0,0,0,0,0,-0.0326572768044947
XMR,0,0,0,0.100812496756432,0.0435033698560332,0,0.0405793082314414,0.00623722986707018,0,0.0932133698501282,0,0.260526501725463,0,0,0.279273832909435,0,0,0,0,0
NEO,0,0,0.102227573773607,0.0577313570534398,0,0,0.485392509691345,0.175726897551447,0.167934987506416,0,0,0,0.14396461701926,0,0,0,0,0,0,-0.243977450478769
ETC,0,0,0,0,0.555405654448137,0,0.149491504692242,0.049498940908429,0,0,0,0.135378618142196,0,0,0,0,0,0,0,0
ZEC,0,0.281383079826615,0,0.0140215637861671,0,0.21000970902807,0.0950665057126522,0.17143129552139,0,-0.0184820907046983,0,0,0,0,0.167508519351458,0,0,0,0,0
EOS,0,0,0,0.0398693047465354,0.399039223294921,0,0,0.225149617622872,0.172094554979206,0.187353469890529,0,0.0667659508980694,0,0.038484294604459,0.149881252705305,0,0,0,0,0
BAT,0,0.0313419173730467,0,-0.0812698963013141,0,0,0.226479161620299,0.0430827541409011,0,0.0905829125454051,0,0.262615889678936,0,0,0.175733443165403,0,0,0,0,-0.0934809856492043
XLM,0,0,0.0636391496271354,0,0,0,0.239339664482437,0,0.221888366786134,0,0.156969988233089,0.0103733933905554,0,0.110644961876185,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.000669427033036907,0,-0.00302747396147165,0,0.0305165293716321,0,0,0,0,0,0,0,-0.0688101106067834
CVIX.INDEX,0,-0.0199262616355211,0.0450248414070725,0,0.0554927579430239,0,0.00977508239676529,0.0463522084171556,0.0236651323896074,0.0123226648283274,0,-0.116491076166443,-0.0902272390147694,0.0426070454787808,0,-0.10593291018752,0,0,0,0.0538483544908921
DXY.INDEX,0.0069824785356242,-0.0282058310295734,-0.00124695505326167,0.00324580934452306,0.00521875411399891,-0.0144513706137977,0,0.00471229065927113,0,0.00354423354234028,0,0,0.0207065481818808,-0.00250113953116876,0,0.0541441587956394,-0.00206599891051144,0,0,-0.00196113630360886
SPX.INDEX,0,0,0,-0.000120475480132229,-0.000281709380777142,-0.00982065680342452,0,0,-0.0034579924033012,-0.00044430984908353,0,0,0,0.00833884434562637,0,0,0,0,0,-0.0472819702078089
VIX.INDEX,0,0.0677492415097822,-0.0787258121803256,-0.00000000000000000173472347597681,0,-0.347750706745487,0.0847290083785374,0.0593580063179179,0,0,-0.0910824691775456,0.245785038689857,-0.270637699656178,0.0930972100206078,0.114544836826076,0,0.693268445568397,0,0,0
