,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.242357629315841,0,0.110635545393884,0,0.0304979033988967,0,0.096760712817834,0.0209132624864469,0,0,0,0,0.0643774744781781,0,0,0,0,0,0.0295316290763653
ETH,0.228950999025511,0,0.30086739659276,0.019421732512323,0,0.292772146804731,0.0142096857747913,0,0,0.0879522125032352,0,0,0,0,0,0,0,0,0,0.00677649663493661
XRP,0,0.384372910164175,0,0,0.0181474145241593,0,0.153291103340001,0.0430644690753793,0,0,0.133099122322161,0.0271200229530771,0,0.0302414650674518,0.0395626646950166,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.146820592696847,0,0.201950918451714,0,0,0,0.236152203467019,0,0,0,0,0,0
EOS,0,0,0.235400786250806,0.44965877082931,0,0,0.174314124363944,0,0,-0.347155973651658,0.0580554692304714,0.166189703679826,0,0,0,0,0,0,0,-0.049218301946822
LTC,0,0.446635319755801,0,0.0721498311144064,0,0,0,0.113393926660351,0,0,0.117651630495586,0,0.115936211475331,0,0,0,0,0,0,0
ADA,0,0,0,0,0.144329669150618,0,0,0,-0.0503686844683421,0.164378900467507,0.224293110679396,0,0,0.30144599369589,0,0,0,0,0,0
XLM,0,0.0538869701429674,0,0.0161117426130356,0,0,0.175331982707387,0,0.01286928270699,0.000000000000000000867361737988404,0.117519239819321,0.258766308229041,0,0.247128528168092,0.0701128187762408,0,0,0,0,0
TRX,0.653292022178596,-0.175114257871209,-1.0698713968296,0.263660539393588,0.174393860278473,0,0,0.283714215235996,0,0.0678163734769002,0,0,0.390272212968777,0.228807304172092,0.071692476704876,0,-0.260733796564185,0,0,0
MIOTA,0,0,0.334608069261444,0,0,0,0.0847224526886151,0.125462791819004,0,0,0.0769842795266869,0,0,0,0.202349053760406,0,0,0,0,0
NEO,0,0,0,0,0.0672587041611982,0.0659500448920641,0.0171356705968474,0.0724637599168827,0,0.191312722354745,0,0.0904771260438284,0,0,0.280499176683701,0,0,0,0,0.0363134774316352
XMR,0,0,0.34370809901634,0.0964294295068116,0,0,0.109024196024378,0,0.0493573582730141,0.0267050651983279,0,0,0.1360383387646,0.0393519086262196,0,0,0,0,0,0
DASH,0,0,0,0.0496576859262152,0,0,0.0272403795301822,0.179023206756893,0.00821025904513006,0.18441656016122,0.139362149451321,0.0618103594961176,0,0.0231363582770392,0.060960337078376,0,0,0,0,0.0609514436946016
XEM,0,0,0.0385427642211871,0.0927554995063358,0,0,0.0765769675908708,0.349919542708253,0.090404218227247,0,0.0437542786993216,0,0,0,0.177422787959266,0,0,0,0,0
ETC,0,0.00709398507102446,0.288646800392247,0.00935418047740745,0,0.327605566500662,0.101731686260608,0.0600636026009284,0.0286308148159001,0,0.0891624222492655,0,0.047132480859638,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0244825980906657,0.0589197430824298,0,0,0,0.02478221108297,0.00841032630217278,-0.00433337335993947,-0.0355447063850559,0,-0.0537743172963597,0.152438519427509,-0.0915051781279049,-0.0195927199576867,0,0.0516103787036874,0,0,-0.0769729180276423
CVIX.INDEX,0,0,-0.00000000000000000173472347597681,0.0763961671108691,0.0199578726458125,0.00375798805961769,-0.102231515258073,-0.0948285911121294,-0.0368325656828817,0,0,0.0345415365719023,-0.0372223683860809,0.13110059536768,0,0.226068069950741,0,0.33972304271266,0,0.0238048876423617
DXY.INDEX,0,0.0365362782800255,0.0115951207985738,0.00397299916947981,0,0,0.0191018876714514,-0.00789489217479692,-0.000358189851532831,-0.02008438254688,0,0,0,-0.0317232929388728,0,0,0.0490368878212667,0,0,-0.00368077503662022
SPX.INDEX,0,0,0,0.0351090163009014,0.00274512425053106,0,-0.00961880773327468,0,-0.0278481583706965,-0.00915838253792485,0,0,0,0,0,0,0,0,0,-0.126263771373077
VIX.INDEX,0.24169406159479,0,0,0,0,0,0,-0.00279846763208659,0,0,0.202548080202726,0,0.000000000000000000216840434497101,-0.0795424303589227,0,0,0,0,-1.11932107777187,0
