,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,DASH,XLM,XMR,EOS,NEO,BTG,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0307707574539227,0,-0.180577127720282,-0.165007844866785,0,0.0292342282900561,-0.0382158714226621,0.113629942104989,0.225328124149417,0.0556148258209364,0.166778061632343,0.12457192716776,0.0642925621430348,-0.055126209661344,0,0,0,0,-0.174962477785432
XRP,0,0,0.500988127335135,0.155914459706018,0.0372871318638465,0,0,0,-0.117132487527037,0.0183570514613055,0.132854746860616,0.0588507638870962,0,-0.0188583016114971,0.0405383880041286,0,0,0,0,0
ETH,0,0,0,-0.00305362106537714,0.0318952597863651,0.20762968035962,0.0421756963865781,0.0147321044596117,0.0797704668132474,-0.0729284912718023,0.0635791350245788,0.0971439514252351,0.121245848640255,0.068442684255701,0,0,0,0,0,0
BCH,0,-0.0831627870332254,0,0,-0.0265511462703811,0,0.0265670904235431,0,0.141835496420749,0,0.159852679062921,0.0842086138657475,0.153761438431164,0.191412183135403,0.077780940256406,0,0,0,0,0
ADA,0,0.13184762288445,0.195768409048265,-0.208252689615162,0,0,0,0.155439588081902,0.0883888676417333,0.32029176111963,0,-0.146886621891027,0.314961193004402,0.189322650791066,0.119532259711661,0,0,0,0,0
LTC,0.19050228210465,-0.0548173750537259,0.459615997554093,-0.0355637873119952,0,0,0.0458639815404077,0.174927803660584,0,0.016143307874535,0,0,0,0,0,0,0,0,0,0
MIOTA,0,-0.197353876000731,0,-0.0969805225981439,0,0.0373632679601075,0,0.0289217627963905,0,0.32902735398943,0.300381286699477,0.176035129571313,0.166357653639761,0,-0.105670072540837,0,0,0,0,0.114756513150455
XEM,0,0.219766084106517,0,0,0.0861789196780847,0,0.21954467311066,0,0.147044018562082,0,0.000000000000000000867361737988404,0.074813981052518,0.133744531078854,0.0109301963018415,-0.0339639374621319,0,0,0,0,0
DASH,0,0,0.043776554914247,0.0817358176471678,0,0.254928387021946,0.0466676654326344,0,0,0,0.1137652160732,0,0.124577314846354,0.0420593719717482,-0.00255810562573952,0,0,0,0,0
XLM,0,0.0433554949814113,0,-0.0336987990069687,0.394672714794821,0.181171754415933,0.00256314365449877,0,-0.0800095986738796,0,0.120721012068485,0.0915581096401869,0.113572429222278,0,-0.0498781726006211,0,0,0,0,0
XMR,0.126625594850244,0,0,0.0304513023761948,0,0.0315595322554992,0.163940514693187,0,0,0.14923056309963,0,0.115648086170233,0.166019907056463,0.0612129898491004,0.0634999021772011,0,0,0,0,0
EOS,0,-0.0337175667133904,0.0228246647273661,0,-0.0804230129979505,0.292342515831536,0,0.0831261520812983,0,0.3573667525516,0,0,0,0.222085080319178,0.147258181462683,0,0,0,0,0
NEO,0.0564254529201602,0,0.504714344239707,0,0.0132243248331399,0.118984627687859,0,0,0.096026369728683,0.0620986017180618,0,0,0,0,0.0344580112242593,0,0,0,0,0
BTG,0,0.0669637880857211,0,1.12776506569044,0,0.515104892745404,0.114996180313724,0.00491864745359366,-0.592813202350299,0,0,-0.617128745466339,0.126514619695132,0,0.230455987463721,0,0,0,0,0.130342094480414
TRX,0.700543489729939,0.0880845919601921,0,0.0728583198916052,0.251455508340568,0.186322501547891,-0.11820986413946,-0.00574688634654641,0,-0.359981852859664,0.676419594544512,-0.00000000000000000010842021724855,-0.133857807440224,0.0427724485272159,0,0,0,0,0,0
BV010082.INDEX,-0.0157389257466837,-0.0132893822793226,0,-0.0495573017892251,-0.0158271548257348,0,0.00188573044853759,0.0125069327126564,0,0,0.0396031567921675,0.0276038833012219,0,0,0,0,0,0,0,0
CVIX.INDEX,-0.0282138727156845,0.0513919816980941,0.00821575201491077,-0.0300484285809286,-0.0171667077553887,-0.038854143899734,0.0434910172914423,0.0260433698726021,0.0334756525462638,0,0,-0.0178283698554207,0.00319696482155591,0,-0.0148714668364705,0,0,0,0,0.0889292886509578
DXY.INDEX,0,-0.00403131157665428,0,-0.00580417212335818,-0.00320329154733576,0,0.00576406420211402,0.00431197910299084,0,0,0.00934344210476798,0,0,0,0.00981222181585861,0,0,0,0,0
SPX.INDEX,-0.0000000000000000000135525271560688,0.00232879722834855,0.0125075184291274,0.00142014772726823,0.00232110194230219,0,0.000674365399572183,0.00141180083044431,0,-0.00529325961737427,0,0.00315489901630209,0,0,-0.000583873016231233,0,0,0,0,-0.0263970965970506
VIX.INDEX,0.0762675729089851,0.0421097558115468,0.156575568170172,-0.0669261325710397,0,0,0.135319372427586,-0.0632483627346648,-0.0751437636623703,0,-0.0604010916492974,0.165178620383795,-0.0956036797902614,0.0533703687263031,-0.0659197901038829,0,0.539641911820861,0,0,0
