,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.235910210223306,0.00000000000000000173472347597681,0.0853803488534995,0.0978179274939538,0,0.0200749325358459,0.0556640633976862,0.0890840796356219,0,0,0.0196020722611734,0,0,0,0,0,0
ETH,0,0,0.0315950668624825,0,0.0724302816275372,0.079967018790893,0.154228892986053,0.0416236075314507,0,0,0,0.340494432498539,0,0,0.104367997079782,0,0,0,0,0
XRP,0,0,0,0,0.181389457512224,0,0,0.353779073146816,0.0125596638830692,0,0.0230440490746417,0,0.208712020429052,0.226291833038121,-0.00000000000000000693889390390723,0,0,0,0,0
BCH,0,0,0,0,0.0394428076008476,0.178308756001393,0,0.0231822359128035,0.241604983998048,0,0.201735481872823,0.0515240004788262,0,0,0.157638890206657,0,0,0,0,0
LTC,0,0,0,0.148283771109587,0,0,0,0.0662975076705363,0,0.150533154877502,0.0339545338835984,0,0,0.0200541814834485,0.156906925988926,0,0,0,0,0
NEO,0,0.28181867075926,0,0.157120877525033,0,0,0.0895233502015908,0.0633188597475211,0,0,0,0,0.0302327619202062,-0.022728055555873,0.248113877533103,0,0,0,0,0
ADA,0,0,0,0,0,0.0289245137336142,0,0.0606817211091679,0,0,0.358195711451049,0.0151473126041283,0.152873111994304,0.0513990978189858,0.0865689011459418,0,0,0,0,0
XLM,0,0,0.408369867229909,0.13191017339096,0,0.121821416232513,0,0,0.0940341811653542,0,0.11576322050909,0,0.0537789909287427,-0.102783229879753,-0.000000000000000000867361737988404,0,0,0,0,0
XMR,0,0,0,0.0985060981492038,0,0.0908121483221836,0,0,0,0.00000000000000000346944695195361,0.215054284218589,0.173496622807901,0.0709509975698092,0.0274180662763703,0.11496955743843,0,0,0,0,0
EOS,0.128055308720014,0,0.131243533473495,0.0415852353389242,0.0241128933316943,-0.306384074176713,0,0,0.272229398476678,0,0,0,0.0459606798957647,0.0491355689692408,0.524625529055948,0,0,0,0,-0.0257122840184408
MIOTA,0,0,0.193851064382211,0.0625579120114165,0,0,0.0125041828175675,0,0.140350111149291,0.116003504114249,0,0,0.146977027974534,0,0.117093839347849,0,0,0,0,0
DASH,0,0,0,0.0203663906164687,0,0,0.0943724661311693,0,0.0695766329650698,0.181650238669213,0.0776698837646988,0,0,0.0906787429427637,0.139102425023374,0,0,0,0,0
XEM,0,0,0.0202357490558912,0,0.13054699829773,0,0,0.20107078850859,0,0.0225273733535958,0.234961480331679,0,0,0.0273073699233803,0.144308467777653,0,0,0,0,0
TRX,0.753866849406873,0,0.268407959816711,0.142849562638584,-0.228438872463684,-0.331539965119175,0,-0.0147532218156156,0,0,0,0,0.344076933042196,0,0.185024016623325,0,0,0,0,0.160950525342084
ETC,0,0,0.254450572731833,0.119565098164329,0,0.329967810479055,0,0,0,0.117982187836965,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00264747651838767,0.0225759665021701,0,0,-0.0588288139474379,0,0,0.0195143092739714,0,0,0,0,0.0129028638839192,0,0,0,0,-0.0387470346060338
CVIX.INDEX,0,0,0,-0.0000000000000000000271050543121376,0,0,0.126180007678371,0,-0.0524450171073123,0,-0.0933262864235465,0,0.0854579088502342,-0.0110177013019913,-0.0739795839683138,0,0,0,0,0.0235966174775785
DXY.INDEX,0,0.0220412569382538,0,0,0,-0.0162050173567482,0,0,0,-0.0100170920086874,0,0,0,-0.00765798180696299,0,0,0,0,0,0.00716128302633065
SPX.INDEX,0,-0.0131818659712517,0,-0.00807823720714787,0,0.0153948396240054,0.0068501451927936,0,0,0,0,0,0.0127516837910182,-0.0118599665685757,-0.0137032729442083,0,0,0,0,-0.0639122042842178
VIX.INDEX,-0.850659827291044,-0.0994364813774898,-0.075182604887576,0,0,0.32955955265913,0,0.0504967197971515,0.344464237811645,0.270342975770403,-0.344124047553377,0,0.107553375497644,0.0895795012375058,0,-1.58119916999498,0,0,-4.39119757887191,0
