,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0954684149386414,0.101332370750868,0,0.0314800154876599,0.266444993848734,0,0.102440399468869,0.00866845635675135,0,0.100256616003633,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.18569241811651,0,0.0597565164697916,0.42031220864191,0.0190655603626737,0,0.0454034557445836,0,0,0,0.211609184898492,0,0,0,0,0
XRP,0,0,0,0,0.107623033719767,0.00000000000000000693889390390723,0.0933080293200018,0.242014899199809,0,0.213604941696684,0,0,0,0,0.179940944394551,0,0,0,0,0
BCH,0,0.17119598941235,0.0596967971958974,0,0.25868945362028,0,0.114312028793584,0.223990960136568,0,0,0,0,0,0,0,0,0,0,0,0.0307594320828544
EOS,0,0.13257911037829,0,0,0,0.026932967306623,0,0.321162250169074,0.0881907542650341,0.119161230060145,0.0930644947575864,0.174760134904751,0,0.0805422484245656,0,0,0,0,0,0
XLM,0,0,0.114191037657457,0,0.173452102068459,0,0,0,0.177548099620087,0.216598224614065,0,0,0,0,0,0,0,0,0,0
LTC,0,0.285367158592939,0,0.149226200055081,0,0,0,0.0242847368848007,0.0715224667402607,0.203452907401794,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.186896709035956,0.159386131720912,0,0,0,0,0.210122696405113,0.0319740233760767,0.0823986912761522,0.173179804118248,0.0135175280591072,0,0.0456995245206067,0,0,0,0,0
XMR,0,0.208675812238737,0,0.141640381906237,0.20797333260189,0.0365414331787095,0,0,0,0.00990975098557422,0.10560124909159,0,0,0.0686538543531134,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.000329420898509195,0,0,0,0,0,0.721015727362618,0,0.353771216859993,0,0,0,0,0,-0.0092385977283969
DASH,0,0.361470153085443,0,0,0,0,0,0.142390456825344,0,0,0,0,0,0.309290310082847,0,0,0,0,0,0
TRX,0,0.160294545002162,0,0.0175494208097166,0,0,0,0.326966388591598,0,0,0,0,0.248586433444344,0.29093280482855,0,0,0,0,0,0
BNB,0,0,0.024737996851759,0,0,0,0,0.237459074182036,0,0.10107606215496,0.22962687074756,0,0,0.0819868283730916,0,0,0,0,0,0
NEO,0,0.0452366718716202,0.0867509403898295,0.191663556620743,0,0,0,0.0768186414864649,0,0.236057121706628,0.0855728116604799,0.0840131908714629,0.293779513214809,0,0,0,0,0,0,0
ETC,0,0.217077303850731,0,0,0.335573860528089,0.0765664818988065,0,0,0,0.217359281100732,-0.151759471546032,0,0,0,0,0,0,0,0,0.0521908367798759
BV010082.INDEX,0,-0.0120102035896028,0.0160798524685183,0,-0.0615261989756218,-0.0568646629860093,-0.106747444467235,0,0,0,0,0.0743485597825602,0.134864902832317,0,0,0,-0.00136772818983562,0,0,-0.0746541096439661
CVIX.INDEX,0,-0.0951775186119227,0.0555664126607407,0,0,0,-0.158870013773267,0,0,0,-0.00849727674655728,0,0.245267279382719,0,0.0677136648456015,0,0,0,0,0.0655381872478693
DXY.INDEX,0,0,-0.0124284013804574,0.0132988617311944,0,0.0015041863109521,0.00146181537466438,0.0118615902268761,0,0,0.0102338984154105,-0.0433938976873962,0,0.00782476886496158,0.0111066629362752,0,0.0727571547305434,0,0,-0.00983834517362261
SPX.INDEX,0,0,-0.00576618563955511,-0.00360026267128851,0.0102873943164874,-0.00127315645356761,0,0,0.00657777183919331,-0.00478748628066429,-0.00592407412152639,0,0,0,0,0,0,0,0,-0.0446272788880436
VIX.INDEX,0,0,-0.129315596055235,0.435301666382758,-0.202489513849508,0.0856800795289892,0,0,-0.231276955430378,0,-0.299553088518709,0.266020350429817,0.388418465626203,-0.244822006765259,-0.0927088698175665,-0.187069986133565,0.112582822176071,0,-1.52782453068026,0
