,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,XEM,TRX,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.176164885329252,0.0884072407051167,0.0367206990468355,0,0,0.0783840531488312,0.106507865578469,0,0.101934238789563,0,0.00539174637615717,0.103477451308782,0,0,0,0,0.0241888371532768
ETH,0,0,0.216559599193323,0.166362337286359,0.18917983430015,0,0,0.0163092076017889,0,0,0,0.0657048727891489,0.0539481340084204,0.0759318392021635,0.0563935815326726,0,0,0,0,0.026357454424706
XRP,0,0,0,0,0.236356733152479,0.189238893759006,0,0.0829877631979719,0,0,0.0977699731858527,0,0.161250039696062,0.0021880989248361,0,0,0,0,0,0
BCH,0,0,0,0,0.227478176777502,0,0,0,0.0604291373925929,0.00960030963280727,0.0493889046315368,0.258480045638035,0,0,0.196969281467838,0,0,0,0,0
LTC,0.0722247448401802,0.210996992219383,0,0.228498624285713,0,0,0.0726975368680743,0.0531759515548467,0.0545772733797604,0.0853629432648193,0,0,0,0,0,0,0,0,0,0
EOS,0.21695176239394,0.0583936458413918,0.0844765525288215,0,0.0892720986921195,0,0,0,0.160463226505176,0,0,0,0.192620321565234,-0.0357846852181311,0.100189959052234,0,0,0,0,0
ADA,0,0,0,0,0.0348383527089488,0.484198145351697,0,0,0.111651820202355,0,0.178001436745548,0,0.109010540899995,0,0,0,0,0,0,0
XLM,0,0,0.371925369956852,0.0122876285597993,0,0,0,0,0.0506960773784313,0.0624085820502589,0,0.102120845691093,0.147652529334546,0.130807753733784,0.0527302789306795,0,0,0,0,-0.0150681654196493
NEO,0,0,0.000922683414004565,0,0.0963008099366549,0.0135044357926204,0.0711616063844661,0.146459909645747,0,0,0.16268154617851,0.0709924604275144,0,0,0.12300868564548,0,0,0,0,0
MIOTA,0,0,0.140339834040013,0.136643974812568,0.0924897936609558,0.0773955635893934,0,0,0.0924670762677888,0,0.138318147138263,0,0.123894702111884,0.0632182760217088,0.0335037336746236,0,0,0,0,0
XMR,0.469405185343987,0,0,0,0.214800174117727,0.0163035506378543,0,0.0608779312665479,0.127046418949329,0.125930206737063,0,0,-0.0479243611969384,0,0,0,0,0,0,0.0902571457819729
DASH,0.362650670914638,0.124514097694142,0,0.0736856252002652,0,0,0.115930047159923,0,0.0200944160818801,0.0186139709547043,0,0,-0.00000000000000000173472347597681,0.133227175069955,0,0,0,0,0,0.0176435821628343
XEM,0.166631053636901,0,0,0,0.0648449532090774,-0.181808599915254,0.390365509924899,0.16596882134641,0.474089616040007,0,0,0,0,0,0,0,0,0,0,0.0841849262321616
TRX,0,0.0258420190148542,0,0,0,0.366740080052963,0,0.0289206705122087,0,0.631048521690575,0,0,0,0,0,0,0,0,0,0.0653730775194975
BNB,0,0.343436860715272,0,0.0333430608522987,-0.165611912046989,-0.127517042647768,0.0000000000000000138777878078145,0,0.228524030198696,0.126142533769928,0.186119314401723,0,0.210372598256297,0.086755303876611,0,0,0,0,0,0
BV010082.INDEX,0,-0.0698248473829635,-0.000209132501080237,0,0.0481741178732471,0.0351069804785206,-0.0226525738239618,0.0363209075543038,0,0,-0.0458563536054098,0.157982858499476,-0.0383092156319875,-0.0512321591692644,0,0,0,0,0,-0.0383656156965926
CVIX.INDEX,0.00730415751822065,0,0.11741727818075,-0.133234560813149,0.0179160037536807,0,0,0,0.00983109789089686,0.0300414770116544,0,0.109293048419749,0,0.0231854940363982,-0.174273988027427,0,0,0,0,0.0628190658270047
DXY.INDEX,0,0.0238505926835593,0.0203538857148448,-0.0112364986880104,-0.00843226895497916,0.00204082178112814,0.00880481312507273,-0.00717409232382603,0,0,-0.00414606247011339,0,0,-0.00830405646268679,-0.012425492300581,0,0,0,0,0.0104680187108594
SPX.INDEX,0,-0.0285995800060961,0,0,0,0.000000000000000000216840434497101,0,0,0,0,0.02445709130467,0,0,-0.0387182748424853,0,0,0,0,0,-0.079756287695595
VIX.INDEX,-0.158002085951913,-0.0669348760142184,0,-0.0285804214914668,0,0.243883555561765,-0.0821432136115401,0,0,0,-0.06608830661325,0,0.0464604108293956,0.163831905901684,-0.14216969538,-0.934602989073422,0,0,-5.25075899168488,0
