,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0360138080012247,0.241752405653702,0.0739625616920604,0.0330286957617595,0,0,0.156769247977271,0.0266369538275229,0.0192533880262893,0,0.00725728425898145,-0.0951813329579083,0.103954854224947,0,0,0,0,0
ETH,0,0,0,0,0,0.253444454964048,0.0943094576101055,0.0313859765264462,0,0.0605752786031861,0,0.0970840000029543,0.172643373887528,0,0.0310848872894825,0,0,0,0,0
XRP,0,0.00000000000000000346944695195361,0,0.0443756517831198,0.238292021711539,0.0865940858476425,0.247273097101953,0,0.0241427614706142,0.0274401378126976,0,0,0,0.270813759984939,0,0,0,0,0,0
LTC,0.29306849286503,-0.0672647566025419,0,0,0,0.220292203172648,-0.126336269733454,-0.0309617802172192,0,0.0253265446377635,0.123387891120944,0.0609539662662804,0.198111373586287,0.0205741051267724,-0.0000000000000000000135525271560688,0,-0.0330734266731698,0,0,0
XEM,0,0,0.356771302337672,0.0919216033955074,0,0,0,0,0.236025984931364,0.0266654535441483,0.0178371653359301,0,0,0.0656726425103667,0.017798556909113,0,0,0,0,0
ETC,0.0469096512535247,0.216881921252775,0,0.144308211252483,0,0,0,0,0.205091637057005,0.0320040714965243,0.0339960919847352,0.0270445401426907,0,-0.118730633318054,-0.00214806528581028,0,0,0,0,0
DASH,0.101312358965787,0.0881878293798205,0,0.147455255399258,0,0.196933206147194,0,0,0.133102482631951,0,0.0294477328315931,0,0,-0.0342263226217138,0.126956429708875,0,0,0,0,0
MIOTA,0.173754064171185,0.0467465799612847,0,0,0.000000000000000000867361737988404,0,0.280052993423885,0,0,0.0506705313463607,0.00305463848420168,0.137388577105738,0.287853461894783,0.113534380414095,0.138054585547262,0,0,0,0,-0.0529988575716889
XMR,0,0,0,0.0555421215475024,0.168266714612238,0.0457232909599888,0.407898493843427,0,0,0.00644108675571274,-0.0102725294288183,0,0,0.190489458726058,0.0395058527803377,0,0,0,0,0
EOS,0,0.389568960811766,0,-0.17936621856701,0.296147534075066,0,0,0,0,0,0.120631895483307,0.0988485551214718,0,0,0.176165365809258,0,0,0,0,0
NEO,0,0.0387319758725235,0,0.0935385082330593,0,0,0.0314285888469568,0,0,0.0305067707241799,0,0.471685868426366,0,0.118556172250867,0.0166316470794092,0,0,0,0,0
ZEC,0,0.170870145476452,0,0,0,0,0.119607176477286,0.119384503537615,0,0.016824808539534,0.051466874657969,0,0.0610543617995604,0.140271647448301,0.00000000000000000010842021724855,0,0,0,0,0
DOGE,0,0.0189419970266117,0,0,0.472659344409929,0.120888751415714,0,0.0515032938754045,0.0873068165781737,-0.063899863465873,0,0,0,0,0.0973831115776225,0,0,0,0,0
XLM,0,0,0.670949562111886,0.197992270123578,0,-0.127603441859031,0,0,0.394636689353805,0.0651453650889308,0.0209065805573487,0,0,0,0.113278440424762,0,0,0,0,-0.175384530531102
DGB,0.196315134958542,-0.44783800827062,0.220949354541754,0,-0.143414856150515,-0.00520483386369512,-0.246148739624634,0.387010492325606,0.200266148787758,0.193352799055366,0.0342008778897628,-0.676224898355605,0.567701017318721,0.650057409204701,0,0,0,0,0,0.438420177605696
BV010082.INDEX,0,0,0,0,0,-0.0225336097667931,0,0.00756575148313302,-0.00684639245396642,0,-0.00460817778324457,0.0314537111753107,0,0,0,0,0,0,0,0.0180507688379086
CVIX.INDEX,-0.0185902067394872,0.0377726997718845,0,-0.0259958104158561,-0.0415351683443745,0.0290851720042111,-0.069882120641246,0.0351406607104348,0.0885698969257582,0.0239890982646449,0,-0.0720421016026635,0.0680902384427682,-0.0158529353261056,-0.0402943043553021,0,0,0,0,0
DXY.INDEX,0.00536723875714195,-0.0000000000000000000008470329472543,0.00518373170360845,0.0055492657762689,0,0.000585771154689973,0.00328068965538169,0.00485718425503938,0,0,-0.00499805830316487,0,0,-0.00378555723299533,-0.00266339425575924,0,-0.00417313568867953,0,0,-0.00549750817990475
SPX.INDEX,0.00365674829137102,0.00311379927832381,0,0,-0.00523812385848997,-0.00495482030076678,0,0,0,0.00151622904056401,0,0.00338544907914439,0,-0.00136716781204575,0.00139745922205802,0,0,0,0,-0.0614835287985618
VIX.INDEX,0.30088858009275,0.197476177310978,0.173432500349924,-0.157224995114978,0,0.113287115893771,0,-0.179778011271082,0,0.025356668142059,-0.0548472982733729,-0.121765764897481,0,-0.0304521093435187,0,0,0,0,-2.25654721823283,0
