,BTC,XRP,LTC,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.333284281222953,0.157704980667391,0,0,0.0291139295413868,0,0.0303060285855297,0.0259185542873528,0.0548382990784005,0,0,0,0,0
XRP,0,0,0,-0.0101708758926465,0.476034443580301,0,0.293014911153247,-0.0233230547455833,0.00201045207925687,0,0,-0.318058959674273,0,0,0
LTC,0.388879954558743,0.219758695556157,0,0,0.325669709597139,0,0.0794371848475884,-0.0872300228077052,0.0129638913762073,0.0029352084290682,0,0,0,0,-0.0451633220860567
ETH,1.35213828232033,0.361389608156264,-1.46573525569027,0,0.864035487712476,1.06538947109054,0.562266415914412,-0.98780092526665,-0.0127425831523936,-0.423697054804675,0.603236303995041,0.352185182280304,4.93037389628001,0.462670645320331,0
DOGE,0.28304386970839,0,0.143635603088986,0.0414404109913895,0,0.13248132253419,0,0,0.0221675592742087,0.0730649329178809,0,0,0,0,-0.0267894109977754
DASH,0,0,0.472292872895455,0,0.166732340958261,0,-0.302773194391361,0,0.0146056224850436,0.0502122432085389,0,0,0,0,-0.0239496862512229
XLM,0.411886589702275,-0.173410166922855,0,0.159470974461519,-0.256124975495886,0,0,0.0939039473706721,-0.00448076749410606,0.119682125460208,0,0,0,0,-0.194032670520273
XMR,0.0538782048494873,0,0.240999339618256,-0.0850675613901848,0.353618192028049,0.0816767282019909,0,0,0.0474415351424909,-0.0191559569252414,-0.843502883110874,-0.41168623052093,0,0,-0.220326284764235
DGB,0,0,0,0,0.203432139285028,0,0.749958716743664,0.231544546747742,0,0.476379560025476,0,0,0,0,0
XEM,-0.361537681119773,0,0,-0.230332707859252,1.51993647091476,0.0821376183743534,1.08991929277997,0,0.106588581167402,0,0.0945454751918337,0,0,0,0.244959770093899
BV010082.INDEX,0,0.073658141406481,0,0,0,0,0,0.0518061797318708,-0.0332232891935914,0.0273754196387579,0,0,0,0,0
CVIX.INDEX,0,0,0.0811111582274375,0.047055835736745,-0.0995779257580498,0.0133113084741219,-0.240067035772388,-0.153663296751588,0.020582313607436,0.0956834391018043,0,0,2.50779805201346,0,0
DXY.INDEX,-0.0162802532734379,-0.0425776847857777,0.0282329909909534,0.00508328841000019,0,-0.00331840708022257,0,0.0267877967703857,-0.0109050904137434,0,0.133416478697854,0.0223191784856269,0,0,-0.0188107302180893
SPX.INDEX,0,0,0.00930569810891086,0,0,0.0113343467043769,0,0,-0.0000000000000000000271050543121376,0,0,0,0,0,-0.0778972712193929
VIX.INDEX,-0.0891699139435628,-0.165314932878917,0,0.0992505708468763,-0.0562755036902261,-0.0194214166939184,0,-0.136996075483051,0.134198559179007,0.0949876099263554,0,-0.457242524408201,0,-3.97902313511656,0
