,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.110229854622258,0,-0.00000000000000000346944695195361,0,0.310388525524242,0,0.103513563408123,0,0.0316255636040227,0.205302573515948,0,0.00000000000000000346944695195361,-0.0536579274326066,0,0,0,0,0
ETH,0,0,0,0.126951863842956,0.151557174796128,0,0.0817589626677197,0.300995537717852,0.0380191434971368,0.0573605074798838,0.000000000000000000867361737988404,0,0,0.23125657708399,0,0,0,0,0,0
XRP,0,0,0,0.0608948327419546,0.117194113460445,0,0.180057028215767,0.194891548368506,0,-0.023623189000514,0.208271649311915,0,0,0.13503720790557,0,0,0,0,0,0
BCH,0,0.0665963847180567,0.0772261311195246,0,0.2843684205703,0,0.105006591192038,0.137618159540708,0.043248243924132,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.125555795716698,0,0.0321580117351991,0,0.191485397048657,0,0,0.109625432818129,0.0910788322701287,0.151635412751965,0.205125228058018,0.160781948528253,0,0,0,0,0,0,0
XLM,0,0,0.245030013276053,0,0.138714749451084,0,0,0,0.18763995164626,0,0,0.166112200971838,0,0,0,0,0,0,0,0.00969172603155001
LTC,0,0.247829148034127,0,0.145233561464503,0.0113281746822582,0.0489873649908706,0,0.0418496176884988,0.0648050772387786,0,0.190716533097704,0,0,0,0,0,0,0,0,0
ADA,0,0,0.0582658286027313,0.15866604601778,0.158164206023419,0,0,0,0.0306640332583279,0.118402076307488,0,0,0,0.149067852635079,0,0,0,0,0,0
XMR,0,0,0,0.155516704242948,0.287904651591935,0.0327552215358578,0,0,0,0.183632652478193,0.054255958978679,0,0.0236145605118531,0.0197639438267148,0,0,0,0,0,0
DASH,0,0.370963211896892,0,0,0,0,0,0.0855550387168014,0,0,0,0,0.319708709188448,0,0.0504148932603247,0,0,0,0,0
MIOTA,0,0,0.0876989894200691,0,0.00000000000000000693889390390723,0.21487924692832,0.235108341185373,-0.303908293271553,0,0,0,0.529635167553324,0.245388102390055,0,0.176481186417085,0,0,0,0,-0.0439211787733692
TRX,0,0,0,0,0.164626653083791,0,0,0.158691818224518,0,0,0.0186321899853228,0,0.410353482843803,0,0.139679040204967,0,0,0,0,0
NEO,0,0,0.0625670911485485,0.201813943195003,0,0,0,0.127633052380691,0,0.150931997206411,0.26569190951791,0.144133374929766,0,0,0.145388591560382,0,0,0,0,0
ETC,0,0.216690885400931,0,0,0.334947320301876,0.0772950247225747,0,0,0,-0.151220456596665,0.217061557715964,0,0,0,0,0,0,0,0,0.0514458666159802
BNB,0,0,-0.000000000000000000433680868994202,-0.018887154807783,0,-0.12905393793688,0,0.52858590459162,0.00434223136775431,0.281087401855152,0.100978658455499,0,0,-0.0773844789460981,0,0,0,0,0,-0.0545807275339921
BV010082.INDEX,0,0,0.0640438400197369,0,0,-0.0557625601148308,-0.107572798549904,0,-0.00624918477869039,0,0,0,0,-0.0157759257322256,0.0907650738820228,0,-0.0403924775328325,0,0,-0.0500785967447643
CVIX.INDEX,0,-0.064972458449845,0.0283708519401056,0,-0.111906338266386,0,0,0.144686241106725,-0.0356552398745337,-0.0222400519851501,0.0842995485861975,0,0,0,0.0778987793618048,0,0,0,0,0.0634904296211992
DXY.INDEX,0.013831361024315,0,-0.0210534878359667,0,0,0.00673222513146333,0.00517945655915837,0,0.00833150953852564,0,-0.000604427071824079,-0.0215099089228938,0.0141761361928253,0,-0.00367557436042764,0,0.0902298806738222,0,0,0
SPX.INDEX,0,0,0,0,0.0113320519631269,-0.0133005456408488,0,0,0,0,0,0,0,0,-0.0194877165642607,0,0,0,0,-0.0518215501515028
VIX.INDEX,0,0,-0.18525373400665,0.412766452224129,-0.178379109468877,0.0648464198524445,0,0,-0.241090000445728,-0.310948254489864,0,0.282047013241037,-0.201861108338929,-0.0581376473455735,0.387696087901683,0,0.0960608560424756,0,-1.71135246366091,0
