,BTC,XRP,LTC,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.359621920931137,0.0708422142610164,0,0.0516591905624876,0,0.12537877369227,0.0399294842774658,0.0311871579388558,-0.0276086150036699,0,0,0,-0.0706473260924343
XRP,0,0,0.3146445545575,0.0843413100729981,0.339506107464917,0,0.0460518169011869,0,0.0186668079336552,0.0937255634227827,0,0.42874620820576,0,0,-0.270635936915135
LTC,0.586768730955116,0.00315793931345739,0,-0.0872772026951482,0.378991876103594,-0.0984106668062465,0.0887428317434434,-0.0907214196786516,-0.0061547131788258,-0.0192649838121129,0.249300317240379,0.106971991151642,0,0,0.042103649733253
ETH,0.495459591925095,-0.20412293738513,-1.75095044671253,0,0,-0.457686513606273,0.380994932769578,0.00000000000000000693889390390723,-0.0554885708242217,-0.241912149916167,0.649864389957944,-0.0513861433746405,0,0,0.000586662840015717
DOGE,0,0.167129298435252,0.0972298037297176,0.0257891321217617,0,0,0.0245203066319733,0.198869470105776,0.00874248906744119,-0.0360190733621745,0,-0.0412544661192208,0,0,0.0248850528394593
DASH,0,-0.130053545589753,0,-0.112077177389581,0.403180437346038,0,-0.0383306668873432,0,0.0274503085267194,0,0,0,0,0,-0.167154646647064
XLM,0,0,0,0,0,0,0,0,-0.0513587538141686,0,0,0,0,0,0
XMR,0.834494022480041,-0.0309418032301943,0,-0.0623405170109369,0,-0.290293497401013,0.154195660566521,0,0.00822440590830018,-0.0732562021938449,0,-0.274836886542581,0,0,0.106798724085755
DGB,0,0,0,0,0,0,0,0,0,0.337998113168334,0,0,0,0,0
XEM,0,0.13581704298686,-0.988754742117636,0,1.6788332668587,-0.428895440462554,0.540535066808534,-0.787627112570878,0.0997568952582994,0,0,1.06716237107391,0,2.54075827034983,0.227603176195303
BV010082.INDEX,-0.314977254395507,0.219199617225166,0.331312166959874,0.0708786995271491,0,-0.183661112849859,0,0.0309167201099517,-0.0552473420973321,0.0318760690623538,0,0.123215082045985,0,1.46181261979098,0.280781190406584
CVIX.INDEX,0,0,0.261690496430353,0,0,0.0729151247339559,-0.0967860959573003,-0.101070604780757,0,0.0545779199768055,0,0,0,0,0.0637129589826034
DXY.INDEX,0,-0.024195258372596,0.0149408608356369,0.0109727918752143,0,0,-0.0260689628685939,0.0392902228724981,-0.013729903497992,0.0156844916140159,0.0407503136139785,0,0,0,-0.0204531621625082
SPX.INDEX,0,-0.0479924137597552,0.0329977238819569,0.0146567357697712,0.0410253658820057,0,0,0,0.0166021812139615,-0.00221825966377031,0.0364800540768573,0,0,0,-0.151765554398351
VIX.INDEX,0,-0.383539588028003,0.286019584509918,0.107060258823381,0.506426633386047,-0.141745265984208,-0.0205902075959736,-0.000000000000000000867361737988404,0,-0.00520597333889503,0.347928626306559,0,0,-5.13774325970061,0
