,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,ZEC,DOGE,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.323330067563436,0.0155717969358325,0.00284469840704305,0,0.244575892930025,-0.000000000000000000867361737988404,0.343696759207194,-0.445594067543132,0,0.0384932491936298,0.127932659331557,0,0,0,0,-0.190587202690318
XRP,-0.56076327942144,0,0,0,0,0,0.109894805776988,0.472241832725691,0,0.169249885388738,0,-0.410438633952778,0.169894990839403,0,0.284522112870036,0,0,0
ETH,0,0.0137548653474408,0,-0.0315629441098096,-0.203237707154882,-0.0485873707709856,0.225572921195145,-0.00427036049736868,0.455931435512153,-0.347943363265634,0,0,-0.000000000000000000867361737988404,0,0,0,0,-0.179817913920648
LTC,0,-0.0111852987188507,0,0,-0.121551597679449,0,0.253535881918678,0,0.114829486915235,0,0.418545040135689,0.00581453383092464,0,0,0,0,0,-0.268764181510274
XEM,0,-0.043630828428517,-0.145336926774368,0.0175639989524444,0,0,0,0.167349709164265,0.36858281190087,0,-0.103047074591315,-0.0133834959687066,0.370072136675368,0,0,0,0,-0.382982091117563
DASH,0,-0.0919699318882775,0,0.067907351095142,0.160630196704582,0,0,0.0225175336098178,-0.0928510583438874,0.334096162137178,-0.0601776412976191,0.0432146008769225,0.0701489594690059,0,0,0,0,-0.174661307111751
ETC,0,-0.0560438744695142,0.3466434657985,0.155311582669123,0.0205754691963123,-0.0698856526576859,0,-0.018334772978802,0.0987582626811305,0.241764110577412,0,-0.0283792640084249,-0.124957700511335,-0.209165067948485,0,0,0,0.278669242905982
XLM,-0.358375959789921,0.270037528207493,-0.2376515195621,0.0998236916541265,-0.0239181773790665,0,0.431902706923746,0,0.652452597305398,0,0.557813297979965,0.205822688336459,0.0303224254348689,0,0,0,0,0
XMR,0.175189116422605,-0.0855573301858298,0.302726922790546,-0.0326513479761352,0.0595325623993685,0,-0.116110310921685,0.12730948378236,0,0.152425161003782,-0.125679031920338,-0.00274207072430046,0.0115012541290119,0,0,0,0,0
ZEC,0,0.0346097334717809,0.022748027135136,-0.174824910347326,0,0.243735763996176,0,-0.0527707294257007,0,0,0.2098510565564,0.0163951137014567,0,0,0,0,0,-0.175430729947859
DOGE,0,0.00000000000000000173472347597681,0.100231633238221,0.272588291206303,0,0,0.00000000000000000693889390390723,0.236790716425946,0.0886125272541757,0.27207092261206,0,0.0139281651847768,0.0633085098706079,0,0,0,0,0.584527142990165
DGB,0,-0.0127772293873268,0.0471476879329416,-0.203689050363777,0,0,0,0,0,0,0,0,0.240938356356186,0,0,0,0,0
NEO,-0.368810253549967,-0.0532494312014602,0,0.0327749019717692,-0.0399057551939009,0,0,0.0138800478260477,0,0.489149449146323,0,0.0493947337156407,0,0,0,0,0,0
BV010082.INDEX,0.0450028559079537,-0.0148952876297498,0,-0.00862669749181559,0.0129428992776764,-0.00000000000000000173472347597681,-0.095880366646719,0.0358537423241695,-0.12880371661004,-0.0672036253131392,0,0.00588993547004359,-0.0064149189791037,0,0.11141886820807,0,0,-0.0291920096307926
CVIX.INDEX,0.155358990780786,0.0299751963077116,-0.126984469011043,-0.0163364514502127,-0.0354655345238985,0,0,0.00499166257056135,0.192284805574398,0,0,0.0354499125713306,0,0,0,0,0,0.169026154252211
DXY.INDEX,0.0396854471331994,0.00204183281020783,0.00570789424162435,0,-0.00583586186530816,-0.00186209030357263,0,0,0,0,0,-0.00117306597219512,-0.00088177579456278,0.0681443741120706,0,0,0,0.0265620523365209
SPX.INDEX,0.000349591658770767,0,0.00775131628136948,0.00427374227967893,-0.00182371848694988,-0.0033414938699769,0,0.00355131410148343,0.00453915444904908,-0.00273277555611964,0,0.0029614723953761,-0.00259546488649208,0,0,0,0,-0.0362874668717651
VIX.INDEX,0,0,0,0,0,0,0,0.0690012920774971,0,0,0,0,0,0,0,0,0,0
