,BTC,ETH,XRP,BCH,XEM,LTC,MIOTA,DASH,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.125000750674342,0,0.24155756271771,0.041618915067859,0.0655477426433449,0.0563675052441538,0.0311937065025777,0.059405325652464,0.0513089531303321,0,0,0,0,0,0,0,0.0851438449157518
ETH,0,0,0.227895742265604,0.00755113487386305,0.0218836765320271,0,0.188956683279244,0,0.193922348932238,0.0198288798304548,0.0422739008575647,0.0420374788742864,0,0,0.150367042513325,0,0,0,0,0.183704607913046
XRP,0,0,0,0,0.095736289383297,0,0.0216088150944467,0.116277918933065,0,0,0.0400714910992942,0.00883773014232836,0,0.162674318311637,0.470001901309837,0,0,0,0,0.00000000000000000173472347597681
BCH,-0.562838971478418,0,0.53257868350294,0,0.844286507774392,0,-0.283857425138533,0,0.432187972610134,0,0.471267038273021,0.0656995610104937,0.585994009112754,-1.46767822862954,0,0,-1.03225449740136,0,0,-0.451303565178749
XEM,0,0.0599815946015577,0.199494365539952,0,0,0,0,0,0,0.0382264083794749,0.116613482491156,0.106015461900568,0,0.0751337866117366,0,0,0,0,0,0
LTC,0.0953523895194176,0,0,0,0,0,0.0534629300950108,0,0.211278711406606,0.0649286887075843,0.010631225571982,0,0.0144909314302309,0.0664834384758231,0.0183644299186765,0,0,0,0,0
MIOTA,0.316187886631895,0,0.852260913232846,0,0,0,0,0.172840936018893,0,0.0406174443550655,0,0.0253154902353455,0.0817744060866863,0.225702050777525,0,0,0,0,0,0.0145335089421618
DASH,0.0514009542329735,0.132831129332685,0,0,0.110587411930908,0.0996468138007397,0,0,0.147125085578063,0.0354187201861428,0.295411283028065,0,0,0,0,0,0,0,0,0.109087308344268
ETC,0.000000000000000000867361737988404,0.241640140329125,0,0,0.0241156993033921,0.178981226610286,-0.00000000000000000173472347597681,0.0784998615752287,0,-0.0287537866745383,0.207889141482609,0.00443281779076423,0,0,0.0516456117911403,0,0,0,0,0
NEO,0,0.1250976535175,0,0,0.159194221881225,0,-0.00000000000000000693889390390723,0,0,0,0.169111512094656,0.0375074366487314,0.0332796366572566,0.178660710001131,0,0,0,0,0,0
XMR,0,0,0,0,0.125179584366847,0.0937938953511328,0.0374796206998252,0.453602933941269,0,-0.0158922396704404,0,0.0195233678381818,0,0.248380318750728,0,0,0,0,0,0
EOS,0,0.175430441553908,0,0,0,0,0,0,0,0.094587996718166,0,0,0.347911668323216,0.0486736641103332,0.132476609966851,0,0,0,0,0.0779896872904783
ZEC,0,0.197016074324307,0,0,0,0,0.0775021020701605,0,0,0.0439275715543979,0,0.0140347287868606,0,0.168429402504318,0.209795881466666,0,0,0,0,0
XLM,0,0,0.24938166429365,-0.0280176660899743,0,0,0.0885212397863998,0,0,0.0619747877752141,0.593214388186872,0.081718799017346,0.135201159496525,0,0.0172453454794967,0,0,0,0,0
DOGE,0,0,0.400461163136153,0,0,0,0.0196277420667496,0.0230779964749406,0.0629808792379665,0,0.265236962190261,-0.0398056555473977,0,0.0175901270279217,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0073754565081828,0,0.00000000000000000010842021724855,0.0123554400702675,0,-0.0132846930945518,-0.00802526408752973,0,0.00692785641232578,0.0366815358624537,-0.0243431619427665,0,0,0,0,0,0.0336098655081548
CVIX.INDEX,0,0,0,0,0,-0.010194883742246,0.0527840377281065,0,0,0.00697913471526806,0,0.0238808392645057,-0.109163425277666,-0.0406994160914518,0.0369650884832646,0,0,0,0,0
DXY.INDEX,0.0241204005719777,0,0,0.0000000000000000000067762635780344,-0.013456013116111,0.00288527196579754,0.00534676880214774,0.00295466689654671,0,-0.00409217156465772,0,-0.0000000000000000000135525271560688,0.000570477313169714,-0.000431428991130871,0,0,-0.0233881303416523,0,0,-0.00502908946903247
SPX.INDEX,0,0,0,0,0,0,0,0,-0.00356910054278984,-0.000714952105801836,0,0.00151776715214603,0,-0.0012560400894926,0,0,0,0,0,-0.057257882832742
VIX.INDEX,0,0.148472222263265,-0.3033732240303,0,0.0554308546244832,-0.0208686943250083,-0.000000000000000000433680868994202,0.135732300200262,0,-0.0756550181238735,0.137281738033089,0.0197309154865948,0,0,0,0,0,0,0,0
