,BTC,ETH,DASH,XRP,XMR,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.159064401273015,0,0.324976847458298,0.354965735567892,0,0,0,0,-0.0433595674517924,0.04929847291692,0.0761771480992967,0,0,0,0,0
ETH,0,0,0.131714329365267,0,0.125917977053213,0,0.251905760115131,0,0.0445544158080056,0,0,0.060884457719206,0.0832185927032996,0,0.056610077866458,0,0,0.12237887271156
DASH,0.493762767852564,0,0,0,0.413341095966553,0,0.180238240780275,-0.0247849775651326,0.152756463935697,0,0,0,0,0,0,0,0,0.0508666792010491
XRP,0.0780700034549961,0,0.0444210366389081,0,-0.00000000000000000693889390390723,0,-0.0938459638690349,0.0490529152539552,0,0.580013171272561,0.0096030202376713,0,0.0867558332838941,0.118283103006351,0,0,0,0
XMR,0.308959486273679,0.166004014081152,0.106050244793079,0,0,0,0.213015019599684,0,-0.237718137903195,0,0.266218912815824,-0.0332739831083188,-0.078474127288965,0.814381502097295,0.535819691588332,0,0,0
LTC,0.588336541073874,0,-0.0603314625265214,0,0,0,0.113358290674069,0.0645708727893832,0,0,0.139673038269812,0.10080154188461,0,0,0,0,0,0.0407477458066204
ETC,0.0497430875778144,0.332107914447896,0.255399574133674,0,0,0.280330640165514,0,-0.0791290646066275,0.0231989639340725,0,0.116681809828737,0.221882122694258,0.0318293191719713,0,0,0,0,0
XEM,0,0.178192921391154,-0.0230538799223829,0.112810828436271,0,0.199506109565752,0,0,0.186299519122566,-0.34641245650899,0,0.189257327776969,-0.146394001926465,0.79692489665239,-0.150546051564148,0,0,0
ZEC,0.166810845483303,0.0957826397718722,0.243604851683206,0,0,0,0.186119992254964,-0.0718576387495688,0,0.234348945145052,0,0,0.0365373312465575,0,0,0,0,0.108082648356506
DOGE,0.0908675288039065,0,0,0,0.120953480774283,0.119596892287276,0,0,0.119731624079967,0,0.0542509933203663,0,0,0,0,0,0,0
XLM,0,0,-0.117570375245679,0,0.156146201444953,0.416070335445568,0.0039777104503583,0,-0.0909449013072007,0,0,0.0680464370317648,0.0203576363971572,0,0,0,0,-0.0649005674920212
NEO,0,-0.404851141811502,0,-0.223472027303657,0,0.143661194414011,0.297143772693835,0,0.197361381565404,0,0,0,0.282714139358054,0,0,0,0,0
DGB,0.979010301160672,0,-0.245731164294388,0,0,-0.986664472417765,0.280826249685694,0.0375627593173942,0,0.0987385274339345,0,0.401588963571401,0,0,0,0,0,-0.122196743170891
BV010082.INDEX,-0.0846093887132341,0,0.048375350099981,0,0.0375840730077591,-0.0138089254144979,-0.0213360931332035,0,0,0.166031224914644,0.0466959789212084,-0.0406501817587018,0,0,0,0,0,0.000184052853389321
CVIX.INDEX,0.0533514297035299,0.173115598130537,0.018777151373027,0.149422413649962,0.0444197317948799,0.0130085877344495,0,-0.150300203907173,-0.10037423078511,0,-0.0632908070348557,0,0,0,0,0,0,0.029106549023251
DXY.INDEX,0,0,0.0117971340945468,-0.00312815368264906,0.00516333258162501,0.0267864383107884,0,-0.00787113093899159,0,0,0.0000000000000000000016940658945086,-0.0105773667873423,-0.00615887391650418,0.0972311761562968,0.0288861827865191,0,0,-0.00926735319540927
SPX.INDEX,0,0.00498674261005865,0.00639603808455772,-0.00830081628819318,0,-0.0152549919045545,-0.0128863897205588,0.00435408796857277,0,0.00918982989207392,0.0120016074876257,0.00306690171249438,0.000686833013089327,0,0,0,0,-0.0331056011712356
VIX.INDEX,0,0.317111805901029,0.0905062371170256,0.0406533413585028,-0.156107561877148,0.381619696686981,-0.576790606588288,-0.12113867486332,0,0,0.127984001623414,0,-0.0268990992385561,-0.278933224719075,0.2994716273601,0,-2.15138778591789,0
