,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.151258584251902,0,-0.125406434253537,0.0304042870347871,0,-0.0158191016192618,0.0682314153577711,0.0733805006163524,0.0291157255297531,0.114385225869433,0,0.265949992042281,-0.0424602578918511,0,0,0,0,0,0
ETH,0,0,0,0,0.0169525570210352,0.247233858575421,0.00476881385946188,0.130383894600025,0,0.046146000964607,0.0162308862904278,0.0817402196279911,0,0,0.128391985450278,0,0,0,0,0
XRP,0,0,0,0,0.0255737905299045,0,0.191634825149005,0,0.269378301597608,0,0.368227032191091,0.117715346681345,0,0,0.0747273288339451,0,0,0,0,0
BCH,0,0,-0.108625253566797,0,0,0,0.0264951665609003,0.100027948492479,0,0,0,0.116782296319382,0.20498496495391,0.0210982157437488,0.179800356318794,0,0,0,0,0
ADA,0,0.181493185529402,0.152237177743475,0,0,0.0588252715603106,0.121403414995186,0.0927357065143826,0.166275851829571,0,0,0,0,0.0536278540794802,0.0352635227540982,0,0,0,0,0
LTC,0.240062752703664,0.319133412597953,0,-0.101512893617534,0,0,-0.0132727751984605,0.00000000000000000173472347597681,-0.0276470942097927,0.1469598196485,0.0939864666395304,0,0,0,0.0767525430475571,0,0,0,0,0
XEM,0,0,0.0670016107053542,0,0.101978112666237,0,0,0.110245183927119,0.0760814257739543,0.169560441148134,0.0208788710914344,0,0,-0.0483688440468312,0.180715453355773,0,0,0,0,0
NEO,0,0.67405167026716,0,0,0.0156436604364564,0.0832756120832414,0,0,0.119609331462312,-0.0827629928093921,0,0,0,0.0305159880070192,-0.0971826172643527,0,0,0,0,0
XLM,0,0.0178000018128987,0.145731166864554,0,0.343241615174591,0.141395627630742,0.000000000000000000433680868994202,0.0114691298292103,0,0.0165360956916933,0.00340559935534848,0,0.263302653557557,-0.150445523978724,0,0,0,0,0,0
MIOTA,0.367354689018872,0,-0.106005356541254,-0.0243799121751899,-0.0632106125640099,0,0,0,0.273238307814222,0,0.218283974384292,0,0.382150359283941,-0.0807092410524594,0,0,0,0,0,0
EOS,0,0,0.0215774287880476,0.140922947173512,-0.0270339827462539,0.347574501767087,0.0483521243427643,0,0.208173998383231,0,0,0,0,0.0889147032458768,0.214957356091026,0,0,0,0,0
DASH,0,0,0.0323995241922874,0.0585945095715262,0,0.166688217476739,0.0163291021598392,0,0,0.0981629358246295,0.064727112101178,0,0.0463514438860418,0,0.145387342077491,0,0,0,0,0
XMR,0.17007968771776,0,-0.00439163346775057,0.0661925078364455,0,0.159434192230154,-0.0199657861895328,0.28073305099174,0.0949651575958323,0.0662478621358589,0,0,0,0.0731215791313151,0.127859179219617,0,0,0,0,0
TRX,0.379203116585853,0,0,0.0766643664312543,0.0783546994104714,0,0,-0.341728298867811,-0.0572627915203776,0,0.253561252740127,0.141315731484059,0.216434224653263,0,0.0399050432632256,0,0,0,0,0
BTG,0,0,0.0677699444645893,0.549360298245864,0,0.0911810712680479,0.0446384799620576,-0.00000000000000000346944695195361,0,0.0466209902801054,0.0460285712585647,0,0,0.0955910023998967,0,0,0,0,0,0
BV010082.INDEX,-0.0435321816402419,0,-0.0134585348441455,-0.0450819468157918,-0.00712223720101806,0.0157042130787606,0.0041332818557626,0,0,0.00948777157660442,0.00345942172248878,0.0218982232859621,0.0276247242727314,-0.00310502239067845,0,0,0,0,0,0
CVIX.INDEX,-0.0324038428303713,0,0.0342120192633968,-0.00476466674857956,-0.0130288900745878,-0.0362625086588711,0.00261313393720514,-0.0594892079502075,0.0391915560761759,0,0,0,0.00000000000000000346944695195361,-0.0159144732781302,-0.00796331666239271,0,0,0,0,0
DXY.INDEX,0,0,0,0,-0.000469663055916034,0,0.0054855309967096,0,-0.0111459574457505,0,-0.000097884693929845,-0.00426954046367245,0.0170609535894571,0.00750864185618426,-0.0142308941715094,0,-0.0123683002992265,0,0,0
SPX.INDEX,0,0.0111220071764166,0.0010393782560007,0.0000000000000000000542101086242752,0.00341359783257967,0,0.00130864880431678,0.00410219751638213,-0.00481750204077346,0,0.000466527130762891,0,0.000805810147033321,-0.000401399149042225,0,0,0,0,0,-0.0304789479799017
VIX.INDEX,0.332569399193322,0.146473363698581,0.053149219840506,-0.0831320087506218,0.0477906932307968,0.0187122261300014,-0.0326638818342813,-0.184271400373699,-0.157699866002224,0.0285423329843704,0.252264754253856,-0.0174382468580162,-0.0846404317363711,-0.143705756351726,0,0,0,0,0,0
