,BTC,XRP,ETH,XEM,LTC,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.04681329752285,-0.158224086507214,0,0.0321029516442421,0.0435130108404396,0.0144746135751531,0,0.125036667799908,0.0122024086630436,0,0.033310004768078,0.0368774342352815,0,-0.141647130138797,0,0,-0.134974253888871
XRP,-0.977089291522984,0,-0.0821661649618529,0,0,-0.820222969006467,0.141920088114076,0.553626464672905,0.505138464535276,-0.112515337534156,0.225843023259874,-0.240104447682688,0.0769123607781651,0,0,0,0,0
ETH,-0.169210612066076,0.0223686316235067,0,-0.108735698738288,0,0,0.0576318060765161,-0.0284573579611299,0.305496735125014,-0.0130866260085401,-0.0819406512314658,-0.000612449446655222,0.00915667051950609,0,0,0,0,-0.00000000000000000693889390390723
XEM,0,-0.0792093605226365,-0.0810177540656216,0,0.0430622263347398,0,0,0.172636020676292,0.294406855017571,-0.13135736655537,0,-0.0111603117632355,0.307757339203411,0,0,0,0,0
LTC,0,-0.0157192608639486,0,0,0,0,0.226561330606674,0.051101750270569,0,0.359838924306494,0,0,0,0,0,0,0,0
DASH,-0.000000000000000000433680868994202,-0.129159939923482,0.12687997409091,0.157303715778598,0.0780136016282859,0,0,0.0758894997157362,-0.273410536210519,-0.0443796571496417,0.272753963882332,0.0419504549893472,0.103939908659538,0,0,0,0,-0.186012304608521
ETC,-0.182868580706222,-0.0434889079436698,0.267053644494251,0.0906020460979272,0.133009447064787,0.0708944324654849,0,-0.00857267689169177,0,0,0.103073630252972,-0.0274091576962297,-0.0530877346346435,0,0,0,0,0.157521887383416
XLM,0,0.28250360811815,0,-0.113862435367195,0,0,0.411899077234004,0,0.417930371315726,0.225505080262024,0,0.159976814239895,0,0,0,0,0,0
XMR,0,-0.0341100588753457,0.0932636911614057,0,0,0.103446301057106,0,0.0944048544445563,0,-0.0416993271920191,0.155755456981219,-0.0197941093798969,0.0523768105359165,0,0,0,0,0
DOGE,0,0,0,0.0131526187159838,0.270942188051211,0,0,0.253201941196892,0,0,0.261843213948071,0.0101190375728304,0.122917791974896,0,0,0,0,0.463192592905669
ZEC,0,0.0310435710165014,0,0,-0.127496902066074,0.230324907600668,0,-0.0512790898601015,0,0.203963626483505,0,0.00821815003933741,0,0,0,0,0,0
DGB,0,-0.0497880576076865,0,-0.0786923322269615,-0.249990235849726,0,0,0.0992409790641507,-0.228268934338725,0,0.157270151845255,0,0.306237918796934,0,0,0,0,-0.0358047534957577
NEO,-0.252042322368093,-0.0828758489517953,0.11250282648736,-0.0409003008669275,0.0658212175517244,0,0,0.0144431935312076,0,0.0801028260184293,0.347396560211851,0.0538489336695376,0,0,0,0,0,0.0829467653726556
BV010082.INDEX,0,-0.00190569046751694,0,0,-0.0159752013463122,-0.0209602730043227,-0.0344222094813268,0.0194022486368183,0,0,0,0.00899075447540704,0,0,0,0,0,-0.0464943989201665
CVIX.INDEX,0,0.0155114600667426,-0.0361113006554306,0,0,0,0,-0.000000000000000000216840434497101,0,0,0,0.0253701273553824,0,0,0,0,0,0.0467363100516539
DXY.INDEX,0.0102088531825945,-0.00213133108013774,0.0202255736055654,-0.0103087829019738,0,-0.0162007647934114,0.0088600219308865,0.0109473051209177,0,-0.0149302638451774,0,-0.00255559209280822,-0.00310744097006162,0,-0.00442363523818865,0,0,0.0119362671803351
SPX.INDEX,0,0,0,-0.00247859684903766,0,0,0,0.00376664401429256,0,0,0,0,0,0,0,0,0,-0.0387113759474504
VIX.INDEX,-0.24448986782103,0.0363426141245073,-0.185586893861565,0,-0.0761402272498068,0.144603995597773,0.156414055369496,0.0742256988055431,-0.23596861949677,0,0,-0.204114558958978,0.201118236204919,-0.398600081618479,0,0,0,0
