,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.208424696432186,0.317788420154417,0.0235665325121002,0,0.0684100334357621,0.0284022133763448,0.0167015015175979,0.0442377283076631,0.0293855984466658,0,0,0,0,0
LTC,0.583866204440717,0,0.266731103637514,0.0753535852642147,0.177486666728199,0,0.00870875887744264,-0.186855134127458,0.0253009283024303,0.0216435730253196,0,0,0,0,-0.0891553982700487
XRP,0,-0.0539654982312414,0,-0.015280260205685,0.683155146539332,-0.0721997441441934,0.275549276127651,-0.00782821223762094,0,-0.00621665610983835,0,-0.369470171797836,0,0,0
ETH,0.950201208376225,-0.811923223126111,0.644675264313044,0,-0.0514791697217207,0.768046273158575,0,-0.345849931050165,-0.247791710861246,-0.0425959178232988,0,0,0,0,-0.275173241517296
DOGE,0.268280362103855,0.151046128748178,0,0.0146593523102285,0,0.16215254376663,0,0,0.0996410462476378,0.0193255214905563,0,0,0,0,0
DASH,0,0.472303392399921,0,0,0.166737412821557,0,-0.302791458535346,0,0.0502109658617921,0.0146021654226877,0,0,0,0,-0.0239297989777688
XLM,0,0.0740426904522951,-0.258388634118837,0.105303179567151,0,0,0,0.229657083530725,0.128275231149131,0,0,0,0,0,-0.224577813935029
XMR,0.0204796361956776,0,0,0,0.506621510442961,0.113866289987659,0.127724125303017,0,-0.0249045870727092,0,0,-0.613660511125804,0,0,-0.152669736059988
XEM,0,0,0.0713009311858683,0,0.809393976989238,0,0.844728793650235,0,0,0.116740637149347,0,0,0,0,0.291721072209373
DGB,0,-1.08067938305137,0.737301450908289,-0.0383089935759402,1.01133717523504,-0.187537304892593,1.01191023375799,0.508366146927528,0.401972660064922,0,-1.60547631856418,0.286643427428938,0,0,0
BV010082.INDEX,0,0,0.0557545331858594,-0.0125249623021981,0,0.0378644312003174,0,0.0531464836288551,0.00919234984121813,-0.020312345957095,0,0,0,0,0.00940436932279106
CVIX.INDEX,0,0.0715541767363378,0,0.0478733616045735,-0.0781054293389563,0,-0.237888443152715,-0.135706097786612,0.0930122548542296,0.0206341841423956,0,0,2.43666823521146,0,0
DXY.INDEX,0,0.00841078846099334,-0.0316192654482926,0.00503106285368829,0,0,0,0.0213690170487687,0,-0.0142074677717217,0.10683666932808,0.0120624839531597,0,0,-0.0184091845914308
SPX.INDEX,0,0,0,0,0,0.00816351600496594,0,0,0,0.00360530240304277,0,0,0,0,-0.0758177326386013
VIX.INDEX,-0.0140852925452735,0,-0.183773670567866,0.0675419307492328,0,0,0,-0.187988910585991,0.087657642080561,0.126410405445975,0,-0.499462405407732,0,-3.88926072415593,0
