,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0216226514891678,0,0.27978346986813,0.0203566933482673,0.00894790822307939,0,0,0.0853984594967461,0.101075295058779,0,0.0336134063299468,0,0,0.0983878995097154,0,0,0,0,0
ETH,0,0,0.0703147347129239,0,0.152893039390567,-0.0230338251484031,0,0,0.0988438468526581,0.196644728757047,0.0000000000000000138777878078145,0.214645800046646,0,0.127424638488244,0,0,0,0,0,0
XRP,0,0,0,0,0.149834076797653,0,0.127037878755249,0,0.00348083999127711,0.0503341417986752,0.222032765148307,0.0989644370223654,0,0.026892158533022,0,0,0,0,0,0
BCH,0,0.0672067035308347,0,0,0,0,0.125134135409933,0.141956612409596,0.249725921987811,0.223292399510864,0,0.104554003271921,0,0,0,0,0,0,0,-0.00399368723855876
EOS,0,0,0,0.183193875544655,0,0.0159259814897309,0,0.232320786248687,0,0.134596475803349,0.0392451184317054,0.145230352498837,0,0.043885152080345,0.339077943083176,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.148386646512765,0.239014195562654,0.183991347341026,0.110529050367729,0.00000000000000000173472347597681,0,0,0.241719865414022,0,0,0,0,0
LTC,0.153496088811408,0,0.145502084449739,0.303119591749004,0,0,0,0,0,0,0.0853893418813142,0.172269507274306,0,0,0.100400122036959,0,0,0,0,0
ADA,0,0,0,0.192113234030891,0,0.289534472719482,0,0,0,0.198517196477155,0.00000000000000000173472347597681,0.0370238239480085,0.146130820186935,0,0,0,0,0,0,-0.0544490730547318
XMR,0,0,0,0.249896636400199,0.0220670211375869,0,0,0.125913911125309,0,0,0,0.0972321749024759,0,0.152940397710752,0.222544630465908,0,0,0,0,0
TRX,0,0.137817813240849,0,0,0.371977625166466,0,0,0.130029377975847,0,0,0,0,0.282568752019604,0,0,0,0,0,0,-0.00119727848571307
MIOTA,0,0,0.380511852532038,0.112502095713881,0,0,0.126360786906561,-0.121261513215666,0,0.209124849915722,0,-0.0938259716822105,0,0.612121699180421,0,0,0,0,0,0.00169272497647198
ETC,0.0974077314123488,0.196963229092836,0,0.0771457590539364,0,0,0.0882536705760181,0,0,0,0.399431148444999,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.201770105701646,0.103662929720335,0,0.015790777848538,0.135394557395978,0,0.292840490374876,0,0,0,0,0,0
NEO,0,0.0568522047764514,0,0,0.00044311297623415,0,0,0,0,0.265424200786655,0.475230782970386,0,0.0932783403765427,0,0.207543670910416,0,0,0,0,0.107715628137292
XEM,0,0.302251927895882,0,0,0,0.33140330109175,0,0.151255384089661,0,0,0,0.184119284898663,0,0.149844452744879,0,0,-0.0184184909247637,0,0,0.106615887385115
BV010082.INDEX,0,0,0,0,0,0.021635283879652,0,0,0.0223995272837801,0,0.00582028382259836,0,0,0,0.01078539192839,0,-0.0554035810878861,0,0,-0.0291336091139999
CVIX.INDEX,0,0,0,0,0,0.070990892448202,0,0,0.173439867700837,0.0769273607464814,-0.171699408511318,0.0633837764171558,-0.31326422909032,0.21703735030255,-0.0346267528726764,-0.582901931210531,0,0,0,0.0808454396063221
DXY.INDEX,0,0,0,0,0,0.0102090481676393,0,-0.0177989567778082,0.0185459885186314,0,-0.0177358607673952,0.0171121982658763,0,0,0,0,0.0905140453497438,0,0,-0.000923670176773151
SPX.INDEX,0,0,0,0,0,0,0,0.00815490360989018,0,0,-0.0145618476562509,0,0,0,0,0,0,0,0,-0.0601423884163536
VIX.INDEX,0.482508723151674,0,-0.494486089441299,0,0,-0.119362645219494,0,-0.0762838893803564,-0.000500329420276141,0,-0.117691656877951,0.195877769268554,0,0,0.151244082264949,0,0.274828233692821,0,-6.40609138648554,0
