,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,XEM,XMR,NEO,ETC,ZEC,EOS,XLM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00598000432894812,-0.0168536373395865,0,0.133784803144504,0,0.0376510544573999,0,0.0573746969315934,0.0142975196733609,0.151379574914623,0,0.0607760167394362,-0.127856587994662,0.0875522490708174,0,0,0,0,0
ETH,0,0,0,0.180525339760383,0.0349344185969702,0,0.0164879279421084,0.0837413368280378,0,0,0.228280260268848,0.23705085576957,0.0546553541335183,0,0.0469418839860602,0,0,0,0,0
BCH,0.308163822393361,0,0,0,0,0,-0.453213667790065,0.98072610534562,0.24082826834214,-0.1876142683445,0,0.471010963200129,0.0357302457265366,-0.922958223013598,0.222321445824019,0,0,0,0,-0.254931254769266
XRP,0,0.270771923396288,0.0138862273744501,0,0.00679310730586529,0,0,0.101587596690176,0.0684905853345025,0,0.116992920611262,0,0.027227676174217,0.12281438985504,0.0453940538796097,0,0,0,0,0
DASH,0,0.0483131216579684,0.00736524087460606,0,0,0,0,0.130399725603948,0,0.0967515625696682,0.0582162016373849,0.187031421820617,0.058943828269305,0,0,0,0,0,0,0
LTC,0,0,0,0.11172084336223,0,0,0.0924556282345345,0,0,0,0.0739919376359539,0,0.106570957943102,0,0.0233812555487583,0,0,0,0,0
MIOTA,0.145896288066481,0,-0.0786848272027649,0,0,0,0,0.164374640270959,0,0.0447942754397931,0,0.535857956355311,0.0102815951329995,0.13734049699182,0,0,0,0,0,-0.0560667184957093
XEM,0.0372712790508038,0.0325643766392768,0.136482820609928,0,0,0,0.0540377032323489,0,0,0.218144974765177,0,0,0.119831215651219,0.205622438289992,-0.0871017168278595,0,0,0,0,0.129325715983418
XMR,0,0.0296622409716607,0.0426154224195516,0.170323548606009,0.219386372930954,0,0,0,0,0.0362381518007619,0.022758960938662,0.104652172239337,0.0484145352884144,0.151662442626167,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.14419107488485,0.308024044867618,0.0082111448261067,0,0,0.0237816171775751,0.0537219776495484,0.15790105334711,-0.0269315325403248,0,0,0,0,-0.0634409002736285
ETC,0,0.305318009357032,0.00773732992270969,0,0,0.252868447824722,0.0377969599120622,0,0.095068532085922,-0.00000000000000000346944695195361,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.189261504299087,0,0,0,0,0.17056320835195,0,0.0640350586030323,-0.000707410227883038,0,0,0.0460547206261623,0.135962681564903,-0.000000000000000000216840434497101,0,0,0,0,0.0121060756980533
EOS,0,0.0880202844438025,0,0,0,-0.239694319519391,0,0.000707230301859402,0,0.131980619968519,0.413048529376344,0.36613982197263,0,0.179043970900036,0.0846700860668902,0,0,0,0,0.0671936088164522
XLM,0,0.209967035017158,0,0.0868172663376578,0,0,0.137500132986516,0.112767901622277,0.356973235287115,0,0,0.090510111847132,0.0884007969861395,0,-0.00504699807524547,0,0,0,0,0
BNB,-0.126206835140751,0,-0.0880566076732197,0.305519984510739,-0.495388433684159,0.30446792167152,0.178987245486091,0,0,0.0513138296957787,0.0412886886081534,0,0.0519865614997192,-0.14487275772261,0,0,0,0,0,0.458514505693795
BV010082.INDEX,0,0,-0.00454768292502879,0,0,0.0752157682369264,0,0,0.0293287300125921,0.000333032639407603,0,0.00539353026774734,0,-0.0430520310066249,-0.0526003224927475,0,0,0,0,0.00516700766593956
CVIX.INDEX,0,0,0.0100775717788962,0.0342230468374978,0,0,0.0334158617233796,0,0.0641275763673192,0.0248933712753721,0,-0.090152879594949,0.0203322392231081,-0.0712821009253744,0,0,0,0,0,0.0690344175664765
DXY.INDEX,0,0,0,0,0,0,0.00436643076528863,0,0,0,0,0,0.00365044427495643,-0.00306146637373676,0.00497689528115179,0,0,0,0,0
SPX.INDEX,0,0,0,0,-0.0132300846985534,0,0.00110521053506432,0,-0.00340895304452833,0,0,0,0.0022612366657457,0,0.00119356874918429,0,0,0,0,-0.0517663182436236
VIX.INDEX,0,0.079359829743758,-0.0272272451566174,0,-0.169250271964696,-0.266113725609584,0,0.251551532520773,0.0378041352194732,-0.128515720682141,0,0,0.0622010513495052,0,0.159509994888254,0,0,0,0,0
