,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0794178772319845,-0.029817655475065,0.0521009752567086,0.0306848373262526,0,0,0.0584212954694421,0,0,0,0.0257814099151099,0.0555896308471017,0,0,0,0,0
ETH,0,0,0.00897152778187055,-0.0882648419787669,0,0.0960372661361194,0.0343272442804307,0.149168763255458,0,0,-0.0628924320997517,0,0,0,0,0,0,-0.0573407933182411
XRP,-0.731769223968616,0,0,0,0,0,-0.485134103305777,0.248888186159734,0.52220823982512,0,0,-0.209551623583447,0.144572642796148,0,0,0,0,0
XEM,0,-0.142656679412828,-0.117215615977574,0,-0.0593868945219616,0,-0.174808328719044,0.0402044813985319,0.109697115932752,0,0.280975326132223,-0.0328722878209542,0.0697371375390727,0,0,0,0,-0.327318137131961
LTC,0.431260642479931,-0.0494410846810251,0.00258501702558395,0,0,0,0.298463068074054,0.000000000000000000867361737988404,0.0486120997179811,0.124545552610635,-0.0971140869083372,0,0.0993397937332852,0,0,0,0,0
ETC,-0.169691733805116,0.201231723864964,-0.0278698228671456,0.0458155362860606,0.170817952956377,0,0.133679454968195,0,-0.0208080451708685,0,0.110966918900132,-0.00671764239232787,-0.0240235766123559,0,0,0,0,0.100466708443786
DASH,0,0.146586142680396,-0.11305563820701,0,0.0262366734957396,0,0,0,0.0263872538774732,-0.0416001307831769,0.389303239412447,0.028550580713424,0.0337180712234894,0,0,0,0,0
XMR,0.261557677503376,0.433385087287973,-0.0595789777885523,0.082010221500287,0.0590876264988467,-0.272029536930135,-0.120104822018911,0,0.161702296839864,-0.202378685728023,0.217646416855926,0,-0.0281841858098283,-1.20886141104745,0,0,0,0
XLM,-0.00941532396839333,0,0.346962631920054,0,0,0.2526453475437,0,0.290706685673785,0,0.117985715272182,-0.152996090031434,0.130675371793453,-0.0000000000000000138777878078145,0,0,0,0,0
DOGE,0,0,0,0.00899804998786981,0.272984944582468,0,0,0.0227620118761033,0.251215255576373,0,0.254202549993734,0.0112297534698747,0.125943839325243,0,0,0,0,0.46287790493372
ZEC,0,0,0,0,-0.157729700447277,0.0412435718624996,0.264221155521772,0,-0.0328886229981074,0.190907649574702,0,0.0243414505384812,0.0147902932441041,0,0,0,0,0
DGB,-0.271523489260427,0.10960700861635,-0.00255549859810521,-0.0207333296891553,-0.416133985859685,-0.319126271031156,0,0,0,0.347113154335603,-0.262986194288011,0,0.19211571690603,0,0,0,0,-0.0875394779372015
NEO,-0.452762675896981,0,-0.0347030278546954,-0.106651945388316,0.0497606211602653,-0.168852055899595,-0.381961656409841,0.323029207452816,-0.0054831998947308,0.0854378814346572,0.420736506386719,0.0400329600758152,0,0,0,0,0,0.148963080318136
BV010082.INDEX,0,0,0,0,-0.027496545375533,0,0,0,0.0189327543576552,0,0,0.0110485099846854,0,0,0,0,0,-0.0412953360411047
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0197605144279406,0,0,0,0,0,0
DXY.INDEX,0,0.0016313500822202,0.0000000000000000000271050543121376,-0.0151606916694611,0,0.0219535011444092,0,0,0.00593557068181706,-0.00299436152193537,0,-0.00199180828940333,-0.0103199285430674,0,-0.00449596199829852,0,0,0.0103198627631038
SPX.INDEX,0,0.00126793664753821,0,-0.0033691701652169,0,0,0,0,0.00327829453740437,0,-0.00483402099287758,0.00228041993799605,0,0,0,0,0,-0.0366441473651556
VIX.INDEX,0,-0.0409643437132502,0.0314243689927389,-0.103621846315451,-0.0935631486096154,0.0817115711074844,0.140937910536784,-0.0371064199215336,0.0616382652331028,0.0525935742910554,0,-0.223300432165778,0,-1.5575071618794,0,0,0,0
