,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0191568761476215,0.126177118002294,0,0.104944267717611,0.109424332434528,0.081199496061108,0.0348780256327072,-0.0220159046355045,0,0,0,0,-0.0279579894168014
XRP,0.301574974775875,0,0.207343643343149,0,0.121691598895771,0.18106220018811,-0.132166732821079,-0.123598901203512,0,0,0.184245865813929,0,0,0
LTC,0.754308815398969,0.166075845730777,0,-0.0657176555060282,0.122512828788726,-0.0764434410603929,0,0.0388918047401107,-0.0421984750687983,-0.105403101570386,-0.0884044098645766,0,0,0.117064259803565
XLM,0.89675988077054,0.432022366840161,0,0,0,-0.183240799244865,-0.43347084824913,-0.0539226062741388,-0.00978340122439209,0.388226362190704,-0.0692858243041511,1.13373811467696,0,-0.370672135453544
DOGE,0.210956455521655,-0.0200365253517251,0.216249266284986,0.335017099982856,0,0,0.144973255681474,0.222442771100916,0.0951323470011233,0,0.53233427916637,0,0,0.0617975949856841
DASH,0.862374338681936,0.00100653317891027,0.206958363333257,0.388436264458768,-0.126936432228496,0,-0.392770385772951,0,-0.0987761274620064,0.885479303971095,0.271989202741843,0.0936999450721767,0,-0.000000000000000000433680868994202
XMR,1.14139614256264,-0.0000000000000000277555756156289,0.263794920259128,0.131804625777589,0.0248189422786129,-0.708700719802421,0,-0.0362970259953197,0,1.95700837014326,0.00474358590878664,0,0,-0.351067282582058
XEM,0,0,0.178951661412532,0,0.946191462990547,0.483010331885522,-0.459784935626632,0,0,0,-0.635902485895266,0,0,-0.414011222006834
DGB,0,0.152216511817114,0.199405739331159,-0.0336658016007125,0.334055440018651,0.185903411040904,0.302527128084567,0,0,1.00176706095566,0,0,0,-0.00000000000000000173472347597681
BV010082.INDEX,0,-0.0188117690512162,0,0.0547072163254642,-0.0265660039346295,0.0297929185472751,-0.00210082259937712,-0.026640811827812,0.0297693475269623,0,0.103354300567441,0,0,0.0399671372338439
CVIX.INDEX,0,-0.0259557282888449,-0.17367872501906,0.0947138407004979,0.0568146510204958,0,0,0,0.0974133270873032,0,0,0.0768107587792697,0,0.0965119540696782
DXY.INDEX,0,0,-0.0280366936461541,0.0202974767135396,0.0129894414036636,0.0292724677782697,-0.00302614374506035,-0.0228045576485893,-0.017178554784811,0.188468538497541,0.0702747959287027,0,0,-0.00205199497941292
SPX.INDEX,0,0,-0.0116706449991717,0.0175271150706207,0.0104001073455419,-0.00434091890530721,-0.0116586405557293,-0.00452791886823647,0,0,0.0111462731500033,0,0,-0.0936096932029468
VIX.INDEX,0,0,-0.101883299019157,0,0.137478631586643,-0.0366059352599866,-0.283756973284424,0,-0.034939923816536,0,0.0661661194503508,0,-4.62984413955545,0
