,BTC,ETH,XRP,BCH,LTC,NEO,XEM,MIOTA,DASH,ETC,XMR,EOS,ZEC,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.152687765562001,0.255889320788049,0,0.135349631208005,0,0.16762190986753,0,0.0657920571003574,0.0326514688980047,0,0,-0.0152041920438437,0,0,0,0,0.0308147123876114
ETH,0,0,0.111297145539359,0,0,0,0,0.081679359260965,0.0127667929386212,0.196779183858153,0.0937830921831984,0.0361627135079818,0.0241044165424469,0.203767623541841,0,0,0,0,0,0
XRP,0.120224989716634,0.19966597051157,0,0,0,0,0.0955317174299384,0.0436809002348138,0,0.136796767600505,0.114423633369081,0.0217305641070293,0,0,0.143875193772418,0,0,0,0,0
BCH,0,0,0.728814231858472,0,-0.359856279792431,0.024779167504911,0.707182681405544,-0.406687905555922,0,0,0.665051734583356,0.0611509213498224,0.504633383203135,-0.136670900703972,-1.29704199472638,0,0,0,0,-0.313570092533882
LTC,0.118592704737718,0,0,0,0,0.0562519649712504,0,0.0481647765052322,0,0.193016996318741,0,0,0.0657714028922603,0,0.0782966855056681,0,0,0,0,0
NEO,0,0.0466474655864075,-0.439231376093735,0,0.012463884545212,0,0.0927244321867317,0.0869978311114172,0.538142733096966,0,0,0.0583569448181706,0.229951159869641,0.162471436705656,0,0,0,0,0,-0.182361468296617
XEM,0,0.0580200661252385,0.24867273943871,0,0,0.0329732807765466,0,0,0,0,0.119049654325886,0.121770545135214,-0.0932424527759184,0.0288552545326021,0.212615768451307,0,0,0,0,0
MIOTA,0.442092694362621,0,0.735435530896613,0,0,0.0143323373792796,0,0,0.223859063129056,0,0,-0.00938654542880827,0,-0.179648326878469,0.489181990199211,0,0,0,0,0
DASH,0.0829445333306991,0.107202416401193,0,0,0,0.058583838855729,0.131643090155986,0,0,0.144097168363713,0.297027535309412,0.0211021870314263,0,0,0,0,0,0,0,0.12354717692118
ETC,0,0.112693414439447,0,0,0.0847187920710134,0.0224133305287791,0,0.0366054261228324,0,0,0.136187156904109,0,0,0.117985822516835,0,0,0,0,0,0
XMR,0.250635553726569,0,0,0.0158275708146799,0.0403246904921273,-0.0169537003338291,0.0758120678571774,0.0365742841970427,0.364423923417365,0,0,0.0275769002517868,0,0,0.207403626079711,0,0,0,0,0
EOS,0,0.366952961463268,0,0,-0.2373956086903,0.0835269697650623,0,0,0,0.357959825732682,0,0,0.381698358295206,0,0.0645744873225977,0,0,0,0,0
ZEC,0,0.123235677291032,0,0.0120027794236497,0,0.00163828833044337,0,0.196583446107695,0,0.0968592914762423,0,0.0466930294561132,0,0,0.169517651083305,0,0,0,0,0
BAT,0,0.613362360904776,0,-0.0025760237648573,0,-0.0169439403280177,0.24231480708981,0,0,-0.391452214083893,0.192897731602851,-0.0597542540548895,0,0,0.319518830636732,0,0,0,0,0
XLM,-0.232847571153883,0,0.107577931663525,-0.0372760748106285,0.120335195905279,0.0303809051479868,0.173542660915053,0.0415601158742978,0,0,0.451011655188185,0.065147342238009,0.299860252174648,0.101706943271119,0,0,0,0,0,0
BV010082.INDEX,-0.0667103192941361,0,0,0.00631066358344885,0.0145710376090416,-0.011643324207813,0,0.0129509696337947,0,-0.0132734930489574,0,0.00898329225981793,0.0224480495160078,0.00468242637258273,-0.0105273304848534,0,0,0,0,0.0146446329760224
CVIX.INDEX,0,0.0179612138967483,0,0,-0.00936368062342851,0.01209713437188,0.006110320661383,0.0382872362196474,0,0.0141525463912541,0,0.0194012265660012,-0.107634232829488,0,-0.0383755364672388,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0.00423599706167066,0,0,0,0.00326856930993721,0,0,-0.00274386284494283,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.0008473594699106,0,0,0,-0.00296092217052911,0,0,0,0,0,0,0,0,0,-0.0550360229508879
VIX.INDEX,0.0579510309113185,0.0523152009493675,0,0,0,-0.0720369497076846,0.0176696448456391,-0.00000000000000000173472347597681,0,0.179503827710787,0,0.0659638338790647,-0.179284987022314,0.227834034267593,-0.22409791246891,0,0,0,0,0
