,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0723522465810517,0.344641414330317,0.166824521819483,-0.00463754327971045,0.258712674859194,0.0464531623943083,0,0,0,0.0333540270247221,0.0797454627732806,0,0,0,0,0
ETH,-0.280499093830357,0,0.593656909825221,0,0.225642062393771,-0.0688228232113368,0.255092880997504,0,0.029710488018675,0,0.0282257902491778,0.168662070508874,0.0895511168115778,0,0,0,0,-0.143727609219424
XRP,0.143108991220922,0.0204356719641847,0,0,0.0115123423424236,0,0.0548718879086646,0.0757720763347516,0,0,0.0522090234046928,0,0,0,0,0,0,0.0293484266905937
LTC,0.513671008195636,0,0,0,0,0.00164088469612442,0,0.120897550099749,0.150409011945632,0,0.108285926547079,0.0555889457747705,0.0635229668962464,0,0,0,0,0.0585047886545902
XMR,0.405930413252496,0.202540376026162,-0.223190342644363,0.234167909035915,0,0,0,0,0.0864748953038099,0,-0.0615156092322099,0.0149337084326785,-0.137436104592372,0,0,0,0,0
ETC,0.0623996642979662,-0.00000000000000000346944695195361,0,0,0.24365845798231,0,0.387697162527021,0,0.0661585120442561,0,0,0.19683714819645,0.101847170915425,0,0,0,0,0.00886069892421559
DASH,0.519795075540308,0,0,0,0.191287990835495,0.322800358019265,0,0.100266755046565,0,0,0.121340500119631,-0.0117551854518056,-0.06804948237568,0,0,0,0,0.0160108541838875
XEM,-0.164643526140752,0,0.103807102568876,0.185161619648592,-0.10473934201721,0.122550575723895,0.293152123265814,0,0.153747295232465,-0.13852006673936,0.00206323097142847,-0.0191989254798473,-0.0258919383247632,0,0,0,0,0
ZEC,0,0.208306163216172,0,0.338926885815877,0,0,0.152716216672325,0,0,0,0.0125524500233643,0.18935694681918,0.332045271475718,0,0,0,0,0
DOGE,0.466583667302204,-0.0215572741917561,0,0,-0.059605135556849,0.00413495708588101,0,0,0,0,0,0.0850789503382096,0,0,0,0,0,-0.0573658786446847
XLM,-0.195319900577212,0.202447283357441,0,0,0.0763281780064813,0,0.154069620379666,0.107294634236654,0.153450774733411,0,0,0.123749385238189,0.116103170663911,-0.46474616732342,0,0,0,0
NEO,0.359014114465045,0,0.694373075201563,-0.287164015056097,0.202285983220126,-0.0139510729210262,-0.0615258558129991,0.195863921984584,-0.0968256766817144,0,0,0,0,-0.334810878764783,0,0,0,0
DGB,1.23677070468372,-0.0736003181006352,0,-0.98927686079337,-0.219480643433724,0.155650505510786,0.0136487100442716,0.21772286332908,0,0,0.0782190046869725,0.223485758818972,0,0,0.0997701845457933,0,0,0.0508509490694826
BV010082.INDEX,0,-0.0947035971501873,0.00887525800459489,0.014221850798892,0.087406740402984,-0.00266226885359785,0,0,-0.0508230738899353,0.149024887622452,0.0373815841156786,0.00102864111230366,0,0,-0.0825195167060077,0,0,0.0233049345339461
CVIX.INDEX,0,0.105414719453575,0,0.0615654783228957,0.0517278795643918,0.0596462698915037,0,-0.0758200104071047,-0.0336268031313964,0,-0.0520071561989279,0.00152937805081622,-0.0285692875838962,0,0,0,0,0.0667712175284086
DXY.INDEX,0,0,-0.00474462181096527,0.0153800103548813,0.0121466351593471,0,0.0137381679983619,0,0.00364626109745296,0,-0.00678572808755242,-0.000775000459900199,-0.00552479562363752,0.055076506754208,0.0430269016848702,0,0,-0.0146642184011169
SPX.INDEX,0,0,-0.00288158024511407,0,0,-0.0149709203347514,0.00818163872703712,0.0187605570346272,0.000112402454088995,0,-0.00339951619020373,0.017651239857759,0.012958302205016,0,0,0,0,-0.0542993973047117
VIX.INDEX,0,-0.540010044783914,0.705325341715366,0,0.172729608302021,-0.103761742487765,0.148591368384384,-0.157637539154823,-0.0114745522641887,0,-0.0641440849399404,0.120800736325577,0.154296928533317,0,0.151240510701984,0,-2.99098981209254,0
