,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0337486773462335,0,0.329313543167751,0.195856135599325,0.197238007193169,0,0.123099110004374,0,0,0,0.0122458126074005,0.0842411771811725,0,0,0,0,0
ETH,0,0,0,0,0.125983029927521,0.257594019829412,0.0104024841971076,0,0,-0.00868474800803147,0,0.253741378357116,0,0,0,0,0,0
XRP,0,0.0937949033155449,0,-0.0777385382854529,0,0,0,0.0603423995759757,0.516608121621283,0.0765625890426465,0,0,0.0238869832221174,0.0216282018150984,0,0,0,0.0891934134799508
LTC,0.716681460134077,0,0,0,0,-0.0571546714507971,0,0.0166778053846283,0,0.0621572979841325,0.121904930308271,0.128236627218639,0,0,0,0,0,0
XMR,0.495744327207834,0.274752525435777,-0.305825198269894,0.225033740302415,0,0.15509468046665,-0.145994375064391,-0.167516478503819,0.0580650003602994,0,0.146893654409569,0,-0.10916515880167,0,0,0,0,-0.113531016096623
DASH,0.59613385773971,0.17095288831276,0,0,0.190441455310297,0,0.275598871653865,0.0738615073503225,0,0,0.230483419458989,0,-0.0472554455553402,0,0,0,0,0.0789990443260838
ETC,0.453371763562653,0.306404922863722,0,0,-0.123374208500453,0.132380599943487,0,0,0,0.0991181451897907,0.180814838829935,0.113944704018915,0.0627164962528541,0,0,0,0,0
XEM,0,0,-0.0373280977609145,0,-0.0202344640890258,0.040055464636587,0.065960766592979,0,-0.0819631519550949,0.262070291283068,0,0.318228022184621,-0.231858596767641,0,-0.312429109654007,0,0,0
DOGE,0,0,0,0.162585173218666,0,0,0.0994145867802873,0,0,0.0222847840279406,0.172017897637475,0,0.0164997331915893,0,0,0,0,0
ZEC,0.368655135493767,0.129424706842762,0,0.325991577637652,0,0.00874384905731663,0.0118817329978479,0,0,0,0,-0.233124542875111,0.0921509265091973,0,0,0,0,0
XLM,0,0,0,0.0661388495328106,0,0,0.236465894887906,0.0215967698488836,0.0538846791925753,0,0,0.164865321017599,0,0,0,0,0,0
NEO,0.111746227388477,-0.0910330735725345,0.638017195975198,-0.176545968021469,0.282731860394041,-0.381630737441829,0.104449459732401,0.163803782172151,0,-0.363951739254669,0.753898465195385,0,0.114336992010639,0,0,0,0,-0.283184790300621
DGB,1.25193765694434,0,-0.0784951340511199,-0.774583112706486,-0.463596677362348,0.240275249417443,0.00000000000000000173472347597681,0.0194622563296732,0,-0.0348937678916407,0.214361296923845,0.27375712662987,0,0,-1.07407603706836,0,0,0.186231517038956
BV010082.INDEX,-0.0530865351822173,0,0,0,0.0827826555045386,0,-0.0438308454980775,0.000000000000000000216840434497101,0.173301989911525,0,0,-0.0054753231562273,-0.0019418260680313,0,0,0,0,0.00632125995421097
CVIX.INDEX,0.0567312548548783,0.157540832271359,0,0.147977305871899,0.0235010227476877,-0.0852905324100814,0.0665451244898209,-0.102876434302547,0,-0.0718828472990758,-0.0939366862394585,0,-0.0320065477405753,0,0,0,0,0.0832472202037691
DXY.INDEX,0,0.0074252261995403,-0.0309178777475435,0.0158930419097738,0,0.00725360605533338,0.00172454231059244,-0.00770426663460466,0,0.00409188855706611,0,-0.00315331358871188,-0.0108083614438715,0.160112730671054,0.0226026841854683,0,0,-0.0112530531550096
SPX.INDEX,0,0,-0.00630431070994403,0,0,0,-0.00605177207826855,0.00490029957810847,0,-0.0061155939564364,0,0.00565486847751525,0.00104618771670723,0.0370630576985356,0,0,0,-0.0532138672607779
VIX.INDEX,0,0,0.458083278114833,0.153987453105568,0.202521827200399,0.0143303326528464,-0.483038973275016,-0.302213787254278,0.0000000000000000138777878078145,0,0,0.167217657734189,0,0,0.155994770749196,0,0,0
