,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.173706666111764,0,0,0.102912713360022,0,0.0997963020573273,0,0,0,0.015345587612262,0.00135061047957669,0.0568153930178597,0,0,0,0,0
ETH,0,0,0,0,0,0.183847786948932,0.130723835661723,0,0,0,0.0420766977239305,-0.00000000000000000010842021724855,0.134487796339424,-0.011130631770715,0.0318143578103176,0,0,0,0,0.0842024902105136
XRP,0,-0.213910138136843,0,0,-0.00000000000000000173472347597681,-0.247841511607073,0.412003888395816,0,0.151839379661112,0,0.0464657757419128,-0.0333071032750548,0,0.319295118747027,-0.0413509808167259,0,0,0,0,0
LTC,0.538023991294236,-0.0563738833803409,-0.108835794277358,0,0.0406664611227895,0,0,0,0.11896797717518,0.114718749584756,-0.0903051460855586,0.16805758833554,0.0883008293327963,-0.0670193831313873,0.0238033070571988,0,0,0,0,0.0789848097784878
XEM,0,0,0.173231929002322,0.0823305061689848,0,0.0304374203771764,0.199873037439883,0,0.0311147164678835,0,0,0.044969890236878,0.246763899534544,0,-0.0307929574516017,0,0,0,0,0
ETC,0,0.22991312521502,-0.0730784309278921,0.167724945528174,0.0150979681699047,0,0.056289027843606,0,0.109370166013152,0,0.0201883021930251,0.0435844442097209,0,0.0238854133310946,-0.0411607984977343,0,0,0,0,0
DASH,0,0.0688905859154788,0.01248244724758,0.022835908532619,0.00544790889375167,0,0,0,0.358241733708405,0,0,0.0906983238824476,0.00000000000000000173472347597681,0.0687525647657329,0,0,0,0,0,0
MIOTA,0,0.0758217612118473,0,0,0.0657812823409028,0,0.203090820168011,0,0,0,0,0,0,0.0282619599049853,0.0572581129779407,0,0,0,0,0
XMR,0,0,-0.0137249814865425,0.282546294135871,0,-0.190858642045396,0.660398851255118,0,0,0.0257584739249397,0.0478730045519202,-0.161709966357213,0,0.0473919633724232,0.0188832792932921,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.122544763067577,0,0,0,0,0,0,0,0,0,0.0567856525482928,0.207865921275499,0,0.0121454852134409,0,0,0,0,0
NEO,0,0,0,0.422327303909901,0,0.341902597881748,0.219118015340824,0,0,0,0,0,0,0,0.136767386421239,0,0,0,0,0
DOGE,0.290087177383525,0,0,0.0560307445835229,0.328929723876806,0.149389541754983,0,0,-0.0429796996139197,-0.0484604836670455,0.318213469446838,0.0220585388196394,0,0.150857319303693,0.0374613688817722,0,0,0,0,0
XLM,-0.052832160028715,0,0.510282426176435,-0.448815435948248,0,0,0.268098543998564,0,0.626155035075373,0.133411639169738,-0.286550453066218,0.000896413903105563,0.149440733038185,0,0.0802064903260733,0,0,0,0,0.0806763385259685
DGB,0,0,0,0,-0.315497094682265,-0.0726115529253828,0,0.170837182261178,0.506570414380966,0.213351779197276,-0.268970989107308,0.122782051554738,0.604125513745946,-0.0427633136931301,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0128992860078823,-0.021427181490984,-0.0313360765761987,0,0,0,0,0,0.0241669512033351,0.0041886563538556,0.00613829055282737,0.0172879106121251,0.00514756600109656,0,0,0,0,-0.00606339613679208
CVIX.INDEX,0,-0.129762466193321,0,-0.0555960438848567,0.0350403831496856,0.0364799353553054,0,0,0.0473693576033784,0.029383124055104,0,0.0315921379622042,0.0880910062724228,-0.0102341297208259,-0.0200296788748395,0,0,0,0,0.0827311827281115
DXY.INDEX,0,0.00646220187128206,0,0,0,0.00731988620731054,0,0,0,0,0.00510623490139694,-0.00264275716119771,-0.0170939942988001,0.00373618524197161,-0.000976437257445937,0,0,0,0,-0.00331612197468561
SPX.INDEX,0,0,0.000715341591605726,-0.00228361206670615,0,0.00511640518562116,0,0,-0.00419862696005518,0.00177076820834412,0.00489479330256659,-0.00197245045403748,-0.000890722494455895,0.00347585919333032,0,0,0,0,0,-0.0468574690240064
VIX.INDEX,0,0,0.135865026924523,0.000000000000000000867361737988404,-0.00000000000000000010842021724855,0.0180435600084573,0.276833153299824,-0.0351063288657449,-0.183681267770362,0.0406845000856958,0,-0.0647213945498976,0,0,-0.00927637682471864,0,0,0,0,0
