,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,LINK,XMR,XLM,TRX,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0263732399182318,0,0.0230006499018676,0,0.142244264677372,0.0103089198593909,0,0.0489065246527174,0.0322657712516068,0.0341981985089109,0,0,0.0333354373080196,0,0,0,0,0,0
ETH,0,0,0.265376096633043,0.00369624743129379,0.00405687730101776,0.0595982153225227,0.0707163513011912,0.0677720028426946,0,0.19398306570848,0.109634787000036,0,0,0,0,0,0,0,0,0
XRP,0,0.150250197040267,0,0.162807355776014,0.0138829958500225,0.0626058192631609,0,0,0,0,0,0.027710311371838,0.114353950202164,0.131117149300993,0,0,0,0,0,0
BCH,0,0,0,0,0.24098575819531,0.226174741837757,0,0.0112994598787807,0,0,0,0.161059650475109,0.24118426076506,0.0408930309963553,0,0,0,0,0,0
BSV,0,0,0.904907391954478,1.03943976329747,0,0,0.971426239761833,0,-0.17280244895515,0,0.572042510941712,-1.08358647321757,-1.91575229693215,0,0.00000000000000000693889390390723,0,0.249167879882491,0,0,-0.102077399523511
LTC,0,0.35804244020108,0.0388770148956155,0.216235534710082,0.0210556645600814,0,0.161626087603778,0,0,0.0804710297087237,0.0566299189363715,0.0376792774290335,0,0,0,0,0,0,0,0
EOS,0,0,0,0.134030333040369,0.130601373065154,0.0824552777213513,0,0.225494352800311,-0.0333004229607772,0.236419343552089,-0.0407046120697766,0,0,0.181543372527717,-0.00955316585194924,0,-0.0651458462782957,0,0,0
BNB,0,0,0,0.0739933263147795,-0.0025681126247244,0.208971580417467,0.084106372238804,0,0,0.0148105043203931,0,0.147898507012667,0,0.115452331944473,0.180286581722851,0,0,0,0,0.0165061591097833
XTZ,0,0,0,0,0,0,0.200449010543739,0.12877739831608,0,0,0.327570204175454,0,0,0,0,0,0,0,0,0
ADA,0,0.200013592515082,0,0,0,0,0.209634857179372,0,0,0,0.073215085264837,0.231425380474775,0,0.21139784901115,0,0,0,0,0,0
LINK,0,0,0,0.0541272081332435,0.0400779575535483,0.0341721086796918,0,0,0.0511056495967907,0,0,0.120230537581142,0,0.353433660651391,0.0597832841590546,0,0,0,0,0
XMR,0,0.112034962175193,-0.00000000000000000693889390390723,0.0433857430994399,0,0,0,0.120889284135339,-0.000000000000000000433680868994202,0.165714445831049,0.12346319635056,0,0,0,0,0,0,0,0,0
XLM,0,0.329193282492098,0.555827941317668,0.161041668077693,-0.0425411661922317,-0.225134258068437,0,0.0294527684131353,0,0,0,0,0,0.0563675512627346,0,0,0,0,0,0
TRX,0,0.0331837907527642,0.265618467859884,0.0153392859490901,0,0.207491013209302,0.126247303963354,0,0.0495638417721895,0.25806936764751,0,0,0,0,0,0,0,0,0,0
HT,0,0,0,0,0.00559176357615283,0,0,0.411880460001943,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00313141469036244,-0.0890748232525019,0,0,0,0,-0.037816038346659,-0.0991991142299253,0.0978760739340367,0.108815269770224,0.0229504300443012,0,0,0,0,-0.140121987488535
CVIX.INDEX,0,0,0,0,0.0593829149104708,-0.0755819823887837,-0.0875705299382087,0,-0.00000000000000000173472347597681,0,0,0.270904845282476,0,-0.231512377777074,0,0,0,0,0,0.0208861667973491
DXY.INDEX,0,0,0.00278516180417771,0.00487198878093967,0.000374102355326062,-0.014379675719227,0,0.00958118958785943,0,0,0.00520091728229938,0,0,0,0,0,-0.0185885086895699,0,0,-0.0111762764926127
SPX.INDEX,0,0,0,0.0153362018666941,0.000658837748963812,-0.00285851540410529,0,0.0261344543738677,-0.00764397623866732,0,-0.0116309162026172,-0.00261363582542291,0,0,0,0.0104404864702267,0,0,0,-0.0792834942154587
VIX.INDEX,0,0,0,-0.275088430318686,0.0059333805807253,-0.0238398854895283,0,0.182210204216219,0.194546119104055,0.0320913375443666,0,-0.0865835827574811,-0.569009512894925,0.413480232709871,0,0,0,0,-5.79127940434125,0
