,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.181055857140493,0,0.0228870879682273,0,0,0.0760132068168149,0,0.161647793641601,0,0,0.0713181314756965,0,0.011178697936336,0,0,0,0,0,0.0113451368955583
ETH,0,0,0,0.270417470345033,0.0191855694641573,0,0,0,0,0.110778033400061,0.0207276050128614,0.10128216921203,0.0804468595514603,0.239772316536801,0,0,0,0,0,0
XRP,0,0,0,0.16294424676177,0.156352494995086,0.00255988646038061,0,0,0,0.231278383116182,0,0,0,0.151594192772729,0.0448849633019888,0,0,0,0,0
BCH,0,0,0,0,0.282429304414233,0,0.229004048942788,0.209666489978597,0,0.0164166900550728,0,0.041944092981098,0.0153475807980178,0,0,0,0,0,0,0
EOS,0,0,0.00000000000000000346944695195361,0,0,0.0625121243369251,0,0,0,0.00698016354493701,-0.0000000000000000138777878078145,0.542991098506533,0.237109689095539,0,0.164201794037926,0,0,0,0,0
XLM,0,0,0,0.101526291141258,0,0,0,0,0.196925565705529,0.0598004617400967,0,0.101291153272157,0.248897616999791,0,0.064658065904869,0,0,0,0,0
LTC,0,0,0,0.329903306401974,0.0576954381103598,0,0,0,0.0508772926145647,0.168172517292797,0.0475374198657468,0.0289093271123842,0,0.0316738532510119,0,0,0,0,0,0
ADA,0,0,0.087570850762563,0.221080604532495,0,0.281359858473174,0,0,0,0,0.161703206610011,0.174356953710121,0,0,0.00686642370485623,0,0,0,0,0
XMR,0,0,0,0.120831943762579,0.00736482863947491,0,0,0.165566436662102,0,0,0,0,0.182034541722128,0.1162618392018,0.189867847189759,0,0,0,0,0
MIOTA,0,0,0.228339502022952,0,0,0.0731781772957809,0,0,0,0,0,0.195600214142853,0.580215115139432,-0.0383419000620816,0,0,-0.104682035644495,0,0,0.0652110472668695
DASH,0,0.139812384463026,0,0,0,0,0,0.241168435467745,0,0,0,0.291544674116135,0.0815335020736326,0.0337532903856161,0,0,0,0,0,0
TRX,0,0.328798398675351,0,0,0,0,0,0.530478132440485,0.0527031900953161,0.0154080261068539,0.0512333423400572,0,0.186825047561656,0,0,0,0,0,0,0
NEO,0,0.413017125954152,0,0.0571771951648399,0.0405855324902694,0,0,0,0.000928461994358065,0.20566701667425,0.0243807978991467,0.310245795043531,0,0,0,0,0,0,0,0
ETC,0,0.379218238708238,0,0,0,0.108952666014612,0,0,0,0.0983499686294165,0,0,0,0,0.121100423730862,0,0,0,0,0
XEM,0,0,0.0312478401114881,0,0.242285830985357,0.113789885070247,0,0.216578523179065,0,0,0,0,0.168532863168215,0.0641705261071191,0,0,0,0,0,-0.00376118518522509
BV010082.INDEX,0,0,0,0,-0.0260159118615615,-0.0102099954025782,-0.149976777516855,0,0,0,0.0213004943627785,0,0,0,0.158940699484955,0,0,0,0,-0.058443704957755
CVIX.INDEX,-0.442947537568249,0,0,0,0,-0.0632418065044456,0,0.29202046302407,0.0328680428452321,0,-0.00418122801556279,-0.0994463646601939,0,0.071446392713683,0.251999241889265,-0.584421367615932,0,0,0,0.189823271374094
DXY.INDEX,0,0,0,0,0,-0.0131014772941008,0,0,0.0105207844245623,-0.0254317616068514,0,0,0.000914101057208394,0.00579595985215901,0.0310808993514324,0,0.105109791869971,0,0,0.00407538406592663
SPX.INDEX,0,0,0,-0.00127109293503679,0,-0.0122789519881705,0,0.014996415844247,0,0,0,0,-0.0201978517683859,0.00439804587177228,0,0,0.016267916248398,0,0,-0.0660310979909573
VIX.INDEX,0,0,-0.187656222810113,-0.116931959506596,0,-0.237138516152964,0,0,-0.166267000098525,0,-0.0871375633456186,0.0735024711533664,0,-0.139058366655683,0.683208499107415,0,0.11896500899546,0,-3.66889908148621,0
