,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.149963873304409,0.121493760637245,0.0583668743663007,0,0,0.080834159152565,0.0439493036893251,0,0.0159603200530671,0.136638672974391,0,0.111328644240107,0,0,0,0,0
ETH,0,0,0.131692544924846,0.128730882845666,0.156271283888316,0,0.0630578364357889,0,0,0,0,0.0345577947543198,0.184600618369932,0.0163104035540929,0.0802507215433364,0,0,0,0,0
XRP,0,0.270589877175291,0,0,0.090564504352389,0.077671927024734,0,0.0534141139666491,0.0300046069719644,0,0.0413357429227612,0,0,0.0792753408974506,0.0550547143532162,0,0,0,0,0
BCH,0.000000000000000000867361737988404,0,0,0,0.184315356629843,0,0,0,0.22039342152182,0,0,0.00701181192743451,0.258841687795817,0,0.179834621154097,0,0,0,0,-0.039408281308487
LTC,0,0.294289757603917,0,0.184887235551924,0,0,0,0.108454859227437,0.030291892019509,0.188921109322131,0,0,0.037223012895208,0.0204370971508338,0,0,0,0,0,0.0264071580620789
EOS,0.177529315940502,0.400308523422744,0.168661154578881,0.00000000000000000693889390390723,0.0813822723564005,0,0,0,0.0567618046550556,0,0,-0.0565379753167459,0,0,0.205069688515931,0,-0.152724979042241,0,0,0
ADA,0,0,0.155174728149088,0,0,0.156698832442836,0,0.590271113526056,0.0360543136842323,0,0.0797042265365768,0,0,0,0,0,0,0,0,-0.0245779270091951
XLM,0,0,0,0.118347122530465,0,-0.0200213273258167,0.268024955562354,0,0.106757038219344,0.233926198912032,0,0.0691916198104134,0,0.139587654319342,0.0573305248776598,0,0,0,0,-0.0110277955056957
NEO,0,0,0,0.0549220087286184,0.120920875394367,0.0405292990550822,0.0556581850872662,0.156920991404601,0,0,0.193698946685173,0.0278876724603236,0,0.014485599831326,0.0891572246808657,0,0,0,0,0
MIOTA,0.150268437644965,0,0.0680017194553345,0.0111349144759063,0,0,0,0,0.199764983330118,0,0.0293212775710146,0.122614176570393,0.09112642178574,0.0563638135809156,0.0906053674330433,0,0,0,0,0
XMR,0,0,0,-0.00000000000000000346944695195361,0.28673627815315,0,0,0,0.291914398027117,0.193200804703646,0,0.00983982643052798,0,0,0.0244100071982608,0,0,0,0,0.088377533167506
TRX,0,0,0,0.167764579654293,0,0.310506331686458,0,0,0,0.498497283235543,0,0,0,0,0,0,0,0,0,0.136900463989695
DASH,0.175678821122676,0.0908272057653606,0,0.0744901209955975,0.0022003705257027,0,0.151210178505381,0,0.0416633290869778,0,0,0.176774246196468,0,0,0.066764540332155,0,0,0,0,0.0170425569264335
XEM,0,0,0,0,0.0516925244317039,-0.110566838748481,0.387944105607112,0,0.316873361796626,0,0,0.180379109794554,0,0,0,0,0,0,0,0
BNB,0,0.163203518880109,0,0.0357254409506404,0,0,-0.0509458477935474,0,0.377024713559255,0,0.0689010753290395,0.171962914342339,0,0.0767111388221455,0,0,0,0,0,0
BV010082.INDEX,0,-0.0226084139479732,0,0,0.0279861920074038,0.0566342065977581,-0.0370502506302762,0.0274901460665515,-0.0497727993111632,0,-0.0101031019767702,-0.0500976221372236,0.135849914568003,0,0,0,0,0,0,-0.0436816191758488
CVIX.INDEX,0,0,0.00523869940053444,-0.0841714294925096,0.00833809878901224,-0.130534486149203,0,0,0.209889389717075,0,-0.1054272108477,0.066195372430053,0.17291466757619,-0.0177513955933275,-0.203555690592065,0,0,0,0,0.0562944208218306
DXY.INDEX,0,0.0127753559918885,0.0251997353095777,-0.00980215128707607,-0.0176184736154732,0.0111173063647311,-0.0119747379930524,-0.00932947627974935,0,0.016681119297877,-0.0232121091276833,-0.0125463790189113,0.03367671488616,-0.00446433579297378,-0.00824582289544957,0,0,0,0,0.0102226501622654
SPX.INDEX,0,0,-0.0323695964628981,0.00025812933356017,0,0,-0.0333215215482132,0,0.00718801062301004,0.0145498786693046,0.0223505299080564,-0.0387605730328299,0,0.00869515931017132,0,0,0,0,0,-0.0789624310324208
VIX.INDEX,-0.0773283870046322,-0.00588137085750551,-0.0844242163431937,0,0,0.184793907325734,0,-0.0166571428039852,0,0,-0.100107854857447,0.193187169587972,0,0.061261923462169,-0.178091088117391,-1.00497322748489,0,0,-5.08912231229984,0
