,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0975293003550881,0.179389642301473,0.10012065793636,0,0,0.0428517089585369,0,0.0338657292940172,0,-0.0462424188383925,0,0.106056203782632,0,0,0,0,0
ETH,0,0,0,0.135769092686355,0,0.116664070240054,0.0619251290589843,0,0.134114265965914,0.145545227025125,0,0,0,0.184482568160309,0.125502393346095,0,0,0,0,0
BCH,0,0,0,0.140195291393745,0,0.0000000000000000138777878078145,0.436005294886301,0.0420582958683802,-0.206414019813473,0,-0.123484779423255,0.490967857998881,-0.718168006841879,0.327696774201025,0,0,0,0,0,-0.0917676322732239
XRP,0,0.30213205478202,0.0109078278880386,0,-0.0458053717270853,0,0.0970063531537254,0.0478505510262411,0,0,0,0,0.181127883249546,0.178960695134789,0.0387971693052353,0,0,0,0,0
LTC,0.0480034894017976,0,0.0662973978589598,0.034003791796261,0,-0.0111065881949887,0,0,0.0236550401569882,0.170101354330155,0.032176898205477,0,0.0710576501919736,0.134299199654022,0,0,0,0,0,0.028214372444074
DASH,0.182705271767492,0.0572290718000538,0.0731623498529377,0.0403935800722583,0,0,0.0825417308257717,0.000000000000000000216840434497101,0.0639703814988385,0,0,0.162111115067762,0,0.11648447532364,0.0905242890260545,0,0,0,0,0
XEM,0,0.170200231515185,0,0,0,0.162347423809196,0,0,0,0,0,0,0.134138411621672,0,0.0464626310290905,0,0,0,0,0
XMR,0,0,0.0584146440833126,0.282893224260714,0,0.148915750736663,0.0361703901185846,0,0.0986771413273135,0,0.0356795907358868,0.0782787897636131,0.115472674334695,0,0,0,0,0,0,-0.0485691046245056
MIOTA,0.302120895044349,0.181006948944263,-0.0761473811783785,-0.135293298732093,0,0.297190116453531,0.216792914815667,0.244820556495486,0,0.0705602126491647,0.0641690845155581,-0.00000000000000000693889390390723,0,0.0709042655955517,0,0,0,0,0,0
ETC,0,0.382979325991411,0,0,0.407861177538699,0,0,0,0.0598793190537299,0,0,0,0,0,0.0273105265852002,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0915250244201265,0,0,0,0,0,0,0.670983538159548,0,0,0,0,0,-0.178320590846981
ZEC,0,0,0,0,0,0.00376878180244625,0,0.0931482133821486,0.204756638912258,0.0877474652450978,0.000000000000000000433680868994202,0,0.122880787413734,0.0525595127496019,0.0183466187879664,0,0,0,0,0
XLM,0,0,0,0.40405685084644,0,0,0.133087318782905,0.185334670675847,0,0.180116608110705,-0.0352937614304306,0.0436313634185964,0,0,0.164941110196502,0,0,0,0,0
EOS,0,0.139501926276769,0.056374082237805,0,0.428922001326758,0,0,0.204421092928969,0.210302461807573,0,0.170058879433471,0.0583816517399429,0,0,0.0738123194449089,0,0,0,0,0
BAT,0,0,0,0,0,0,0.0930374338177026,0,0.0313923316427866,0,0.175237307126177,0.254982777661951,0.331737227283213,0.0821085990667751,0,0,0,0,0,-0.0824863799819642
BV010082.INDEX,0,0.0497357760429716,-0.00958629082000495,0,0.0746478201339485,0,0,0.00641989807150057,-0.0346480918236522,-0.0509769209671898,-0.00106266622894556,0.0462554495984276,0,0,0.0127984166499814,0,0,0,0,-0.0747982643699024
CVIX.INDEX,0,0,0,0.0385794479601723,0,0.0101459168220173,0.0449746238665063,0.0569472577831156,0.0248372535022769,0.110134099975195,0,-0.061023408469324,-0.130605329668622,-0.0638051185880285,0.0188410486439891,0,0,0,0,0.0539990923766261
DXY.INDEX,0,0,0.000775447104712955,0,0.00557950897230293,-0.003252716556074,0,0,0.0047871024776454,0,0.00562781337615371,-0.000391401928413096,-0.0052481514117957,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.00868994405524445,0,-0.00457545372270568,0.00109545873002188,0,0.000144367204355363,0,0,0,0.00203489395706639,0,0,0,0,-0.0447545845206333
VIX.INDEX,0,0.314472717043859,0,-0.0693278581234514,0,-0.236699411471035,0.0306650754852773,0,0.0833455088557231,-0.051035807398096,-0.104323053848754,0,0,0,0,0,0.119165531534869,0,0,0
