,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.121434280720169,0,0.0778453181438371,0.0497536492640187,0.00000000000000000346944695195361,0,0.0703162778425003,0.0522479817958497,0.182556628482433,0.0281025873508351,0,0,0.0277578614631777,0,0,0,0,0,0
ETH,0.100758521593922,0,0.158463938249229,0.123048159903482,0,0.00468593461975125,0.405960737161689,0,0,0.015650503541168,0,0,0.0281433541745632,0.0485023220322361,0,0,0,0,0,0
XRP,0,0.228594243550974,0,0,0.0245598166649396,0,0,0.142821033471039,0,0,0.13111538821272,0,0.151058345779318,0,0.135903067626064,0,0,0,0,-0.0143694366600044
BCH,0,0.310255328781987,0,0,0,0,0,0,0.00287567704195099,0.0398600741269588,0,0.338744118579124,0.199462659250317,0,0,0,0,0,0,0
EOS,0,0,0.312122207882343,0.305219950494221,0,-0.0000000000000000138777878078145,0,-0.0559209966050956,0,-0.151654878831582,0,0,0.103112536948555,0,0.219913800513974,0,0,0,0,-0.0274316190754925
ADA,0,0.0774323564739639,0,0,0,0,0,0.00000000000000000010842021724855,0,0.0473254809122271,0.329165279806034,0,0.105537689258524,0.312390601459239,0,0,0,0,0,-0.0150847553682774
LTC,0,0.238747405615695,0,0.178690588880277,0,0,0,0.195226586030374,0,0.0941466101001599,0.0475655646533126,0,0,-0.000000000000000000433680868994202,0,0,0,0,0,0
XLM,0,0,0.0938642149180696,0.0743453167149391,0,0.216986477967255,0,0,0.0404398701499197,0.209730427589344,0.100849964607578,0,0.0350407762853322,0.161352578626311,0,0,0,0,0,-0.0496568023841468
TRX,0.0929624008664445,0,0,0.940946061322953,0.0394647681165071,0,0,0,0,0.125608226285992,0,0,-0.312023200692512,0,0,0,0,0,0,0.11748828933088
MIOTA,0,0,0.127729049828099,0.347023316843364,0,0.0864115716094769,0,0,0,0,0.129020512236444,0,0.0932749161117223,0,0.197963046841344,0,0,0,0,0
NEO,0,0,0,0,0.0956167722164857,0.0637205694389757,0,0.0296140889536122,0.0456276400422712,0.122831487245661,0,0,0.23225787760971,0.0834544932268643,0.160288081062601,0,0,0,0,0
DASH,0.150191624688196,0.3359015770674,0,0.131977633032159,0,0.0727399651279282,0,0,0.0877593669675825,0.0800089662843013,0.0410525037107359,0,0,0.0313461540903731,0,0,0,0,0,0.0380133727936201
XMR,0,0.396357963736266,0.220039373394132,0.0596195863491153,0,0,0.0262968408043702,0,0.0614373622303499,0.100752725745318,0,0.0609516060197015,0,-0.0175318488692647,0,0,0,0,0,0
XEM,0,0.456078006635473,-0.137734259363684,-0.211272554592148,-0.152366228375872,0.28063026619798,0,0.2247363833765,0.214038393339488,-0.170959124131459,0.258080674424348,0,0,0,0.243440568892168,0,0,0,0,-0.00651398595371098
ETC,0,0,0.184954789379408,0,0.167697899980358,0.0679921871489802,0,0,0.0800075165843318,0.263354052316825,0.0273968213459795,0,-0.0425064631453748,0.105821676295279,0,0,0,0,0,-0.0434446053114642
BV010082.INDEX,0,0,0,0,0.00832011410319873,0,0,0.0384178806214298,-0.0292549022313167,0,0,0.118931799657123,-0.0940886348881115,-0.0519883524819459,0,0,0,0,0,-0.0403175635869741
CVIX.INDEX,0,0,0,0,-0.0318382705862036,-0.0464325412220037,0,0,-0.0132885956024558,0.0132903606366564,0,0.0940349325693823,-0.091935073519953,-0.211086978205407,0.230198958105252,0,0,0,0,0
DXY.INDEX,-0.00527613124633974,0.00797781479070847,0.0113870984250278,0,-0.0043349613652915,0.00396413946509577,0.0132929522175793,-0.0436322153349273,-0.00420425847605379,-0.00681705385207618,0,0.0443444799379167,-0.00273705178463681,0,0,0.0398380543054609,0,0,0,-0.00523295957179472
SPX.INDEX,0,0,0,0,0.00238617393620427,0,0,0,-0.0197663985660713,0,0,0,0,0,0,0,0,0,0,-0.107942616691781
VIX.INDEX,0,0,0,0.0296180050151191,0,0,-0.0766057758327784,-0.205944368528657,0.150476520584088,-0.00000000000000000693889390390723,0,0.188934716478366,0,0,0,0,0,0,-3.99108740078399,0
