,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.190396915804495,-0.0416556123955791,0,0.07172380756078,0,0,0.201224663057472,0,0.121514059970923,0,0.133872364067346,0.0122225522450343,0.0529545693868561,0,0,0,0,-0.0105238034160846
XRP,0,0,0.919708945943683,0.0752962301355365,0.00464870092996721,0.247449672223643,0,0,0,0,0.0000000000000000555111512312578,0,-0.726090942262871,0.330716925010231,0,0,0,0,0,0.0692026376339453
ETH,0,0.0161744395849595,0,0.0914139571236699,0.0238178467346322,0.158650054511605,0,0,0.0166355042245537,0.108035321703386,0.129755126249476,0.379996909580143,0.000000000000000000867361737988404,0.00208284445995363,0.0384369945918176,0,0,0,0,-0.036545117348754
BCH,0,0,0.265805864967837,0,-0.0574902107985987,0,0.269904519959812,0.377192801773519,0,0,0.403122491013837,-0.239431380249275,0.248952440083972,0,0,0,0,0,0,0
XLM,0,0.118476021812724,0.0810044789965298,0.0633839096900694,0,0,0,0.507464058767044,0,-0.0000000000000000138777878078145,0,0,0.0272034257505272,0,0,0,0,0,0,0
EOS,0,0,0.214033200717121,0.0258254924551136,0.02669197563016,0,0.191892752628399,0,0.0329279970924451,0.0664167989808272,-0.00000000000000000173472347597681,0,0,0.070704934394376,0.232533945104218,0,0,0,0,-0.0293404093307892
LTC,0,0,0,0.155921437740111,0,0,0,0.0820969466667046,0.127675834070578,0.084665164152575,0.244641870422132,0.095914204439406,0,0,0,0,0,0,0,0
ADA,0,0.031250596067052,0.158615688084814,0.0729912754978761,0.0767789360457649,0,0,0,0,0.154441326770349,0.193891717237626,0,0,0,0.206998747765356,0,0,0,0,-0.00943086782867817
XMR,0,0,0,0,0,0,0,0,0,0,0.000000000000000000867361737988404,0.260329668889001,0.190027377667356,0,0.493131290022287,0,0,0,0,0
TRX,0,0,0.244273048970334,0.000000000000000000867361737988404,0,0.199405052169797,0,0.300000832069999,0,0,0.0249375264068141,0.0591312302573707,0.157450217737412,0.0240053335402895,0,0,0,0,0,-0.0553157291114694
MIOTA,0,0.150572986642457,0,0.0489121578504867,0,0,0,0.284356866294353,0.171033322717354,0.133196693432224,0,0,0.164904866252135,0.000000000000000000867361737988404,-0.00000000000000000173472347597681,0,0,0,0,-0.0642729319664128
DASH,0,0,0.478491524772543,0.028841480629166,0,0,0,0.10543117678354,-0.00000000000000000346944695195361,0,0,0,0.166774193945981,0,0.166925797040191,0,0,0,0,0
BNB,0.141124854519635,0,0.406866652777111,0.0534749386983129,0,0,0,0,0,0.242209869852422,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0537045373043542,0.00146614499556875,0,0,0.361498203286653,0,0.197775370599453,0.00839691764394657,0,0,0,0,0,0,0,0,0
NEO,0,0,0.0981709717238894,0.0869313315339444,0,0,0,0.416114051152893,0.121141850114591,0,-0.000000000000000000867361737988404,0.162592500033871,0,0,0,0,0,0,0,0
BV010082.INDEX,0.00941513654083657,-0.0376927310243099,0.0111302613859825,-0.0578472803851033,-0.0306482161205653,0,0,0,0,0,0,0,0.133298983313802,0.0307970111756357,0,0,-0.0925738961774234,0.316791014693335,1.08638159401378,0.0782394989130734
CVIX.INDEX,0,0.0762018777363559,0.15380121776607,-0.0925948536715116,-0.072073597576217,0.19713103073977,-0.418940054153771,0,0,0.0550314455498314,0.209021396337793,0,0,-0.012579926628202,0,0,0,0,0,0.0671003054537219
DXY.INDEX,0.0449799429435319,0,-0.0229316222357396,0.000798008607603661,-0.0194935850024114,0,-0.0544356187694034,0,0.0161991767050558,0,0.0336928728625385,0,0.00292269826895214,0.00443041420166711,0,0.0359788718178371,0.0511840635781029,0,0.00467402227624275,0.00194825209151892
SPX.INDEX,0,-0.0552470412055434,0,0,0,0,0,0,0,-0.0135797780971255,0,0,0,0.0211621528426935,0.0455811854919068,0.00203066766576796,0,0,0,-0.119083101906976
VIX.INDEX,0,-0.0801861991748138,-0.14278684721552,0.140042774601052,0,0,0,0,-0.134478653577871,-0.149796628287449,0.197216311507833,0,0,0.205777514106389,0,0,1.32553134766243,0,-5.92044611180031,0
